# Set 15 — 15 kelime
spectacle | isim | gösteri, manzara | The fireworks display was an amazing {spectacle}. | Havai fişek gösterisi muhteşem bir manzaraydı. | The carnival turned the quiet town into a colorful {spectacle}. | Karnaval, sessiz kasabayı renkli bir gösteriye dönüştürdü. | Tourists gathered to watch the rare natural {spectacle}. | Turistler nadir doğal manzarayı izlemek için toplandı. | The opening ceremony was a breathtaking {spectacle}. | Açılış töreni nefes kesen bir gösteriydi. | His sudden outburst made a {spectacle} of himself in front of everyone. | Ani patlaması herkesin önünde kendini rezil etti. | The sunset over the ocean was a stunning {spectacle}. | Okyanusun üzerindeki gün batımı muhteşem bir manzaraydı. | The parade was a grand {spectacle} that drew huge crowds. | Geçit töreni büyük kalabalıklar çeken görkemli bir gösteriydi. | Children stared at the magician's {spectacle} in wonder. | Çocuklar sihirbazın gösterisine hayranlıkla baktı. | The volcano erupting was a terrifying {spectacle}. | Patlayan yanardağ korkutucu bir manzaraydı. | The stadium lights created a dazzling {spectacle} at night. | Stadyum ışıkları geceleyin göz kamaştırıcı bir gösteri yarattı.
grind | fiil | öğütmek, ezmek, didinmek | She had to {grind} the coffee beans before brewing. | Demlemeden önce kahve çekirdeklerini öğütmek zorundaydı. | Workers must {grind} the metal until it is smooth. | İşçiler metali pürüzsüz olana kadar öğütmelidir. | He had to {grind} away at his studies all night. | Bütün gece çalışmalarına didinmek zorunda kaldı. | The machine can {grind} wheat into fine flour. | Makine buğdayı ince una öğütebilir. | Stop trying to {grind} your teeth while you sleep. | Uyurken dişlerini gıcırdatmayı bırak. | They use a stone to {grind} the spices by hand. | Baharatları elle ezmek için bir taş kullanırlar. | The factory will {grind} the rocks into gravel. | Fabrika kayaları çakıl haline öğütecek. | I have to {grind} through this report before lunch. | Öğle yemeğinden önce bu rapor üzerinde didinmek zorundayım. | The mill was built to {grind} corn for the village. | Değirmen, köy için mısır öğütmek üzere yapıldı. | She had to {grind} her way up from an entry-level job. | En alt kademedeki bir işten didinerek yükselmek zorunda kaldı.
choke | fiil | boğmak, tıkanmak, boğulmak | He started to {choke} on a piece of food. | Bir lokma yiyecekle boğulmaya başladı. | The thick smoke made everyone {choke}. | Yoğun duman herkesi boğdu. | She tried not to {choke} up while giving the speech. | Konuşmayı yaparken duygulanıp boğulmamaya çalıştı. | The weeds began to {choke} the young plants in the garden. | Yabani otlar bahçedeki genç bitkileri boğmaya başladı. | Don't talk and eat at once or you might {choke}. | Aynı anda konuşup yeme, yoksa boğulabilirsin. | The strong fumes can {choke} a person within minutes. | Güçlü dumanlar bir insanı dakikalar içinde boğabilir. | He grabbed his throat as if about to {choke}. | Boğulacakmış gibi boğazını tuttu. | Heavy traffic seemed to {choke} the entire city center. | Yoğun trafik tüm şehir merkezini boğuyor gibiydi. | The player tends to {choke} under pressure in big games. | Oyuncu büyük maçlarda baskı altında çuvallama eğilimindedir. | She felt the dust {choke} her lungs in the old attic. | Eski tavan arasında tozun ciğerlerini boğduğunu hissetti.
expose | fiil | açığa çıkarmak, maruz bırakmak, ifşa etmek | The journalist worked hard to {expose} the corruption. | Gazeteci yolsuzluğu açığa çıkarmak için çok çalıştı. | Don't {expose} your skin to the sun for too long. | Cildini güneşe çok uzun süre maruz bırakma. | The documentary aimed to {expose} the truth about the war. | Belgesel, savaşla ilgili gerçeği açığa çıkarmayı amaçladı. | Traveling can {expose} children to new cultures. | Seyahat etmek çocukları yeni kültürlerle tanıştırabilir. | The leak threatened to {expose} the company's secrets. | Sızıntı, şirketin sırlarını ifşa etmekle tehdit etti. | Scientists wanted to {expose} the samples to extreme heat. | Bilim insanları örnekleri aşırı ısıya maruz bırakmak istedi. | He was afraid the investigation would {expose} his lies. | Soruşturmanın yalanlarını açığa çıkaracağından korkuyordu. | The report tried to {expose} flaws in the system. | Rapor, sistemdeki kusurları açığa çıkarmaya çalıştı. | Removing the bandage will {expose} the wound to air. | Bandajı çıkarmak yarayı havaya maruz bırakacaktır. | The whistleblower decided to {expose} the illegal practices. | İhbarcı yasadışı uygulamaları ifşa etmeye karar verdi.
resent | fiil | içerlemek, gücenmek, kin tutmak | She began to {resent} the extra work given to her. | Kendisine verilen fazla işe içerlemeye başladı. | He started to {resent} his brother's constant success. | Kardeşinin sürekli başarısına içerlemeye başladı. | Many employees {resent} being asked to work weekends. | Birçok çalışan hafta sonları çalışmalarının istenmesine içerler. | I don't {resent} you for telling the truth. | Gerçeği söylediğin için sana gücenmiyorum. | She came to {resent} the way they ignored her ideas. | Fikirlerini görmezden gelmelerine içerlemeye başladı. | Children sometimes {resent} strict rules at home. | Çocuklar bazen evdeki katı kurallara içerler. | He seemed to {resent} every piece of advice I gave. | Verdiğim her tavsiyeye içerliyor gibiydi. | They {resent} the new manager for changing everything. | Her şeyi değiştirdiği için yeni müdüre gücenirler. | She tried not to {resent} her friend's good fortune. | Arkadaşının talihine içerlememeye çalıştı. | People often {resent} those who get special treatment. | İnsanlar genellikle ayrıcalıklı muamele görenlere içerler.
passionate | sıfat | tutkulu, ateşli | He is {passionate} about playing the guitar. | Gitar çalmaya tutkuyla bağlıdır. | She gave a {passionate} speech about climate change. | İklim değişikliği hakkında ateşli bir konuşma yaptı. | They are {passionate} supporters of their local team. | Yerel takımlarının tutkulu taraftarlarıdır. | The chef is deeply {passionate} about fresh ingredients. | Şef, taze malzemeler konusunda son derece tutkuludur. | Their {passionate} debate lasted for hours. | Ateşli tartışmaları saatlerce sürdü. | He wrote a {passionate} letter to his old friend. | Eski arkadaşına tutkulu bir mektup yazdı. | She is a {passionate} advocate for animal rights. | Hayvan hakları konusunda tutkulu bir savunucudur. | The artist is {passionate} about every detail of her work. | Sanatçı, işinin her ayrıntısı konusunda tutkuludur. | Their relationship was intense and {passionate}. | İlişkileri yoğun ve tutkuluydu. | He becomes very {passionate} when he talks about history. | Tarih hakkında konuşurken çok ateşli olur.
penchant | isim | düşkünlük, eğilim, merak | She has a {penchant} for expensive shoes. | Pahalı ayakkabılara düşkünlüğü vardır. | He has a {penchant} for telling long stories. | Uzun hikayeler anlatmaya eğilimi vardır. | Her {penchant} for spicy food surprised everyone. | Baharatlı yiyeceklere düşkünlüğü herkesi şaşırttı. | The writer had a {penchant} for dramatic endings. | Yazarın dramatik sonlara eğilimi vardı. | He showed an early {penchant} for solving puzzles. | Bulmaca çözmeye erken yaşta bir merakı vardı. | She has a strange {penchant} for collecting old keys. | Eski anahtarlar toplamaya tuhaf bir düşkünlüğü vardır. | His {penchant} for risk made him a bold investor. | Riske olan eğilimi onu cesur bir yatırımcı yaptı. | They share a {penchant} for late-night conversations. | Gece geç saatlerdeki sohbetlere ortak bir düşkünlükleri vardır. | The painter had a {penchant} for bright colors. | Ressamın parlak renklere eğilimi vardı. | Her {penchant} for honesty sometimes got her in trouble. | Dürüstlüğe olan düşkünlüğü bazen başını derde soktu.
addict | isim | bağımlı, tiryaki | He is a complete video game {addict}. | Tam bir video oyunu bağımlısıdır. | She became a coffee {addict} during college. | Üniversite sırasında bir kahve tiryakisi oldu. | The clinic helps every {addict} who walks through the door. | Klinik, kapıdan giren her bağımlıya yardım eder. | My brother is a fitness {addict} who trains daily. | Kardeşim her gün antrenman yapan bir fitness bağımlısıdır. | As a shopping {addict}, she can't resist a sale. | Bir alışveriş bağımlısı olarak indirimlere karşı koyamaz. | The former {addict} now counsels others in recovery. | Eski bağımlı şimdi iyileşme sürecindeki başkalarına danışmanlık yapıyor. | He is such a news {addict} that he checks his phone hourly. | O kadar haber tiryakisi ki telefonunu her saat kontrol eder. | Treating an {addict} requires patience and support. | Bir bağımlıyı tedavi etmek sabır ve destek gerektirir. | She admitted she was a chocolate {addict}. | Bir çikolata tiryakisi olduğunu itiraf etti. | The recovering {addict} shared his story with the group. | İyileşmekte olan bağımlı hikayesini grupla paylaştı.
impulsive | sıfat | düşünmeden hareket eden, ani, dürtüsel | Buying that car was an {impulsive} decision. | O arabayı almak ani bir karardı. | He is too {impulsive} to save money. | Para biriktiremeyecek kadar dürtüseldir. | Her {impulsive} nature often leads to surprises. | Dürtüsel doğası genellikle sürprizlere yol açar. | Making an {impulsive} choice, she quit her job suddenly. | Ani bir seçim yaparak işini birden bıraktı. | Children can be {impulsive} and act without thinking. | Çocuklar dürtüsel olabilir ve düşünmeden hareket edebilir. | His {impulsive} comment hurt her feelings. | Düşünmeden söylediği yorum onun kalbini kırdı. | She made an {impulsive} trip to the coast last weekend. | Geçen hafta sonu sahile ani bir gezi yaptı. | Being {impulsive} at work can cost you the job. | İş yerinde dürtüsel olmak sana işine mal olabilir. | He regretted his {impulsive} promise the next morning. | Ertesi sabah düşünmeden verdiği sözden pişman oldu. | An {impulsive} shopper, he buys things he never uses. | Dürtüsel bir alışverişçi olarak hiç kullanmadığı şeyler satın alır.
instinctual | sıfat | içgüdüsel | A mother's protection of her child is {instinctual}. | Bir annenin çocuğunu koruması içgüdüseldir. | His reaction to danger was purely {instinctual}. | Tehlikeye karşı tepkisi tamamen içgüdüseldi. | Animals rely on {instinctual} behavior to survive. | Hayvanlar hayatta kalmak için içgüdüsel davranışa güvenir. | Her {instinctual} fear of heights never went away. | Yükseklikten içgüdüsel korkusu hiç geçmedi. | The dog's {instinctual} loyalty was clear to everyone. | Köpeğin içgüdüsel sadakati herkes için açıktı. | There is an {instinctual} bond between twins. | İkizler arasında içgüdüsel bir bağ vardır. | Pulling your hand from fire is an {instinctual} act. | Elini ateşten çekmek içgüdüsel bir eylemdir. | The bird's migration is an {instinctual} journey. | Kuşun göçü içgüdüsel bir yolculuktur. | Her {instinctual} distrust of strangers kept her safe. | Yabancılara karşı içgüdüsel güvensizliği onu güvende tuttu. | The chef's seasoning seemed almost {instinctual}. | Şefin baharatlandırması neredeyse içgüdüsel görünüyordu.
scapegoat | isim | günah keçisi, şamar oğlanı | They made him the {scapegoat} for the team's failure. | Onu takımın başarısızlığının günah keçisi yaptılar. | The intern became the {scapegoat} for the office mistakes. | Stajyer, ofisteki hataların günah keçisi oldu. | Politicians often look for a {scapegoat} during a crisis. | Politikacılar kriz sırasında genellikle bir günah keçisi ararlar. | She refused to be the {scapegoat} for her boss's errors. | Patronunun hatalarının günah keçisi olmayı reddetti. | The new employee was used as a {scapegoat} by the team. | Yeni çalışan ekip tarafından günah keçisi olarak kullanıldı. | Blaming one person as a {scapegoat} solves nothing. | Bir kişiyi günah keçisi olarak suçlamak hiçbir şey çözmez. | The manager became the {scapegoat} when sales dropped. | Satışlar düştüğünde müdür günah keçisi oldu. | History often turns minorities into a {scapegoat}. | Tarih, azınlıkları genellikle günah keçisine dönüştürür. | He felt like a {scapegoat} for problems he didn't cause. | Sebep olmadığı sorunlar için kendini günah keçisi gibi hissetti. | The committee searched for a {scapegoat} to blame. | Komite, suçlayacak bir günah keçisi aradı.
