# Set 4 — 15 kelime
briefly | zarf | kısaca, kısa süreliğine | She {briefly} explained the rules before the game. | Oyundan önce kuralları kısaca açıkladı.
predicament | isim | çıkmaz, zor durum | He found himself in a difficult {predicament} with no money. | Kendini parasız, zor bir durumda buldu.
ignite | fiil | tutuşturmak, ateşlemek | A single spark can {ignite} the dry grass. | Tek bir kıvılcım kuru otu tutuşturabilir.
spunk | isim | cesaret, kararlılık | The little girl showed real {spunk} during the contest. | Küçük kız yarışma boyunca gerçek bir cesaret gösterdi.
equation | isim | denklem, eşitlik | The teacher asked us to solve the {equation} on the board. | Öğretmen tahtadaki denklemi çözmemizi istedi.
paraphrase | fiil | başka sözcüklerle ifade etmek, özetleyerek anlatmak | Try to {paraphrase} the text instead of copying it. | Metni kopyalamak yerine başka sözcüklerle ifade etmeye çalış.
vigorously | zarf | şiddetle, güçlü bir şekilde | He shook his head {vigorously} to say no. | Hayır demek için başını şiddetle salladı.
pitfalls | isim | tuzaklar, gizli tehlikeler | This guide explains the common {pitfalls} for new investors. | Bu rehber yeni yatırımcılar için yaygın tuzakları açıklıyor.
gradually | zarf | yavaş yavaş, giderek | The weather {gradually} got warmer in spring. | Hava ilkbaharda yavaş yavaş ısındı.
fence | isim | çit, parmaklık | They built a wooden {fence} around the garden. | Bahçenin etrafına ahşap bir çit yaptılar.
weep | fiil | ağlamak, gözyaşı dökmek | She began to {weep} when she heard the sad news. | Üzücü haberi duyunca ağlamaya başladı.
gracious | sıfat | nazik, lütufkâr | Our host was warm and {gracious} to every guest. | Ev sahibimiz her misafire karşı sıcak ve nazikti.
aimlessly | zarf | amaçsızca, gayesizce | He wandered {aimlessly} through the empty streets. | Boş sokaklarda amaçsızca dolaştı.
get along | deyim | iyi geçinmek, anlaşmak | The two brothers finally learned to {get along}. | İki kardeş sonunda iyi geçinmeyi öğrendi.
fared | fiil | bir durumda olmak, iyi/kötü gitmek | How well the team {fared} in the final surprised everyone. | Takımın finalde ne kadar iyi gittiği herkesi şaşırttı.
