# Set 6 — 15 kelime
tough | sıfat | zor, çetin, sert, dayanıklı | Learning a new language can be really {tough} at first. | Yeni bir dil öğrenmek başta gerçekten zor olabilir. | The interview was {tough}, but I think I did well. | Mülakat çetindi ama sanırım iyi yaptım. | He is a {tough} negotiator who never backs down easily. | O, kolay kolay geri adım atmayan sert bir pazarlıkçıdır. | These boots are made from {tough} leather that lasts for years. | Bu botlar yıllarca dayanan sağlam deriden yapılmıştır. | It was a {tough} decision, but we had to let her go. | Zor bir karardı ama onu işten çıkarmak zorundaydık. | Times got {tough} after he lost his job last winter. | Geçen kış işini kaybettikten sonra zaman zorlaştı. | The coach wants the team to play a more {tough} game tonight. | Koç takımın bu gece daha sert bir oyun oynamasını istiyor. | This meat is too {tough} to chew comfortably. | Bu et rahatça çiğnenemeyecek kadar sert. | She had a {tough} childhood but never gave up. | Zor bir çocukluk geçirdi ama asla pes etmedi. | Solving this math problem turned out to be quite {tough}. | Bu matematik problemini çözmek oldukça çetin çıktı.
sustain | fiil | sürdürmek, devam ettirmek, ayakta tutmak | It is hard to {sustain} this level of effort for very long. | Bu düzeydeki çabayı çok uzun süre sürdürmek zor. | A balanced diet helps {sustain} your energy throughout the day. | Dengeli bir beslenme gün boyu enerjini ayakta tutmaya yardımcı olur. | The company could not {sustain} such heavy losses for long. | Şirket bu kadar ağır zararları uzun süre sürdüremezdi. | These savings should {sustain} us until I find a new job. | Bu birikimler yeni bir iş bulana kadar bize yetmeli. | The economy managed to {sustain} steady growth last year. | Ekonomi geçen yıl istikrarlı büyümeyi sürdürmeyi başardı. | He suffered injuries he would {sustain} for the rest of his life. | Hayatının geri kalanında taşıyacağı yaralar aldı. | Strong roots help the tree {sustain} itself during droughts. | Güçlü kökler ağacın kuraklıkta kendini ayakta tutmasına yardımcı olur. | It takes real passion to {sustain} a long-term relationship. | Uzun süreli bir ilişkiyi sürdürmek gerçek bir tutku gerektirir. | The bridge was designed to {sustain} enormous weight. | Köprü muazzam ağırlığı taşımak için tasarlandı. | Volunteers worked hard to {sustain} the community garden. | Gönüllüler topluluk bahçesini ayakta tutmak için çok çalıştı.
marauders | isim | yağmacılar, çapulcular, akıncılar | The village was raided by a band of {marauders}. | Köy bir grup yağmacı tarafından basıldı. | The {marauders} stole everything of value and burned the rest. | Yağmacılar değerli her şeyi çaldı ve geri kalanını yaktı. | Sailors feared the {marauders} who roamed the coastal waters. | Denizciler kıyı sularında dolaşan akıncılardan korkardı. | The king sent soldiers to drive the {marauders} from the borders. | Kral, çapulcuları sınırlardan kovmak için askerler gönderdi. | Stories of fierce {marauders} were told around the campfire. | Kamp ateşi etrafında vahşi akıncılara dair hikayeler anlatıldı. | The {marauders} disappeared into the forest before dawn. | Yağmacılar şafaktan önce ormana kayboldu. | Farmers built tall fences to keep the {marauders} out. | Çiftçiler çapulcuları uzak tutmak için yüksek çitler yaptı. | Ancient texts describe waves of {marauders} sweeping across the land. | Eski metinler, ülkeyi kasıp kavuran akıncı dalgalarını anlatır. | The brave guards held the gate against the {marauders}. | Cesur muhafızlar kapıyı yağmacılara karşı tuttu. | Legends say the {marauders} buried their treasure on the island. | Efsanelere göre akıncılar hazinelerini adaya gömdü.
pale | sıfat | solgun, soluk, soluk renkli | She looked {pale} and tired after the long flight. | Uzun uçuştan sonra solgun ve yorgun görünüyordu. | His face turned {pale} when he heard the bad news. | Kötü haberi duyunca yüzü soldu. | The walls were painted a soft, {pale} blue. | Duvarlar yumuşak, soluk maviye boyanmıştı. | After the illness she remained {pale} for several weeks. | Hastalıktan sonra birkaç hafta solgun kaldı. | The morning sky had a {pale} pink glow. | Sabah göğü soluk pembe bir parıltıya sahipti. | He felt sick and went {pale} on the boat. | Teknede midesi bulandı ve yüzü sarardı. | The {pale} moonlight lit the quiet garden. | Soluk ay ışığı sessiz bahçeyi aydınlattı. | Her {pale} skin burned easily in the summer sun. | Soluk teni yaz güneşinde kolayca yandı. | The patient looked weak and {pale} in the hospital bed. | Hasta, hastane yatağında zayıf ve solgun görünüyordu. | They chose a {pale} green color for the nursery. | Bebek odası için soluk yeşil bir renk seçtiler.
sleep on it | deyim | bir gece düşünmek, acele karar vermeyip beklemek | Don't decide now; just {sleep on it} and tell me tomorrow. | Şimdi karar verme; bir gece düşün ve yarın bana söyle. | I'm not sure about the offer, so I'll {sleep on it}. | Teklif konusunda emin değilim, bu yüzden bir gece düşüneceğim. | Before signing the contract, you should really {sleep on it}. | Sözleşmeyi imzalamadan önce gerçekten bir gece düşünmelisin. | Whenever I face a big choice, I like to {sleep on it} first. | Büyük bir seçimle karşılaştığımda önce bir gece düşünmeyi severim. | She told him to {sleep on it} rather than reply in anger. | Ona öfkeyle cevap vermek yerine bir gece düşünmesini söyledi. | Let's not rush this deal; we can {sleep on it} tonight. | Bu anlaşmaya acele etmeyelim; bu gece bir düşünebiliriz. | After we {sleep on it}, the problem often seems smaller. | Bir gece üzerine düşününce sorun çoğu zaman daha küçük görünür. | My boss asked me to {sleep on it} before accepting the transfer. | Patronum, transferi kabul etmeden önce bir gece düşünmemi istedi. | If you're unsure, it never hurts to {sleep on it}. | Emin değilsen bir gece düşünmenin hiçbir zararı olmaz. | We decided to {sleep on it} and reconsider in the morning. | Bir gece düşünüp sabah yeniden değerlendirmeye karar verdik.
extinguish | fiil | söndürmek, yok etmek | Firefighters worked all night to {extinguish} the flames. | İtfaiyeciler alevleri söndürmek için bütün gece çalıştı. | Please {extinguish} your cigarette before entering the building. | Lütfen binaya girmeden önce sigaranızı söndürün. | A heavy rain helped {extinguish} the forest fire. | Şiddetli yağmur orman yangınını söndürmeye yardımcı oldu. | They used sand to {extinguish} the small campfire. | Küçük kamp ateşini söndürmek için kum kullandılar. | Nothing could {extinguish} her hope for a better future. | Hiçbir şey onun daha iyi bir gelecek umudunu yok edemezdi. | The crew rushed to {extinguish} the fire on the ship's deck. | Mürettebat gemi güvertesindeki yangını söndürmek için koştu. | Be sure to {extinguish} all candles before you leave. | Çıkmadan önce tüm mumları söndürdüğünüzden emin olun. | The new policy aimed to {extinguish} corruption in the office. | Yeni politika ofisteki yolsuzluğu yok etmeyi amaçlıyordu. | He tried to {extinguish} the rumor before it spread further. | Söylenti daha fazla yayılmadan onu söndürmeye çalıştı. | It took hours to fully {extinguish} the burning warehouse. | Yanan depoyu tamamen söndürmek saatler aldı.
mope | fiil | somurtmak, kederle dolaşmak, üzgün üzgün oturmak | Stop sitting there to {mope} and do something useful. | Orada oturup somurtmayı bırak da işe yarar bir şey yap. | He tends to {mope} around the house after a breakup. | Bir ayrılıktan sonra evin içinde üzgün üzgün dolaşmaya meyillidir. | Don't {mope} all day just because the trip was canceled. | Sırf gezi iptal oldu diye bütün gün somurtma. | She would {mope} in her room whenever she felt lonely. | Kendini yalnız hissettiğinde odasında kederle otururdu. | Instead of letting him {mope}, his friends took him out. | Onun somurtmasına izin vermek yerine arkadaşları onu dışarı çıkardı. | The dog likes to {mope} by the door when its owner leaves. | Köpek, sahibi gidince kapının yanında üzgün üzgün oturmayı sever. | There's no point to {mope} over a mistake you can't undo. | Geri alamayacağın bir hata için somurtmanın anlamı yok. | He started to {mope} the moment the game was lost. | Maç kaybedilir kaybedilmez somurtmaya başladı. | You can't just {mope} forever; life goes on. | Sonsuza dek somurtamazsın; hayat devam ediyor. | After the rainy weekend, the kids began to {mope} indoors. | Yağmurlu hafta sonundan sonra çocuklar evde somurtmaya başladı.
nauseating | sıfat | mide bulandırıcı, iğrenç | The smell in the room was absolutely {nauseating}. | Odadaki koku kesinlikle mide bulandırıcıydı. | I found his arrogance utterly {nauseating}. | Onun kibrini son derece iğrenç buldum. | The boat ride became {nauseating} once the waves grew rough. | Dalgalar sertleşince tekne yolculuğu mide bulandırıcı hale geldi. | A {nauseating} stench rose from the overflowing bins. | Taşan çöp kutularından mide bulandırıcı bir koku yükseldi. | The movie's violence was so {nauseating} that I looked away. | Filmin şiddeti o kadar iğrençti ki başımı çevirdim. | She gave a {nauseating} smile that made everyone uneasy. | Herkesi rahatsız eden mide bulandırıcı bir gülümseme verdi. | The spinning ride left me feeling slightly {nauseating}. | Dönen oyuncak beni biraz midemi bulandıracak hisle bıraktı. | His flattery was so excessive it became {nauseating}. | Yağcılığı o kadar abartılıydı ki mide bulandırıcı oldu. | A {nauseating} sweetness filled the air near the candy factory. | Şeker fabrikasının yakınında mide bulandırıcı bir tatlılık havayı doldurdu. | The sight of the spoiled food was truly {nauseating}. | Bozulmuş yiyeceğin görüntüsü gerçekten iğrençti.
god willing | deyim | inşallah, Allah izin verirse | We will finish the project by Friday, {god willing}. | İnşallah projeyi cumaya kadar bitireceğiz. | {god willing}, we'll see each other again next summer. | İnşallah gelecek yaz yine görüşürüz. | She'll graduate this year, {god willing}. | İnşallah bu yıl mezun olacak. | {god willing}, the harvest will be plentiful this season. | İnşallah bu mevsim hasat bol olur. | We're moving into the new house next month, {god willing}. | İnşallah önümüzdeki ay yeni eve taşınıyoruz. | He said, {god willing}, his health would soon improve. | İnşallah sağlığının yakında düzeleceğini söyledi. | {god willing}, the flight will land on time tomorrow. | İnşallah uçak yarın zamanında iner. | The wedding will take place in spring, {god willing}. | İnşallah düğün ilkbaharda yapılacak. | {god willing}, we'll pay off the loan by the end of the year. | İnşallah yıl sonuna kadar krediyi kapatırız. | I'll be back before sunset, {god willing}. | İnşallah gün batımından önce dönerim.
wear out | deyim | yıpranmak, eskimek, bitkin düşürmek | These cheap shoes always {wear out} within a month. | Bu ucuz ayakkabılar her zaman bir ay içinde yıpranır. | The long hike began to {wear out} even the fittest climbers. | Uzun yürüyüş en formda tırmanıcıları bile bitkin düşürmeye başladı. | Constant arguing can {wear out} a friendship over time. | Sürekli tartışma zamanla bir dostluğu yıpratabilir. | The brakes will {wear out} faster if you drive aggressively. | Agresif sürersen frenler daha hızlı aşınır. | Chasing the children all day can really {wear out} a parent. | Çocukları bütün gün kovalamak bir ebeveyni gerçekten bitkin düşürebilir. | My old jeans finally started to {wear out} at the knees. | Eski kotum sonunda dizlerinden yıpranmaya başladı. | Try not to {wear out} your welcome by staying too long. | Çok uzun kalarak misafirliğini suistimal etmemeye çalış. | The tires on this truck {wear out} quickly on rough roads. | Bu kamyonun lastikleri bozuk yollarda çabuk eskir. | Endless meetings can {wear out} the whole team. | Bitmek bilmeyen toplantılar tüm ekibi bitkin düşürebilir. | Repeated washing will {wear out} the fabric eventually. | Tekrar tekrar yıkamak sonunda kumaşı yıpratır.
martyr | isim | şehit, kendini feda eden kişi | He is remembered as a {martyr} who died for his beliefs. | İnançları uğruna ölen bir şehit olarak anılıyor. | The fallen soldier was honored as a national {martyr}. | Düşen asker, ulusal bir şehit olarak onurlandırıldı. | She acts like a {martyr} whenever she does the chores. | Ev işlerini yaptığında kendini feda eden biri gibi davranır. | The activist became a {martyr} for the cause of freedom. | Aktivist, özgürlük davası uğruna bir şehit oldu. | History remembers him as a {martyr} of the revolution. | Tarih onu devrimin bir şehidi olarak hatırlar. | Stop playing the {martyr} and let someone help you. | Kendini feda eden rolünü bırak da birinin sana yardım etmesine izin ver. | A statue was built to honor the brave {martyr}. | Cesur şehidi onurlandırmak için bir heykel dikildi. | The young {martyr} inspired thousands to fight for change. | Genç şehit, binlerce kişiyi değişim için savaşmaya esinledi. | They visited the tomb of the ancient {martyr}. | Eski şehidin türbesini ziyaret ettiler. | He gave his life like a {martyr} to save the others. | Diğerlerini kurtarmak için bir şehit gibi canını verdi.
