# Set 1 — 15 kelime
vow | fiil | yemin etmek, söz vermek | She made a solemn {vow} to never lie again. | Bir daha asla yalan söylememeye dair ciddi bir yemin etti.
sly | sıfat | kurnaz, sinsi | He gave her a {sly} smile before leaving the room. | Odadan çıkmadan önce ona kurnaz bir gülümseme verdi.
sharp | sıfat | keskin, sivri | Be careful, that knife is very {sharp}. | Dikkatli ol, o bıçak çok keskin.
freely | zarf | özgürce, serbestçe | In this country people can speak {freely} about politics. | Bu ülkede insanlar siyaset hakkında özgürce konuşabilir.
insanity | isim | delilik, çılgınlık | Driving in this storm would be pure {insanity}. | Bu fırtınada araba kullanmak tam bir delilik olurdu.
crucial | sıfat | kritik, çok önemli | Sleep is {crucial} for your health. | Uyku sağlığın için kritik öneme sahip.
insulate | fiil | yalıtmak, izole etmek | They decided to {insulate} the walls to keep the house warm. | Evi sıcak tutmak için duvarları yalıtmaya karar verdiler.
particular | sıfat | belirli, özel, titiz | There is one {particular} detail I want to discuss. | Tartışmak istediğim belirli bir ayrıntı var.
deceiver | isim | aldatıcı kişi, hilekâr | Everyone soon realized he was a clever {deceiver}. | Herkes kısa sürede onun zeki bir aldatıcı olduğunu anladı.
lunatic | isim | deli, çılgın kişi | He drove like a {lunatic} on the highway. | Otoyolda deli gibi araba sürdü.
risen | fiil | yükselmiş, kalkmış | The sun has already {risen} over the mountains. | Güneş dağların üzerinde çoktan yükseldi.
commence | fiil | başlamak, başlatmak | The ceremony will {commence} at noon. | Tören öğlen başlayacak.
evaluation | isim | değerlendirme | The teacher gave a detailed {evaluation} of my essay. | Öğretmen denememe ayrıntılı bir değerlendirme yaptı.
velocity | isim | hız, sürat | The car reached an incredible {velocity} on the track. | Araba pistte inanılmaz bir hıza ulaştı.
retribution | isim | misilleme, ceza, intikam | They feared divine {retribution} for their crimes. | Suçları için ilahi bir cezadan korkuyorlardı.
