# Set 21 — 15 kelime
abattoir | isim | mezbaha, kesimhane | The cattle were taken to the {abattoir} early in the morning. | Sığırlar sabahın erken saatlerinde mezbahaya götürüldü. | The new {abattoir} on the edge of town created hundreds of jobs. | Kasabanın kenarındaki yeni mezbaha yüzlerce iş imkânı yarattı. | Inspectors visited the {abattoir} to check its hygiene standards. | Müfettişler hijyen standartlarını denetlemek için mezbahayı ziyaret etti. | Working in an {abattoir} is not a job for the faint-hearted. | Mezbahada çalışmak korkak yürekliler için bir iş değildir. | The animal rights group protested outside the {abattoir}. | Hayvan hakları grubu mezbahanın önünde protesto yaptı. | Strict laws govern how an {abattoir} must dispose of its waste. | Bir mezbahanın atıklarını nasıl bertaraf edeceğini katı yasalar düzenler. | The smell from the {abattoir} drifted across the entire village. | Mezbahanın kokusu bütün köye yayıldı. | Her grandfather had once managed a small {abattoir} in the countryside. | Büyükbabası bir zamanlar kırsalda küçük bir mezbaha işletmişti. | The film opened with a disturbing scene inside an {abattoir}. | Film, bir mezbahanın içinde geçen rahatsız edici bir sahneyle açıldı. | Local farmers brought their livestock to the {abattoir} each week. | Yerel çiftçiler her hafta hayvanlarını mezbahaya getirirdi.
oblivious | sıfat | farkında olmayan, habersiz | She was completely {oblivious} to the danger around her. | Etrafındaki tehlikenin tamamen farkında değildi. | He kept talking, {oblivious} to how bored everyone looked. | Herkesin ne kadar sıkıldığından habersiz konuşmaya devam etti. | The cat slept peacefully, {oblivious} to the noise outside. | Kedi, dışarıdaki gürültüden habersiz huzur içinde uyuyordu. | They were so in love they seemed {oblivious} to the world. | O kadar âşıktılar ki dünyadan habersiz gibiydiler. | I walked right past my old friend, completely {oblivious}. | Eski arkadaşımın yanından tamamen habersiz bir şekilde geçip gittim. | The driver was {oblivious} to the red light and kept going. | Sürücü kırmızı ışığın farkında değildi ve geçmeye devam etti. | Children playing in the park remained {oblivious} to the storm clouds. | Parkta oynayan çocuklar fırtına bulutlarından habersiz kaldı. | He was {oblivious} to the fact that his shirt was inside out. | Gömleğinin ters olduğunun farkında değildi. | She remained {oblivious} to his obvious crush on her. | Onun kendisine olan apaçık tutkunluğundan habersiz kaldı. | Engrossed in his book, he was {oblivious} to the time. | Kitabına dalmış halde zamanın farkında değildi.
contrite | sıfat | pişman, vicdan azabı çeken | He felt {contrite} after shouting at his mother. | Annesine bağırdıktan sonra çok pişman oldu. | The boy gave a {contrite} apology to his teacher. | Çocuk öğretmenine pişmanlık dolu bir özür diledi. | She looked genuinely {contrite} about the broken vase. | Kırılan vazo konusunda gerçekten pişman görünüyordu. | His {contrite} expression told us he regretted his words. | Pişman ifadesi sözlerinden pişmanlık duyduğunu bize anlattı. | After realizing his mistake, the manager became {contrite}. | Hatasını fark ettikten sonra müdür pişman oldu. | The {contrite} student promised never to cheat again. | Pişman öğrenci bir daha asla kopya çekmeyeceğine söz verdi. | He sent a {contrite} letter begging for forgiveness. | Bağışlanmak için yalvaran pişman bir mektup gönderdi. | She felt {contrite} for having doubted her loyal friend. | Sadık arkadaşından şüphe ettiği için vicdan azabı duydu. | The {contrite} criminal confessed everything to the judge. | Pişman suçlu hâkime her şeyi itiraf etti. | A {contrite} heart is the first step toward making amends. | Pişman bir kalp, telafi etmenin ilk adımıdır.
sigh | fiil | iç çekmek, derin nefes almak | She let out a deep {sigh} when she heard the news. | Haberi duyunca derin bir iç çekti. | He could only {sigh} as he looked at the messy room. | Dağınık odaya bakarken yalnızca iç çekebildi. | With a tired {sigh}, she closed her laptop for the night. | Yorgun bir iç çekişle gece için dizüstü bilgisayarını kapattı. | I heard him {sigh} with relief when the test was over. | Sınav bitince rahatlamayla iç çektiğini duydum. | Don't just {sigh} about your problems; try to solve them. | Sorunların hakkında sadece iç çekme; onları çözmeye çalış. | She began to {sigh} every time he mentioned his ex. | Eski sevgilisinden bahsettiğinde her seferinde iç çekmeye başladı. | The old man let out a long {sigh} as he sat down. | Yaşlı adam otururken uzun bir iç çekti. | He would often {sigh} when thinking about his youth. | Gençliğini düşünürken sık sık iç çekerdi. | She tried not to {sigh} during the boring meeting. | Sıkıcı toplantı sırasında iç çekmemeye çalıştı. | A gentle {sigh} escaped her lips as she watched the sunset. | Gün batımını izlerken dudaklarından hafif bir iç çekiş kaçtı.
unfold | fiil | açılmak, ortaya çıkmak, açmak | The story slowly began to {unfold} before our eyes. | Hikaye gözlerimizin önünde yavaşça açılmaya başladı. | She carefully began to {unfold} the old map on the table. | Eski haritayı masanın üzerinde dikkatlice açmaya başladı. | We watched the events {unfold} on the news that night. | O gece olayların haberlerde ortaya çıkışını izledik. | Let the plan {unfold} naturally instead of forcing it. | Planı zorlamak yerine doğal olarak açılmasına izin ver. | He sat back to let the drama {unfold} on stage. | Dramın sahnede ortaya çıkmasına izin vermek için arkasına yaslandı. | The flower started to {unfold} its petals in the morning sun. | Çiçek sabah güneşinde taç yapraklarını açmaya başladı. | As the negotiations {unfold}, tensions began to rise. | Müzakereler ilerledikçe gerginlikler artmaya başladı. | She watched her future {unfold} with both fear and hope. | Geleceğinin hem korku hem umutla açılışını izledi. | Please {unfold} the chairs and set them around the table. | Lütfen sandalyeleri açıp masanın etrafına diz. | The mystery continued to {unfold} chapter after chapter. | Gizem bölüm bölüm açılmaya devam etti.
adaptive | sıfat | uyum sağlayan, adaptif | The software uses an {adaptive} system to learn your habits. | Yazılım, alışkanlıklarınızı öğrenmek için adaptif bir sistem kullanır. | Humans have a remarkably {adaptive} nature in harsh climates. | İnsanlar zorlu iklimlerde son derece uyum sağlayan bir doğaya sahiptir. | The school offers {adaptive} learning tools for each student. | Okul her öğrenci için adaptif öğrenme araçları sunuyor. | An {adaptive} response to change can save a struggling business. | Değişime uyum sağlayan bir tepki, zorlanan bir işi kurtarabilir. | The car has {adaptive} headlights that adjust to the road. | Arabanın yola göre ayarlanan adaptif farları var. | Animals develop {adaptive} traits to survive in new environments. | Hayvanlar yeni ortamlarda hayatta kalmak için uyum sağlayan özellikler geliştirir. | Her {adaptive} teaching style works well with difficult classes. | Uyum sağlayan öğretim tarzı zorlu sınıflarda iyi sonuç verir. | The robot is fitted with {adaptive} sensors for any terrain. | Robot, her arazi için adaptif sensörlerle donatılmıştır. | Being {adaptive} is essential when working in a fast-changing field. | Hızla değişen bir alanda çalışırken uyum sağlayabilmek şarttır. | The therapy focuses on building {adaptive} coping skills. | Terapi, uyum sağlayan başa çıkma becerileri geliştirmeye odaklanır.
alms | isim | sadaka, hayır parası | The old man gave {alms} to the poor every Friday. | Yaşlı adam her cuma fakirlere sadaka verirdi. | Beggars sat by the temple gate hoping for {alms}. | Dilenciler sadaka umarak tapınak kapısının yanında oturuyordu. | Giving {alms} is considered a sacred duty in many religions. | Sadaka vermek birçok dinde kutsal bir görev sayılır. | She quietly slipped some {alms} into the beggar's bowl. | Sessizce dilencinin kâsesine biraz sadaka koydu. | The monks survived only on {alms} from villagers. | Keşişler yalnızca köylülerden gelen sadakayla geçindi. | He collected {alms} for the orphans during the festival. | Festival boyunca yetimler için sadaka topladı. | In the old days, churches distributed {alms} to the needy. | Eski zamanlarda kiliseler muhtaçlara sadaka dağıtırdı. | Offering {alms} to strangers was part of their tradition. | Yabancılara sadaka vermek geleneklerinin bir parçasıydı. | The pilgrims relied on {alms} throughout their long journey. | Hacılar uzun yolculukları boyunca sadakaya bağlı kaldı. | A small box for {alms} stood near the church entrance. | Kilise girişinin yanında sadaka için küçük bir kutu duruyordu.
drought | isim | kuraklık | The long {drought} destroyed most of the crops this year. | Uzun kuraklık bu yıl ürünlerin çoğunu yok etti. | Farmers prayed for rain during the worst {drought} in decades. | Çiftçiler on yılların en kötü kuraklığında yağmur için dua etti. | The {drought} left the reservoir almost completely empty. | Kuraklık barajı neredeyse tamamen boşalttı. | A severe {drought} forced the town to ration its water. | Şiddetli bir kuraklık kasabayı suyu kısıtlamaya zorladı. | Wildlife suffered greatly during the prolonged {drought}. | Uzun süren kuraklık boyunca yaban hayatı büyük zarar gördü. | Climate change has made periods of {drought} more frequent. | İklim değişikliği kuraklık dönemlerini daha sık hale getirdi. | The {drought} turned the once-green fields into dust. | Kuraklık, bir zamanlar yemyeşil olan tarlaları toza çevirdi. | After months of {drought}, the first rain felt like a miracle. | Aylarca süren kuraklığın ardından ilk yağmur bir mucize gibi geldi. | Governments declared a state of emergency because of the {drought}. | Hükümetler kuraklık nedeniyle olağanüstü hal ilan etti. | The ancient city was abandoned after a devastating {drought}. | Antik kent, yıkıcı bir kuraklıktan sonra terk edildi.
gander | isim | erkek kaz, bir bakış atma | He took a quick {gander} at the newspaper before leaving. | Çıkmadan önce gazeteye hızlıca bir göz attı. | Come over here and have a {gander} at this old photo. | Buraya gel de şu eski fotoğrafa bir göz at. | The angry {gander} chased the children across the yard. | Öfkeli erkek kaz çocukları avlu boyunca kovaladı. | Let me take a {gander} at your homework before you submit it. | Ödevini teslim etmeden önce bir göz atmama izin ver. | A large {gander} guarded the flock near the pond. | İri bir erkek kaz, gölet yakınındaki sürüyü koruyordu. | She gave the menu a quick {gander} and ordered coffee. | Menüye hızlıca bir göz attı ve kahve sipariş etti. | Why don't you have a {gander} at the shops downtown? | Neden şehir merkezindeki dükkânlara bir göz atmıyorsun? | The farmer kept a noisy {gander} to warn of intruders. | Çiftçi, davetsiz misafirleri haber vermesi için gürültücü bir erkek kaz besliyordu. | He leaned over the fence to take a {gander} at the neighbor's garden. | Komşunun bahçesine bir göz atmak için çitin üzerinden eğildi. | Take a {gander} at the price before you decide to buy it. | Satın almaya karar vermeden önce fiyata bir göz at.
pavement | isim | kaldırım, yaya yolu | The children were playing on the {pavement} outside. | Çocuklar dışarıda kaldırımda oynuyorlardı. | She tripped on a crack in the {pavement} and fell. | Kaldırımdaki bir çatlağa takılıp düştü. | Cafés set their tables out on the {pavement} in summer. | Kafeler yazın masalarını kaldırıma çıkarır. | Please don't ride your bike on the {pavement}. | Lütfen bisikletini kaldırımda sürme. | The rain made the {pavement} dangerously slippery. | Yağmur kaldırımı tehlikeli derecede kaygan yaptı. | A street artist was drawing on the {pavement} with chalk. | Bir sokak sanatçısı tebeşirle kaldırıma resim yapıyordu. | Leaves covered the {pavement} all through the autumn. | Yapraklar sonbahar boyunca kaldırımı kapladı. | The old man swept the {pavement} in front of his shop. | Yaşlı adam dükkânının önündeki kaldırımı süpürdü. | We stood on the {pavement} waiting for the bus to arrive. | Otobüsün gelmesini bekleyerek kaldırımda durduk. | The council finally repaired the broken {pavement} on our street. | Belediye nihayet sokağımızdaki bozuk kaldırımı onardı.
thick | sıfat | kalın, yoğun, koyu | The walls of the castle were incredibly {thick}. | Kalenin duvarları inanılmaz derecede kalındı. | A {thick} fog rolled in and covered the entire valley. | Yoğun bir sis çöktü ve bütün vadiyi kapladı. | She wore a {thick} woolen sweater to keep warm. | Sıcak kalmak için kalın bir yün kazak giydi. | He spread a {thick} layer of butter on his toast. | Tostuna kalın bir tabaka tereyağı sürdü. | The book was so {thick} that it took months to finish. | Kitap o kadar kalındı ki bitirmesi aylar sürdü. | They walked through the {thick} forest for hours. | Yoğun ormanın içinde saatlerce yürüdüler. | The soup was too {thick}, so I added some water. | Çorba fazla koyuydu, bu yüzden biraz su ekledim. | His {thick} accent made him hard to understand. | Kalın aksanı onu anlamayı zorlaştırdı. | A {thick} blanket of snow covered the rooftops. | Kalın bir kar tabakası çatıları kapladı. | The smoke grew so {thick} that we could hardly breathe. | Duman o kadar yoğunlaştı ki neredeyse nefes alamıyorduk.
