# Set 31 — 15 kelime
implicitly | zarf | dolaylı olarak, üstü kapalı şekilde, kayıtsız şartsız | She trusted him {implicitly} and never questioned his decisions. | Ona kayıtsız şartsız güvendi ve kararlarını hiç sorgulamadı. | The contract {implicitly} assumes that both parties act in good faith. | Sözleşme, her iki tarafın iyi niyetle hareket ettiğini üstü kapalı olarak varsayar. | By staying silent, he {implicitly} agreed to their plan. | Sessiz kalarak onların planını dolaylı olarak kabul etmiş oldu. | Children often {implicitly} learn the rules of language before they can explain them. | Çocuklar genellikle dili açıklayamadan önce kurallarını üstü kapalı şekilde öğrenir. | Her smile {implicitly} told us that everything was fine. | Gülümsemesi her şeyin yolunda olduğunu üstü kapalı şekilde anlattı. | The manager {implicitly} approved the budget by not objecting to it. | Yönetici, itiraz etmeyerek bütçeyi dolaylı olarak onayladı. | We {implicitly} believe that the sun will rise tomorrow. | Yarın güneşin doğacağına kayıtsız şartsız inanırız. | The teacher {implicitly} encouraged debate by asking open questions. | Öğretmen, açık uçlu sorular sorarak tartışmayı üstü kapalı şekilde teşvik etti. | His tone {implicitly} suggested that he disagreed with the decision. | Ses tonu, karara katılmadığını dolaylı olarak ima ediyordu. | A good friend will support you {implicitly}, without needing reasons. | İyi bir arkadaş, gerekçe aramadan sana kayıtsız şartsız destek olur.
deceiving | sıfat | aldatıcı, yanıltıcı | Appearances can be {deceiving}, so don't judge too quickly. | Görünüş aldatıcı olabilir, bu yüzden çok çabuk yargılama. | The calm sea was {deceiving}; a storm was coming fast. | Sakin deniz aldatıcıydı; hızla bir fırtına yaklaşıyordu. | Her friendly manner was {deceiving}, hiding a ruthless ambition. | Dostça tavrı aldatıcıydı ve acımasız bir hırsı gizliyordu. | The advertisement was {deceiving} and made the product look better than it was. | Reklam yanıltıcıydı ve ürünü olduğundan daha iyi gösteriyordu. | His confident voice was {deceiving}, because he was actually terrified. | Kendinden emin sesi aldatıcıydı, çünkü aslında çok korkmuştu. | The quiet town had a {deceiving} charm that tourists soon saw through. | Sessiz kasabanın, turistlerin kısa sürede fark ettiği aldatıcı bir çekiciliği vardı. | Numbers can be {deceiving} if you don't read the full report. | Tüm raporu okumazsan sayılar yanıltıcı olabilir. | The map was {deceiving}, showing a road that no longer existed. | Harita yanıltıcıydı ve artık var olmayan bir yolu gösteriyordu. | His {deceiving} smile made it hard to know what he was thinking. | Aldatıcı gülümsemesi ne düşündüğünü anlamayı zorlaştırıyordu. | The mild weather was {deceiving}, and the climbers were caught in snow. | Ilıman hava aldatıcıydı ve dağcılar kara yakalandı.
occupation | isim | meslek, uğraş, işgal | Please write your name and {occupation} on the form. | Lütfen forma adınızı ve mesleğinizi yazın. | Reading is his favorite {occupation} on rainy afternoons. | Yağmurlu öğleden sonralarında okumak onun en sevdiği uğraştır. | The country suffered greatly during the military {occupation}. | Ülke askeri işgal sırasında büyük acılar çekti. | Her {occupation} as a nurse keeps her busy day and night. | Hemşirelik mesleği onu gece gündüz meşgul tutar. | The soldiers ended their {occupation} of the city after the treaty. | Askerler antlaşmadan sonra şehri işgallerini sona erdirdiler. | Gardening became a pleasant {occupation} for him after retirement. | Bahçecilik, emekliliğinden sonra onun için keyifli bir uğraş hâline geldi. | What is your current {occupation}, sir? | Şu anki mesleğiniz nedir, beyefendi? | The long {occupation} of the building by protesters drew media attention. | Binanın protestocular tarafından uzun süre işgal edilmesi medyanın dikkatini çekti. | Teaching is a demanding but rewarding {occupation}. | Öğretmenlik zorlu ama ödüllendirici bir meslektir. | Solving puzzles is a harmless {occupation} that sharpens the mind. | Bulmaca çözmek, zihni keskinleştiren zararsız bir uğraştır.
rags | isim | paçavralar, eski püskü giysiler | The poor boy was dressed in {rags} and had no shoes. | Zavallı çocuk paçavralar giymişti ve ayakkabısı yoktu. | She used old {rags} to clean the dusty windows. | Tozlu pencereleri temizlemek için eski paçavralar kullandı. | The beggar's {rags} barely kept him warm in winter. | Dilencinin paçavraları kışın onu zar zor ısıtıyordu. | The story tells how he rose from {rags} to riches. | Hikaye, onun nasıl yokluktan zenginliğe yükseldiğini anlatır. | We tore the old shirt into {rags} for the workshop. | Eski gömleği atölye için paçavralara ayırdık. | After the fire, the survivors wore little more than {rags}. | Yangından sonra hayatta kalanlar neredeyse paçavralardan başka bir şey giymiyordu. | The mechanic wiped his hands on a pile of greasy {rags}. | Tamirci ellerini bir yığın yağlı paçavraya sildi. | Even in {rags}, she carried herself with great dignity. | Paçavralar içinde bile büyük bir vakarla duruyordu. | The children collected {rags} to make a soft bed for the kitten. | Çocuklar, yavru kedi için yumuşak bir yatak yapmak üzere paçavralar topladı. | His fine clothes were now nothing but {rags} after the long journey. | Şık kıyafetleri uzun yolculuktan sonra artık paçavradan başka bir şey değildi.
conserve | fiil | korumak, muhafaza etmek, tasarruf etmek | We must {conserve} water during the hot summer months. | Sıcak yaz aylarında suyu korumalıyız. | Turning off the lights helps {conserve} energy at home. | Işıkları kapatmak evde enerji tasarrufu yapmaya yardımcı olur. | The runner tried to {conserve} her strength for the final lap. | Koşucu son tur için gücünü korumaya çalıştı. | National parks exist to {conserve} wildlife and natural beauty. | Milli parklar, yaban hayatını ve doğal güzelliği korumak için vardır. | We need to {conserve} our resources for future generations. | Kaynaklarımızı gelecek nesiller için korumalıyız. | He learned to {conserve} his money instead of spending it all. | Hepsini harcamak yerine parasını idareli kullanmayı öğrendi. | Museums work hard to {conserve} ancient manuscripts. | Müzeler, eski el yazmalarını korumak için çok çalışır. | The hikers decided to {conserve} their food until they found the trail. | Yürüyüşçüler, patikayı bulana kadar yiyeceklerini idareli kullanmaya karar verdi. | New technology helps factories {conserve} fuel and reduce costs. | Yeni teknoloji, fabrikaların yakıt tasarrufu yapmasına ve maliyetleri düşürmesine yardımcı olur. | Please {conserve} battery by closing apps you are not using. | Lütfen kullanmadığın uygulamaları kapatarak pil tasarrufu yap.
heretic | isim | kâfir, sapkın, dinden çıkan | He was burned at the stake for being a {heretic}. | Sapkın olduğu için kazığa bağlanıp yakıldı. | The church declared the philosopher a {heretic} for his bold ideas. | Kilise, cesur fikirleri yüzünden filozofu sapkın ilan etti. | In those days, a single {heretic} could face severe punishment. | O günlerde tek bir sapkın bile ağır cezayla karşılaşabilirdi. | She was branded a {heretic} simply for questioning the old beliefs. | Sırf eski inançları sorguladığı için sapkın damgası yedi. | The trial of the {heretic} drew crowds from across the region. | Sapkının yargılanması bölgenin her yerinden kalabalıklar topladı. | Many scientists of the past were treated as a {heretic} by authorities. | Geçmişin birçok bilim insanı, yetkililer tarafından sapkın muamelesi gördü. | He refused to recant and died proudly as a {heretic}. | Sözünü geri almayı reddetti ve gururla bir sapkın olarak öldü. | To the strict council, any new idea came from a {heretic}. | Katı meclise göre her yeni fikir bir sapkından geliyordu. | The novel follows a {heretic} who challenges the ruling priests. | Roman, hüküm süren rahiplere meydan okuyan bir sapkını konu alır. | Calling someone a {heretic} was once a dangerous accusation. | Birine sapkın demek bir zamanlar tehlikeli bir suçlamaydı.
substantial | sıfat | önemli, kayda değer, hatırı sayılır | The company made a {substantial} profit this year. | Şirket bu yıl kayda değer bir kâr elde etti. | She received a {substantial} sum of money from her grandfather. | Büyükbabasından hatırı sayılır bir miktar para aldı. | There is {substantial} evidence to support his theory. | Teorisini desteklemek için kayda değer kanıtlar var. | We had a {substantial} breakfast before the long hike. | Uzun yürüyüşten önce doyurucu bir kahvaltı yaptık. | The new policy brought {substantial} changes to the school. | Yeni politika okula önemli değişiklikler getirdi. | A {substantial} part of the budget went to research. | Bütçenin önemli bir kısmı araştırmaya gitti. | The bridge needed {substantial} repairs after the flood. | Köprü, selden sonra kapsamlı onarımlara ihtiyaç duydu. | He made a {substantial} contribution to the charity. | Hayır kurumuna kayda değer bir bağışta bulundu. | The differences between the two plans are {substantial}. | İki plan arasındaki farklar hatırı sayılır düzeyde. | They built the house with {substantial} oak beams. | Evi sağlam meşe kirişlerle inşa ettiler.
wipe | fiil | silmek, temizlemek | Please {wipe} the table after dinner. | Lütfen yemekten sonra masayı sil. | He stopped to {wipe} the sweat from his forehead. | Alnındaki teri silmek için durdu. | Don't forget to {wipe} your feet before you come inside. | İçeri girmeden önce ayaklarını silmeyi unutma. | She tried to {wipe} the stain off her shirt with a napkin. | Gömleğindeki lekeyi peçeteyle silmeye çalıştı. | The cleaner came to {wipe} every desk in the office. | Temizlikçi ofisteki her masayı silmek için geldi. | He used a soft cloth to {wipe} the camera lens. | Kamera lensini silmek için yumuşak bir bez kullandı. | Please {wipe} the whiteboard before the next class begins. | Lütfen bir sonraki ders başlamadan beyaz tahtayı sil. | She bent down to {wipe} the spilled milk off the floor. | Yere dökülen sütü silmek için eğildi. | Remember to {wipe} your phone screen when it gets greasy. | Telefon ekranın yağlandığında silmeyi unutma. | The nurse will {wipe} the wound gently with antiseptic. | Hemşire yarayı antiseptikle nazikçe temizleyecek.
bullied | fiil | zorbalık etti, kabadayılık etti | He was {bullied} at school for years before anyone noticed. | Kimse fark etmeden önce yıllarca okulda zorbalığa uğradı. | The older boys {bullied} him into giving up his lunch money. | Büyük çocuklar, öğle yemeği parasından vazgeçmesi için ona zorbalık etti. | She felt {bullied} by her demanding boss every single day. | Talepkâr patronu tarafından her gün baskı altında hissetti. | No child should ever be {bullied} for being different. | Hiçbir çocuk farklı olduğu için zorbalığa uğramamalı. | They {bullied} the new student until the teacher stepped in. | Öğretmen araya girene kadar yeni öğrenciye zorbalık ettiler. | He admitted that he had {bullied} weaker kids when he was young. | Gençken daha zayıf çocuklara zorbalık ettiğini itiraf etti. | The shy girl was {bullied} online by anonymous users. | Utangaç kız, anonim kullanıcılar tarafından internette zorbalığa uğradı. | I won't be {bullied} into signing something I disagree with. | Katılmadığım bir şeyi imzalamam için bana baskı yapılmasına izin vermem. | The workers felt {bullied} by the threats of their manager. | İşçiler, yöneticilerinin tehditleriyle baskı altında hissettiler. | He stood up for his friend who was being {bullied} on the bus. | Otobüste zorbalığa uğrayan arkadaşına sahip çıktı.
liquid | isim | sıvı | Water is a {liquid} at room temperature. | Su oda sıcaklığında bir sıvıdır. | Pour the {liquid} carefully into the measuring cup. | Sıvıyı dikkatlice ölçü kabına dök. | The medicine comes as a {liquid} that children find easy to swallow. | İlaç, çocukların yutmasının kolay olduğu bir sıvı hâlinde gelir. | A strange green {liquid} was bubbling in the scientist's flask. | Bilim insanının şişesinde garip yeşil bir sıvı kabarcıklanıyordu. | At high heat, the metal turns into a glowing {liquid}. | Yüksek ısıda metal, parlayan bir sıvıya dönüşür. | He spilled the {liquid} all over the kitchen counter. | Sıvıyı mutfak tezgâhının her yerine döktü. | The recipe asks you to add the {liquid} slowly while stirring. | Tarif, karıştırırken sıvıyı yavaşça eklemeni ister. | This soap is sold as both a bar and a {liquid}. | Bu sabun hem kalıp hem de sıvı olarak satılıyor. | The {liquid} froze solid when we left it outside overnight. | Sıvıyı gece dışarıda bıraktığımızda donup katılaştı. | Doctors told him to drink plenty of {liquid} when he was sick. | Doktorlar hastayken bol sıvı içmesini söyledi.
addiction | isim | bağımlılık, tutku | He sought help to overcome his {addiction} to gambling. | Kumar bağımlılığını yenmek için yardım aradı. | Her {addiction} to her phone worried her parents. | Telefon bağımlılığı ailesini endişelendiriyordu. | The doctor warned him about the dangers of nicotine {addiction}. | Doktor onu nikotin bağımlılığının tehlikeleri konusunda uyardı. | Many people struggle with a hidden {addiction} for years. | Birçok insan yıllarca gizli bir bağımlılıkla mücadele eder. | His {addiction} to video games affected his grades at school. | Video oyunu bağımlılığı okuldaki notlarını etkiledi. | Overcoming an {addiction} often requires support from family and friends. | Bir bağımlılığı yenmek genellikle aile ve arkadaşların desteğini gerektirir. | She developed an {addiction} to caffeine during her exams. | Sınavları sırasında kafein bağımlılığı geliştirdi. | The clinic specializes in treating drug {addiction}. | Klinik, uyuşturucu bağımlılığını tedavi etmekte uzmanlaşmıştır. | His {addiction} to shopping left him deep in debt. | Alışveriş tutkusu onu derin borca soktu. | Recognizing the problem is the first step in fighting an {addiction}. | Sorunu fark etmek, bir bağımlılıkla mücadelenin ilk adımıdır.
