# Set 11 — 15 kelime
menacing | sıfat | tehditkâr, korkutucu | The dog gave him a {menacing} look before barking. | Köpek havlamadan önce ona tehditkâr bir bakış attı. | A {menacing} storm cloud appeared on the horizon. | Ufukta tehditkâr bir fırtına bulutu belirdi. | The stranger spoke in a {menacing} tone. | Yabancı tehditkâr bir tonda konuştu. | She felt a {menacing} presence behind her in the dark alley. | Karanlık sokakta arkasında tehditkâr bir varlık hissetti. | The villain wore a {menacing} grin throughout the film. | Kötü adam film boyunca tehditkâr bir sırıtış takındı. | His {menacing} silence frightened the whole class. | Onun tehditkâr sessizliği bütün sınıfı korkuttu. | The bodyguard had a {menacing} build that scared off troublemakers. | Korumanın belalıları kaçıran tehditkâr bir vücudu vardı. | A {menacing} note was left on his desk. | Masasının üstüne tehditkâr bir not bırakılmıştı. | The waves looked {menacing} as the boat moved out to sea. | Tekne açıldıkça dalgalar tehditkâr görünüyordu. | He pointed at us in a {menacing} way. | Bize tehditkâr bir şekilde işaret etti.
mansion | isim | malikâne, köşk | They live in a huge {mansion} on the hill. | Tepedeki kocaman bir malikânede yaşıyorlar. | The old {mansion} was rumored to be haunted. | Eski malikânenin perili olduğu söyleniyordu. | She inherited a {mansion} from her grandfather. | Büyükbabasından bir malikâne miras kaldı. | The {mansion} had over twenty rooms and a private pool. | Malikânede yirmiden fazla oda ve özel bir havuz vardı. | Tourists are allowed to visit the historic {mansion} on weekends. | Turistlerin hafta sonları tarihi malikâneyi gezmesine izin veriliyor. | A famous actor bought the {mansion} last year. | Geçen yıl ünlü bir aktör malikâneyi satın aldı. | The party was held in a luxurious {mansion} downtown. | Parti şehir merkezindeki lüks bir malikânede verildi. | They renovated the entire {mansion} before moving in. | Taşınmadan önce tüm malikâneyi yenilediler. | The gardener works at the {mansion} every morning. | Bahçıvan her sabah malikânede çalışıyor. | From the gate, the {mansion} looked like a palace. | Kapıdan bakınca malikâne bir saray gibi görünüyordu.
hush | isim | sessizlik, sus | A sudden {hush} fell over the room. | Odaya ansızın bir sessizlik çöktü. | There was a tense {hush} before the verdict was read. | Karar okunmadan önce gergin bir sessizlik vardı. | A respectful {hush} settled over the audience. | Seyircilerin üzerine saygılı bir sessizlik çöktü. | The teacher asked for {hush} as the exam began. | Sınav başlarken öğretmen sessizlik istedi. | An eerie {hush} hung over the empty streets. | Boş sokakların üzerinde tekinsiz bir sessizlik asılıydı. | After the announcement, a {hush} spread through the hall. | Duyurudan sonra salona bir sessizlik yayıldı. | She broke the {hush} with a quiet cough. | Hafif bir öksürükle sessizliği bozdu. | A {hush} came over the stadium as the player got injured. | Oyuncu sakatlanınca stadı bir sessizlik kapladı. | The morning {hush} was broken only by birdsong. | Sabahın sessizliğini yalnızca kuş sesleri bozuyordu. | In the library, a comfortable {hush} encouraged study. | Kütüphanedeki rahat bir sessizlik çalışmayı teşvik ediyordu.
austerity | isim | kemer sıkma, sadelik | The government introduced new measures of {austerity}. | Hükümet yeni kemer sıkma önlemleri getirdi. | Years of {austerity} left many families struggling. | Yıllarca süren kemer sıkma birçok aileyi zor durumda bıraktı. | The monk lived a life of strict {austerity}. | Keşiş katı bir sadelik içinde yaşadı. | Critics blamed the recession on harsh {austerity}. | Eleştirmenler durgunluğu sert kemer sıkma politikalarına bağladı. | The company adopted {austerity} to survive the crisis. | Şirket krizi atlatmak için kemer sıkmaya başvurdu. | Public anger grew as {austerity} cut social services. | Kemer sıkma sosyal hizmetleri kısarken halkın öfkesi arttı. | The room reflected the {austerity} of his lifestyle. | Oda onun yaşam tarzının sadeliğini yansıtıyordu. | During the war, people lived in great {austerity}. | Savaş sırasında insanlar büyük bir sadelik içinde yaşadı. | The new minister promised to end the era of {austerity}. | Yeni bakan kemer sıkma dönemini bitirmeye söz verdi. | Their budget plan was based on years of {austerity}. | Bütçe planları yıllarca süren kemer sıkmaya dayanıyordu.
lowlife | isim | aşağılık tip, ayaktakımı | He hangs out with every {lowlife} in town. | Kasabadaki her aşağılık tiple takılıyor. | The detective spent his nights chasing every {lowlife} in the city. | Dedektif gecelerini şehirdeki her aşağılık tipi kovalayarak geçirdi. | Don't trust that {lowlife}; he'll cheat you. | O aşağılık tipe güvenme, seni dolandırır. | The bar was full of every kind of {lowlife}. | Bar her türden ayaktakımıyla doluydu. | She refused to date such a {lowlife}. | Böyle bir aşağılık tiple çıkmayı reddetti. | Only a {lowlife} would steal from a child. | Ancak aşağılık biri bir çocuktan çalardı. | The neighbors called him a {lowlife} behind his back. | Komşular arkasından ona aşağılık tip diyordu. | He turned from a {lowlife} into a respected man. | Aşağılık bir tipten saygın bir adama dönüştü. | The movie portrayed the gang as a pack of {lowlife} criminals. | Film çeteyi bir grup aşağılık suçlu olarak gösterdi. | I won't let a {lowlife} like him ruin my evening. | Onun gibi bir aşağılık tipin akşamımı mahvetmesine izin vermeyeceğim.
conversation | isim | sohbet, konuşma | We had a long {conversation} about our future. | Geleceğimiz hakkında uzun bir sohbet ettik. | Their {conversation} was interrupted by a phone call. | Sohbetleri bir telefon görüşmesiyle yarıda kesildi. | I overheard a strange {conversation} on the train. | Trende garip bir konuşmaya kulak misafiri oldum. | She started a {conversation} with the man next to her. | Yanındaki adamla bir sohbet başlattı. | The two leaders held a private {conversation} after dinner. | İki lider akşam yemeğinden sonra özel bir görüşme yaptı. | It was a difficult {conversation}, but a necessary one. | Zor ama gerekli bir konuşmaydı. | We continued the {conversation} over coffee. | Sohbete kahve eşliğinde devam ettik. | Their {conversation} quickly turned into an argument. | Konuşmaları çabucak tartışmaya dönüştü. | He avoids any {conversation} about money. | Para hakkındaki her türlü konuşmadan kaçınır. | The whole {conversation} lasted only five minutes. | Bütün konuşma yalnızca beş dakika sürdü.
distraught | sıfat | perişan, çılgına dönmüş | She was {distraught} when she heard the news. | Haberi duyunca perişan olmuştu. | The {distraught} mother searched everywhere for her child. | Çılgına dönmüş anne çocuğunu her yerde aradı. | He looked {distraught} after losing his job. | İşini kaybettikten sonra perişan görünüyordu. | The {distraught} passengers waited for news of the flight. | Perişan haldeki yolcular uçaktan haber bekledi. | She was too {distraught} to speak at the funeral. | Cenazede konuşamayacak kadar perişandı. | The accident left him completely {distraught}. | Kaza onu tamamen perişan etti. | A {distraught} fan cried outside the stadium. | Çılgına dönmüş bir taraftar stadın dışında ağladı. | They tried to calm the {distraught} witness. | Perişan haldeki tanığı sakinleştirmeye çalıştılar. | He sent a {distraught} message in the middle of the night. | Gecenin bir yarısı perişan bir mesaj attı. | The {distraught} couple couldn't believe what had happened. | Çılgına dönmüş çift olanlara inanamadı.
confession | isim | itiraf, günah çıkarma | He made a full {confession} to the police. | Polise tam bir itirafta bulundu. | Her {confession} surprised everyone in the courtroom. | İtirafı mahkeme salonundaki herkesi şaşırttı. | The priest listened to his {confession} in silence. | Rahip onun günah çıkarmasını sessizce dinledi. | I have a small {confession} to make about last night. | Dün gece hakkında küçük bir itirafta bulunacağım. | The suspect signed a written {confession}. | Şüpheli yazılı bir itiraf imzaladı. | His {confession} came as a complete shock to the family. | İtirafı aileye tam bir şok oldu. | She finally found the courage for an honest {confession}. | Sonunda dürüst bir itiraf için cesaret buldu. | The detective doubted the truth of the {confession}. | Dedektif itirafın doğruluğundan şüphe etti. | A tearful {confession} ended their long argument. | Gözyaşları içindeki bir itiraf uzun tartışmalarını sonlandırdı. | The novel opens with the narrator's strange {confession}. | Roman anlatıcının garip bir itirafıyla başlıyor.
nutjob | isim | kaçık, deli | Everyone thinks he is a complete {nutjob}. | Herkes onun tam bir kaçık olduğunu düşünüyor. | Only a {nutjob} would drive in this storm. | Ancak bir kaçık bu fırtınada araba sürerdi. | She called her ex a total {nutjob}. | Eski sevgilisine tam bir kaçık dedi. | The internet is full of every kind of {nutjob}. | İnternet her türden kaçıkla dolu. | Don't listen to that {nutjob} on the corner. | Köşedeki o kaçığı dinleme. | He acted like a {nutjob} at the party last night. | Dün geceki partide bir kaçık gibi davrandı. | My uncle is a harmless {nutjob} who collects spoons. | Amcam kaşık biriktiren zararsız bir kaçık. | The witnesses described the man as a raving {nutjob}. | Tanıklar adamı çıldırmış bir kaçık olarak tanımladı. | You'd have to be a {nutjob} to quit such a good job. | Böyle iyi bir işten ayrılmak için kaçık olmak lazım. | The comedian played a lovable {nutjob} in the show. | Komedyen dizide sevimli bir kaçığı canlandırdı.
swing | fiil | sallanmak, savurmak | The children love to {swing} in the park. | Çocuklar parkta sallanmayı çok seviyor. | He tried to {swing} the bat as hard as he could. | Sopayı olabildiğince sert savurmaya çalıştı. | The monkey can {swing} from branch to branch. | Maymun daldan dala sallanabiliyor. | She watched the gate {swing} open in the wind. | Kapının rüzgarda açılarak sallandığını izledi. | The boxer tried to {swing} at his opponent. | Boksör rakibine yumruk savurmaya çalıştı. | Don't {swing} your legs while sitting at the table. | Masada otururken bacaklarını sallama. | The golfer practiced how to {swing} the club correctly. | Golfçü sopayı doğru savurmayı çalıştı. | The old sign began to {swing} during the storm. | Eski tabela fırtınada sallanmaya başladı. | He likes to {swing} dance with his wife. | Eşiyle swing dansı yapmayı seviyor. | They let the rope {swing} freely from the tree. | İpin ağaçtan serbestçe sallanmasına izin verdiler.
headache | isim | baş ağrısı, dert | I have a terrible {headache} this morning. | Bu sabah berbat bir baş ağrım var. | The new tax rules are a real {headache} for businesses. | Yeni vergi kuralları işletmeler için tam bir dert. | She took a pill to ease her {headache}. | Baş ağrısını hafifletmek için bir hap aldı. | Organizing the wedding turned into a huge {headache}. | Düğünü organize etmek büyük bir derde dönüştü. | Loud music always gives me a {headache}. | Yüksek sesli müzik bana hep baş ağrısı verir. | The broken printer was a constant {headache} at the office. | Bozuk yazıcı ofiste sürekli bir dertti. | He went to bed early because of a bad {headache}. | Şiddetli bir baş ağrısı yüzünden erken yattı. | Finding parking downtown is a daily {headache}. | Şehir merkezinde park yeri bulmak günlük bir dert. | A glass of water can help with a mild {headache}. | Bir bardak su hafif bir baş ağrısına iyi gelebilir. | Dealing with his complaints is a major {headache}. | Onun şikayetleriyle uğraşmak büyük bir dert.
rot | fiil | çürümek, bozulmak | The fruit will {rot} if you leave it out. | Meyveyi dışarıda bırakırsan çürür. | The wooden fence began to {rot} after years of rain. | Tahta çit yıllarca yağan yağmurdan sonra çürümeye başladı. | If you don't brush, your teeth will {rot}. | Dişlerini fırçalamazsan çürürler. | The vegetables started to {rot} in the warm cellar. | Sebzeler sıcak kilerde bozulmaya başladı. | Leaves {rot} and enrich the soil over time. | Yapraklar zamanla çürüyüp toprağı zenginleştirir. | The old boat was left to {rot} on the shore. | Eski tekne sahilde çürümeye terk edildi. | Sugar can make your teeth {rot} quickly. | Şeker dişlerinin çabuk çürümesine neden olabilir. | The fallen apples {rot} under the tree every autumn. | Düşen elmalar her sonbahar ağacın altında çürür. | Without care, the beams will eventually {rot}. | Bakım yapılmazsa kirişler sonunda çürür. | He let his talent {rot} by never practicing. | Hiç çalışmayarak yeteneğinin çürümesine izin verdi.
