# Set 14 — 15 kelime
bruise | isim | çürük, morluk | She got a nasty {bruise} after falling off her bike. | Bisikletten düştükten sonra kötü bir çürük oldu.
labor | isim | emek, çalışma, işçilik | The new bridge was built through years of hard {labor}. | Yeni köprü yıllarca süren ağır emekle inşa edildi.
summit | isim | zirve, doruk | They finally reached the {summit} of the mountain at dawn. | Şafak vakti nihayet dağın zirvesine ulaştılar.
sentimental | sıfat | duygusal, içli | She kept the old letters for {sentimental} reasons. | Eski mektupları duygusal nedenlerle sakladı.
vulture | isim | akbaba | A {vulture} circled high above the desert. | Bir akbaba çölün yükseğinde daireler çizdi.
greedy | sıfat | açgözlü, aç gözlü | The {greedy} manager wanted all the profits for himself. | Açgözlü yönetici tüm kârı kendine istiyordu.
straight to | deyim | doğrudan, dosdoğru | After work he went {straight to} bed without eating. | İşten sonra yemek yemeden doğruca yatağa gitti.
it occurred to me that | ifade | aklıma geldi ki, fark ettim ki | Suddenly {it occurred to me that} I had left the stove on. | Birden aklıma ocağı açık bıraktığım geldi.
hangman | isim | cellat, adam asmaca oyunu | The children played a game of {hangman} on the chalkboard. | Çocuklar tahtada adam asmaca oynadılar.
submissive | sıfat | itaatkâr, boyun eğen | The dog became {submissive} when its owner raised his voice. | Köpek sahibi sesini yükseltince itaatkâr oldu.
hitch | isim | aksilik, pürüz, takılma | The ceremony went off without a {hitch}. | Tören hiçbir aksilik olmadan gerçekleşti.
ecstatic | sıfat | çok mutlu, coşkulu | She was {ecstatic} when she heard she had won the prize. | Ödülü kazandığını duyunca çok mutlu oldu.
discretion | isim | sağduyu, ihtiyat, takdir yetkisi | Please handle this matter with {discretion}. | Lütfen bu konuyu ihtiyatla ele alın.
alibi | isim | mazeret, suçsuzluk kanıtı | The suspect had a solid {alibi} for the night of the crime. | Şüphelinin cinayet gecesi için sağlam bir mazereti vardı.
hang | fiil | asmak, sarkmak | They decided to {hang} the painting above the fireplace. | Tabloyu şöminenin üstüne asmaya karar verdiler.
