# Set 7 — 15 kelime
disorder | isim | düzensizlik, bozukluk, rahatsızlık | The room was in complete {disorder} after the party. | Parti sonrası oda tam bir düzensizlik içindeydi. | His desk was a state of total {disorder} with papers everywhere. | Masası her yerde kağıtlarla tam bir düzensizlik hâlindeydi. | The doctor diagnosed her with a rare eating {disorder}. | Doktor ona nadir bir yeme bozukluğu teşhisi koydu. | Years of war left the country in political {disorder}. | Yıllarca süren savaş ülkeyi siyasi bir karmaşa içinde bıraktı. | The sudden noise threw the crowd into {disorder}. | Ani gürültü kalabalığı bir kargaşaya sürükledi. | Sleep {disorder} can seriously affect your daily life. | Uyku bozukluğu günlük yaşamını ciddi şekilde etkileyebilir. | The files were stored in such {disorder} that nobody could find them. | Dosyalar o kadar düzensiz saklanmıştı ki kimse bulamıyordu. | The protest quickly descended into chaos and {disorder}. | Protesto hızla kaos ve düzensizliğe dönüştü. | He suffers from an anxiety {disorder} that makes crowds difficult. | Kalabalıkları zorlaştıran bir kaygı bozukluğundan muzdarip. | After the earthquake, the whole town was in {disorder}. | Depremden sonra bütün kasaba düzensizlik içindeydi.
almighty | sıfat | her şeye kadir, çok güçlü | They prayed to the {almighty} God for protection. | Korunmak için her şeye kadir Tanrı'ya dua ettiler. | The {almighty} king ruled over the entire land. | Her şeye kadir kral bütün topraklara hükmetti. | She believed only the {almighty} could save her now. | Artık yalnızca her şeye kadir olanın onu kurtarabileceğine inanıyordu. | We heard an {almighty} crash from the kitchen. | Mutfaktan müthiş bir çarpma sesi duyduk. | He gave the door an {almighty} push and it flew open. | Kapıya müthiş bir itiş verdi ve kapı ardına kadar açıldı. | The storm hit the coast with {almighty} force. | Fırtına kıyıyı müthiş bir güçle vurdu. | They worshipped the {almighty} sun as their main god. | Her şeye kadir güneşe baş tanrıları olarak taptılar. | There was an {almighty} row between the two managers. | İki müdür arasında müthiş bir kavga çıktı. | The boxer landed an {almighty} blow on his opponent. | Boksör rakibine müthiş bir darbe indirdi. | In the old tale, the {almighty} wizard controlled the weather. | Eski masalda her şeye kadir büyücü havayı kontrol ederdi.
quarrel | isim | kavga, ağız dalaşı, tartışma | The brothers had a bitter {quarrel} over the money. | Kardeşler para yüzünden acı bir kavga yaşadı. | They had a silly {quarrel} about who would do the dishes. | Bulaşıkları kimin yıkayacağı konusunda saçma bir kavga ettiler. | I don't want to start a {quarrel} with my neighbors. | Komşularımla bir kavga başlatmak istemiyorum. | Their long {quarrel} finally ended with a warm apology. | Uzun kavgaları sonunda sıcak bir özürle son buldu. | A small {quarrel} can ruin a good friendship. | Küçük bir kavga iyi bir dostluğu mahvedebilir. | The couple's {quarrel} could be heard through the thin walls. | Çiftin kavgası ince duvarlardan duyulabiliyordu. | He has no {quarrel} with the new rules at work. | İş yerindeki yeni kurallarla bir derdi yok. | Their {quarrel} over politics lasted the whole dinner. | Siyaset üzerine kavgaları bütün akşam yemeği boyunca sürdü. | After the {quarrel}, neither of them spoke for days. | Kavgadan sonra ikisi de günlerce konuşmadı. | It was just a minor {quarrel} and they soon made up. | Sadece küçük bir kavgaydı ve kısa sürede barıştılar.
above all | deyim | her şeyden önce, en önemlisi | {above all}, you must stay calm during the exam. | Her şeyden önce sınav boyunca sakin kalmalısın. | She is kind, smart, and {above all}, honest. | Nazik, akıllı ve her şeyden önce dürüst biri. | {above all}, remember to enjoy the journey. | Her şeyden önce yolculuğun tadını çıkarmayı unutma. | We value teamwork, but {above all} we value trust. | Takım çalışmasına değer veririz ama her şeyden önce güvene değer veririz. | {above all}, never give up on your dreams. | Her şeyden önce hayallerinden asla vazgeçme. | The hotel was clean, quiet, and {above all} affordable. | Otel temiz, sessiz ve her şeyden önce uygun fiyatlıydı. | {above all}, a good leader must listen to others. | Her şeyden önce iyi bir lider başkalarını dinlemelidir. | He wanted success, but {above all} he wanted peace. | Başarı istiyordu ama her şeyden önce huzur istiyordu. | {above all}, your health should be your priority. | Her şeyden önce sağlığın önceliğin olmalı. | The recipe needs fresh herbs and, {above all}, patience. | Tarif taze otlara ve her şeyden önce sabra ihtiyaç duyar.
province | isim | il, eyalet, bölge | She grew up in a small {province} far from the capital. | Başkenttan uzak küçük bir ilde büyüdü. | The northern {province} is famous for its mountains. | Kuzeydeki il dağlarıyla ünlüdür. | Each {province} has its own local government. | Her ilin kendi yerel yönetimi vardır. | Taxes vary from one {province} to another. | Vergiler ilden ile değişir. | They moved to a quiet {province} to escape the city. | Şehirden kaçmak için sakin bir ile taşındılar. | The wine from this {province} is exported worldwide. | Bu ilin şarabı dünya çapında ihraç edilir. | He was elected governor of the eastern {province}. | Doğudaki ilin valisi olarak seçildi. | Marketing is not really my {province} of expertise. | Pazarlama tam olarak benim uzmanlık alanım değil. | The rebels controlled the southern {province} for months. | İsyancılar güneydeki ili aylarca kontrol etti. | Tourism is the main income of this coastal {province}. | Turizm bu kıyı ilinin başlıca gelir kaynağıdır.
domestic | sıfat | yerli, evcil, iç (ülke içi) | The airline mostly operates {domestic} flights. | Havayolu çoğunlukla yerli uçuşlar yapıyor. | Cats and dogs are common {domestic} animals. | Kediler ve köpekler yaygın evcil hayvanlardır. | The government wants to boost {domestic} production. | Hükümet yerli üretimi artırmak istiyor. | She handles all the {domestic} chores at home. | Evdeki tüm ev işlerini o yapar. | {domestic} sales rose sharply this year. | İç piyasa satışları bu yıl keskin biçimde arttı. | The film was a hit in the {domestic} market. | Film yerli piyasada büyük bir başarı yakaladı. | Police were called to deal with a {domestic} dispute. | Polis bir aile içi tartışmayla ilgilenmek için çağrıldı. | Many {domestic} appliances now connect to the internet. | Birçok ev aleti artık internete bağlanıyor. | The company prefers {domestic} suppliers over foreign ones. | Şirket yabancı yerine yerli tedarikçileri tercih ediyor. | The horse was once wild but is now fully {domestic}. | At eskiden vahşiydi ama artık tamamen evcil.
testimony | isim | tanıklık, ifade, kanıt | Her {testimony} convinced the jury of his guilt. | Tanıklığı jüriyi onun suçlu olduğuna ikna etti. | The witness gave his {testimony} under oath. | Tanık ifadesini yemin altında verdi. | His success is a {testimony} to years of hard work. | Başarısı yıllarca süren sıkı çalışmanın bir kanıtı. | The lawyer questioned the reliability of the {testimony}. | Avukat tanıklığın güvenilirliğini sorguladı. | Several people offered {testimony} in support of the accused. | Birkaç kişi sanığın lehine ifade verdi. | The old bridge stands as a {testimony} to fine engineering. | Eski köprü kaliteli mühendisliğin bir kanıtı olarak duruyor. | She recorded her {testimony} for the documentary. | Belgesel için tanıklığını kaydettirdi. | The court found his {testimony} to be false. | Mahkeme onun ifadesini yalan buldu. | Their happy marriage is a {testimony} to mutual respect. | Mutlu evlilikleri karşılıklı saygının bir kanıtı. | The survivor's {testimony} moved everyone in the room. | Hayatta kalanın tanıklığı odadaki herkesi duygulandırdı.
tear out | deyim | koparıp çıkarmak, sökmek | He decided to {tear out} the old carpet from the floor. | Yerdeki eski halıyı söküp atmaya karar verdi. | Please don't {tear out} any pages from the library book. | Lütfen kütüphane kitabından hiçbir sayfayı koparma. | The dentist had to {tear out} the broken tooth. | Diş hekimi kırık dişi çekmek zorunda kaldı. | They will {tear out} the kitchen and build a new one. | Mutfağı söküp yenisini inşa edecekler. | She wanted to {tear out} the weeds before they spread. | Yayılmadan önce yabani otları söküp atmak istedi. | He tried to {tear out} the note before anyone could read it. | Kimse okuyamadan notu koparmaya çalıştı. | The storm threatened to {tear out} the trees by the roots. | Fırtına ağaçları kökünden sökmekle tehdit ediyordu. | Workers came to {tear out} the rotten floorboards. | İşçiler çürük zemin tahtalarını sökmeye geldi. | I had to {tear out} a page to give him the address. | Ona adresi vermek için bir sayfa koparmak zorunda kaldım. | Don't {tear out} the wires or the machine will break. | Kabloları söküp çıkarma yoksa makine bozulur.
revert | fiil | geri dönmek, eski hâline dönmek | If the update fails, the system will {revert} to the old version. | Güncelleme başarısız olursa sistem eski sürüme geri döner. | After the diet ended, he began to {revert} to bad habits. | Diyet bitince kötü alışkanlıklara geri dönmeye başladı. | Please {revert} to me once you have the figures. | Rakamları aldığında bana geri dön. | The land will {revert} to the state if no heir is found. | Mirasçı bulunmazsa arazi devlete geri döner. | Without practice, your skills can quickly {revert}. | Pratik yapmazsan becerilerin hızla eski hâline döner. | We had to {revert} the file to its earlier version. | Dosyayı önceki sürümüne geri döndürmek zorunda kaldık. | Under stress, she tends to {revert} to her native language. | Stres altında ana diline geri dönme eğilimindedir. | The settings will {revert} automatically after one hour. | Ayarlar bir saat sonra otomatik olarak eski hâline döner. | If the deal collapses, prices may {revert} to last year's level. | Anlaşma çökerse fiyatlar geçen yılki seviyeye geri dönebilir. | He promised to {revert} with an answer by Friday. | Cuma gününe kadar bir cevapla geri döneceğine söz verdi.
mishap | isim | aksilik, talihsizlik, kaza | The trip went smoothly without a single {mishap}. | Gezi tek bir aksilik olmadan sorunsuz geçti. | A minor {mishap} in the kitchen ruined the cake. | Mutfaktaki küçük bir aksilik pastayı mahvetti. | Thanks to careful planning, we avoided any {mishap}. | Dikkatli planlama sayesinde her türlü aksilikten kaçındık. | He laughed off the small {mishap} with the spilled coffee. | Dökülen kahveyle ilgili küçük aksiliği gülerek geçiştirdi. | There was a slight {mishap} during the live broadcast. | Canlı yayında ufak bir aksilik oldu. | The launch was delayed by a technical {mishap}. | Fırlatma teknik bir aksilik yüzünden ertelendi. | Despite one {mishap}, the wedding was perfect. | Bir aksiliğe rağmen düğün mükemmeldi. | A wardrobe {mishap} left the actor embarrassed on stage. | Bir kıyafet aksiliği aktörü sahnede mahcup bıraktı. | The experiment failed due to a careless {mishap}. | Deney dikkatsiz bir aksilik yüzünden başarısız oldu. | We arrived safely after a small {mishap} on the road. | Yolda küçük bir aksilik yaşadıktan sonra güvenle vardık.
solitary | sıfat | yalnız, tek başına, ıssız | He led a {solitary} life in a cabin in the woods. | Ormandaki bir kulübede yalnız bir hayat sürdü. | A {solitary} traveler walked along the empty road. | Yalnız bir gezgin boş yolda yürüyordu. | She enjoys {solitary} walks early in the morning. | Sabah erkenden yalnız yürüyüşlerden hoşlanır. | Not a {solitary} cloud was visible in the sky. | Gökyüzünde tek bir bulut bile görünmüyordu. | The prisoner was kept in {solitary} confinement. | Mahkum hücre hapsinde tutuldu. | A {solitary} lamp lit the entire dark hall. | Tek bir lamba bütün karanlık salonu aydınlatıyordu. | The tiger is a largely {solitary} animal. | Kaplan büyük ölçüde yalnız yaşayan bir hayvandır. | He spent a {solitary} evening reading by the fire. | Ateşin başında kitap okuyarak yalnız bir akşam geçirdi. | We saw a {solitary} house on the distant hill. | Uzaktaki tepede tek başına bir ev gördük. | Her only company was a {solitary} cat. | Tek arkadaşı yalnız bir kediydi.
