# Set 28 — 15 kelime
interstitial | sıfat | aradaki, ara boşlukta olan | The {interstitial} ad appeared between two pages of the app. | Ara reklam uygulamanın iki sayfası arasında belirdi. | The {interstitial} space between the cells was filled with fluid. | Hücreler arasındaki ara boşluk sıvıyla doluydu. | Mobile games often show an {interstitial} screen after each level. | Mobil oyunlar genellikle her seviyeden sonra bir ara ekran gösterir. | The doctor noticed some {interstitial} tissue in the scan. | Doktor taramada bir miktar aradaki dokuyu fark etti. | An {interstitial} pause was added between the two acts of the play. | Oyunun iki perdesi arasına bir ara duraklaması eklendi. | Advertisers pay more for {interstitial} placements than for banners. | Reklamverenler aradaki yerleşimler için banner'lardan daha fazla öder. | The {interstitial} layer keeps the two materials from touching. | Aradaki katman iki malzemenin birbirine değmesini önler. | Users often dislike the {interstitial} ad that blocks the content. | Kullanıcılar içeriği engelleyen ara reklamı genellikle sevmez. | Heat travels slowly through the {interstitial} gaps in the wall. | Isı duvardaki ara boşluklardan yavaşça geçer. | The website inserts an {interstitial} message before redirecting you. | Web sitesi seni yönlendirmeden önce aradaki bir mesaj ekler.
fearsome | sıfat | korkunç, ürkütücü | The dragon was a {fearsome} sight to the villagers. | Ejderha köylüler için korkunç bir görüntüydü. | The boxer had a {fearsome} reputation in the ring. | Boksörün ringde korkunç bir ünü vardı. | A {fearsome} storm was building on the horizon. | Ufukta ürkütücü bir fırtına oluşuyordu. | The general was known as a {fearsome} commander. | General korkunç bir komutan olarak biliniyordu. | Their team has a {fearsome} defense this season. | Bu sezon takımlarının korkunç bir savunması var. | The old castle had a {fearsome} appearance at night. | Eski kale geceleri ürkütücü bir görünüme sahipti. | She gave him a {fearsome} look that silenced the room. | Ona odayı susturan ürkütücü bir bakış attı. | The lion let out a {fearsome} roar. | Aslan korkunç bir kükreme çıkardı. | He faced his {fearsome} rival in the final match. | Final maçında korkunç rakibiyle karşılaştı. | The waves looked {fearsome} during the hurricane. | Kasırga sırasında dalgalar ürkütücü görünüyordu.
menace | isim | tehdit, tehlike | Reckless drivers are a {menace} to everyone on the road. | Dikkatsiz sürücüler yoldaki herkes için bir tehdittir. | The gang became a serious {menace} to the neighborhood. | Çete mahalle için ciddi bir tehdit haline geldi. | That dog is a real {menace} when it gets loose. | O köpek serbest kaldığında gerçek bir tehlikedir. | Pollution is a growing {menace} to public health. | Kirlilik halk sağlığı için büyüyen bir tehdittir. | The bully was the {menace} of the entire school. | Zorba, tüm okulun belasıydı. | Forest fires pose a constant {menace} in the summer. | Orman yangınları yazın sürekli bir tehdit oluşturur. | He spoke with quiet {menace} in his voice. | Sesinde sessiz bir tehditle konuştu. | Stray cables on the floor are a tripping {menace}. | Yerdeki başıboş kablolar bir takılma tehlikesidir. | The pirate ship was a {menace} to all who sailed there. | Korsan gemisi oraya yelken açan herkes için bir tehditti. | Spam emails are a daily {menace} for office workers. | İstenmeyen e-postalar ofis çalışanları için günlük bir beladır.
prosecute | fiil | dava açmak, kovuşturmak | The state decided to {prosecute} the company for fraud. | Devlet şirketi dolandırıcılıktan kovuşturmaya karar verdi. | They threatened to {prosecute} anyone who trespassed. | İzinsiz girene dava açmakla tehdit ettiler. | It is difficult to {prosecute} crimes without solid evidence. | Sağlam kanıt olmadan suçları kovuşturmak zordur. | The lawyer chose not to {prosecute} the minor offense. | Avukat küçük suçtan dava açmamayı seçti. | Authorities will {prosecute} those who break the law. | Yetkililer yasayı çiğneyenleri kovuşturacak. | The shop posts signs warning it will {prosecute} shoplifters. | Mağaza hırsızları kovuşturacağı uyarısını içeren tabelalar asar. | They gathered enough proof to {prosecute} the suspect. | Şüpheliyi kovuşturmak için yeterli kanıt topladılar. | The government failed to {prosecute} the corrupt official. | Hükümet yozlaşmış memuru kovuşturmayı başaramadı. | She was hired to {prosecute} major financial crimes. | Büyük mali suçları kovuşturmak için işe alındı. | Police promised to {prosecute} the case to the fullest. | Polis davayı sonuna kadar kovuşturmaya söz verdi.
scour | fiil | iyice aramak, ovarak temizlemek | They had to {scour} the entire house to find the lost keys. | Kayıp anahtarları bulmak için tüm evi iyice aramak zorunda kaldılar. | I had to {scour} the pan to remove the burnt food. | Yanmış yemeği çıkarmak için tavayı ovarak temizlemek zorunda kaldım. | Detectives will {scour} the area for any clues. | Dedektifler ipucu bulmak için bölgeyi iyice arayacak. | She likes to {scour} flea markets for rare books. | Nadir kitaplar için bit pazarlarını iyice taramayı sever. | We had to {scour} the rusty tools before using them. | Kullanmadan önce paslı aletleri ovarak temizlemek zorunda kaldık. | He spent hours trying to {scour} the internet for an answer. | Bir cevap için internette saatlerce arama yaptı. | The cleaners will {scour} every corner of the kitchen. | Temizlikçiler mutfağın her köşesini ovarak temizleyecek. | Rescue teams continued to {scour} the mountainside at dawn. | Kurtarma ekipleri şafakta dağ yamacını taramaya devam etti. | You should {scour} the contract before signing it. | Sözleşmeyi imzalamadan önce iyice incelemelisin. | Volunteers came to {scour} the beach for plastic waste. | Gönüllüler plastik atıklar için plajı taramaya geldi.
afterward | zarf | sonradan, daha sonra | We had dinner and went for a walk {afterward}. | Akşam yemeği yedik ve sonradan yürüyüşe çıktık. | She finished the exam and felt relieved {afterward}. | Sınavı bitirdi ve sonradan rahatladı. | They watched the movie and discussed it {afterward}. | Filmi izlediler ve daha sonra onu tartıştılar. | He apologized to her shortly {afterward}. | Kısa bir süre sonra ona özür diledi. | Take the medicine, and rest {afterward}. | İlacı al ve sonradan dinlen. | We met at the office and had coffee {afterward}. | Ofiste buluştuk ve daha sonra kahve içtik. | The team won the game and celebrated {afterward}. | Takım maçı kazandı ve sonradan kutladı. | First we cleaned the room, and {afterward} we painted it. | Önce odayı temizledik, daha sonra onu boyadık. | He read the report and called me {afterward}. | Raporu okudu ve sonradan beni aradı. | The storm passed, and the sky cleared {afterward}. | Fırtına geçti ve sonradan gökyüzü açıldı.
bigot | isim | bağnaz, dar kafalı kimse | He was a {bigot} who refused to listen to other opinions. | Diğer görüşleri dinlemeyi reddeden bağnaz biriydi. | Nobody wants to work with a {bigot} like him. | Kimse onun gibi bir bağnazla çalışmak istemez. | She was raised by a {bigot} but grew into an open-minded woman. | Bir bağnaz tarafından büyütüldü ama açık görüşlü bir kadın oldu. | The politician was exposed as a hateful {bigot}. | Politikacının nefret dolu bir bağnaz olduğu ortaya çıktı. | A true {bigot} judges people before knowing them. | Gerçek bir bağnaz insanları tanımadan yargılar. | He apologized for sounding like a {bigot} earlier. | Daha önce bir bağnaz gibi konuştuğu için özür diledi. | The novel's villain is a cruel {bigot}. | Romanın kötü adamı acımasız bir bağnazdır. | I refuse to let a {bigot} ruin our friendship. | Bir bağnazın dostluğumuzu mahvetmesine izin vermeyi reddediyorum. | Being a {bigot} only isolates you from others. | Bağnaz olmak seni yalnızca başkalarından izole eder. | The teacher taught us never to become a {bigot}. | Öğretmen bize asla bağnaz olmamayı öğretti.
species | isim | tür, canlı türü | This rare {species} of bird lives only on the island. | Bu nadir kuş türü yalnızca adada yaşar. | Scientists discovered a new {species} of frog in the rainforest. | Bilim insanları yağmur ormanında yeni bir kurbağa türü keşfetti. | Many a {species} is at risk of extinction today. | Bugün birçok tür yok olma riski altında. | The zoo protects several endangered {species}. | Hayvanat bahçesi nesli tükenmekte olan birkaç türü korur. | Each {species} has adapted to its environment. | Her tür kendi çevresine uyum sağlamıştır. | Humans are a remarkably social {species}. | İnsanlar son derece sosyal bir türdür. | This plant {species} only blooms once a year. | Bu bitki türü yılda yalnızca bir kez çiçek açar. | The researchers cataloged every {species} in the forest. | Araştırmacılar ormandaki her türü kataloğa kaydetti. | That fish is the largest {species} in the lake. | O balık göldeki en büyük türdür. | Some {species} of insects can survive extreme heat. | Bazı böcek türleri aşırı sıcağa dayanabilir.
accordingly | zarf | buna göre, bu nedenle | The rules changed, so we adjusted our plans {accordingly}. | Kurallar değişti, bu yüzden planlarımızı buna göre ayarladık. | He missed the deadline and was punished {accordingly}. | Son teslim tarihini kaçırdı ve buna göre cezalandırıldı. | The weather looks bad, so dress {accordingly}. | Hava kötü görünüyor, bu yüzden ona göre giyin. | Sales dropped, and the budget was cut {accordingly}. | Satışlar düştü ve bütçe buna göre kesildi. | She is the manager now and will be treated {accordingly}. | Artık o müdür ve buna göre muamele görecek. | The market shifted, and we reacted {accordingly}. | Piyasa değişti ve biz buna göre tepki verdik. | Read the instructions and proceed {accordingly}. | Talimatları oku ve buna göre ilerle. | The risk was high, so the price was set {accordingly}. | Risk yüksekti, bu yüzden fiyat buna göre belirlendi. | He is a senior expert and is paid {accordingly}. | O kıdemli bir uzman ve buna göre maaş alıyor. | Conditions worsened, and the team responded {accordingly}. | Koşullar kötüleşti ve ekip buna göre yanıt verdi.
the matter is closed | ifade | konu kapanmıştır, mesele bitti | I have made my decision and {the matter is closed}. | Kararımı verdim ve konu kapanmıştır. | As far as I'm concerned, {the matter is closed}. | Bana kalırsa, konu kapanmıştır. | He apologized, and now {the matter is closed}. | Özür diledi ve artık mesele bitti. | The boss said firmly that {the matter is closed}. | Patron kesin bir dille konunun kapandığını söyledi. | We have discussed it enough, so {the matter is closed}. | Bunu yeterince tartıştık, bu yüzden konu kapanmıştır. | Once the contract is signed, {the matter is closed}. | Sözleşme imzalandığında, mesele biter. | Stop arguing with me; {the matter is closed}. | Benimle tartışmayı bırak; konu kapanmıştır. | The judge ruled, and {the matter is closed}. | Hâkim karar verdi ve mesele bitti. | I don't want to hear about it again because {the matter is closed}. | Bunu bir daha duymak istemiyorum çünkü konu kapanmıştır. | They reached an agreement, so {the matter is closed}. | Bir anlaşmaya vardılar, bu yüzden mesele bitti.
cruelty | isim | zulüm, gaddarlık | The film exposes the {cruelty} of war. | Film savaşın zulmünü gözler önüne seriyor. | She could not bear the {cruelty} shown to the animals. | Hayvanlara gösterilen zulme dayanamadı. | His words were full of unexpected {cruelty}. | Sözleri beklenmedik bir gaddarlıkla doluydu. | The new law aims to prevent {cruelty} to children. | Yeni yasa çocuklara karşı zulmü önlemeyi amaçlıyor. | History is full of acts of human {cruelty}. | Tarih insan zulmü eylemleriyle doludur. | The dictator ruled with shocking {cruelty}. | Diktatör şok edici bir gaddarlıkla yönetti. | They reported the {cruelty} they witnessed at the farm. | Çiftlikte gördükleri zulmü bildirdiler. | There was a streak of {cruelty} in his character. | Karakterinde bir gaddarlık damarı vardı. | The story describes the {cruelty} of life in the prison. | Hikâye hapishanedeki yaşamın zulmünü anlatır. | We must speak out against all forms of {cruelty}. | Her türlü zulme karşı sesimizi yükseltmeliyiz.
