# Set 29 — 15 kelime
recreation | isim | eğlence, dinlence, boş zaman etkinliği | Hiking is her favorite form of {recreation}. | Doğa yürüyüşü onun en sevdiği dinlence biçimidir. | The city built a new park for {recreation}. | Şehir, dinlence için yeni bir park yaptı. | Reading is a quiet form of {recreation} for me. | Okumak benim için sakin bir dinlence biçimidir. | They spend their weekends in outdoor {recreation}. | Hafta sonlarını açık havada eğlenceyle geçirirler. | The resort offers many kinds of {recreation}. | Tesis birçok türde eğlence sunuyor. | Sports are an important part of healthy {recreation}. | Spor, sağlıklı dinlencenin önemli bir parçasıdır. | Children need time for play and {recreation}. | Çocukların oyun ve eğlence için zamana ihtiyacı vardır. | The center provides {recreation} for the elderly. | Merkez, yaşlılar için dinlence olanağı sağlıyor. | Fishing is his idea of perfect {recreation}. | Balık tutmak onun mükemmel dinlence anlayışıdır. | We need more areas for public {recreation}. | Halkın eğlencesi için daha fazla alana ihtiyacımız var.
negligible | sıfat | önemsiz, ihmal edilebilir, kayda değmeyen | The difference in price was {negligible}. | Fiyattaki fark önemsizdi. | The risk of failure is {negligible}. | Başarısızlık riski ihmal edilebilir düzeyde. | The damage to the car was {negligible}. | Arabadaki hasar kayda değmezdi. | His contribution to the project was {negligible}. | Onun projeye katkısı önemsizdi. | The effect on the environment is {negligible}. | Çevreye olan etki ihmal edilebilir. | The cost increase was almost {negligible}. | Maliyet artışı neredeyse önemsizdi. | The error in the measurement was {negligible}. | Ölçümdeki hata kayda değmezdi. | There was a {negligible} change in temperature. | Sıcaklıkta önemsiz bir değişiklik oldu. | The amount of sugar is {negligible}. | Şeker miktarı ihmal edilebilir düzeyde. | The delay was {negligible} and caused no problems. | Gecikme önemsizdi ve hiçbir soruna yol açmadı.
shortage | isim | kıtlık, eksiklik, yokluk | There is a serious water {shortage} this summer. | Bu yaz ciddi bir su kıtlığı var. | The country faces a food {shortage}. | Ülke bir gıda kıtlığıyla karşı karşıya. | A {shortage} of nurses affected the hospital. | Hemşire eksikliği hastaneyi etkiledi. | The fuel {shortage} caused long lines at stations. | Yakıt kıtlığı istasyonlarda uzun kuyruklara yol açtı. | There was a {shortage} of skilled workers. | Vasıflı işçi eksikliği vardı. | The drought led to a {shortage} of crops. | Kuraklık ürün kıtlığına yol açtı. | We are dealing with a staff {shortage}. | Personel eksikliğiyle uğraşıyoruz. | The medicine {shortage} worried the doctors. | İlaç kıtlığı doktorları endişelendirdi. | A housing {shortage} has driven up rents. | Konut yokluğu kiraları yükseltti. | The factory closed due to a parts {shortage}. | Fabrika, parça eksikliği nedeniyle kapandı.
proper | sıfat | uygun, doğru, gerektiği gibi | You need to wear the {proper} clothes for the job. | Bu iş için uygun kıyafetleri giymen gerekiyor. | Please follow the {proper} procedure. | Lütfen doğru prosedürü izleyin. | He never learned the {proper} way to do it. | Onu yapmanın doğru yolunu hiç öğrenmedi. | Make sure the documents are in {proper} order. | Belgelerin gerektiği gibi düzenli olduğundan emin ol. | The machine needs {proper} maintenance. | Makinenin gerektiği gibi bakıma ihtiyacı var. | Without {proper} training, the work is dangerous. | Uygun eğitim olmadan iş tehlikelidir. | She showed {proper} respect to her elders. | Büyüklerine gereken saygıyı gösterdi. | Use the {proper} tool for this task. | Bu iş için uygun aleti kullan. | They lacked the {proper} equipment. | Uygun ekipmandan yoksunlardı. | Give the matter {proper} attention. | Konuya gereken ilgiyi gösterin.
grieve | fiil | yas tutmak, kederlenmek, üzülmek | She still {grieve} for her late mother. | Hâlâ rahmetli annesinin yasını tutuyor. | They came together to {grieve} the loss. | Kaybın yasını tutmak için bir araya geldiler. | It takes time to {grieve} properly. | Düzgünce yas tutmak zaman alır. | He needed space to {grieve} alone. | Yalnız başına yas tutmak için alana ihtiyacı vardı. | People {grieve} in different ways. | İnsanlar farklı şekillerde yas tutar. | We must allow ourselves to {grieve}. | Kendimize yas tutma izni vermeliyiz. | The whole nation seemed to {grieve} that day. | O gün bütün ulus yas tutuyor gibiydi. | She began to {grieve} for her lost friend. | Kaybettiği arkadaşının yasını tutmaya başladı. | It is natural to {grieve} after such news. | Böyle bir haberden sonra üzülmek doğaldır. | They gathered to {grieve} together as a family. | Bir aile olarak birlikte yas tutmak için toplandılar.
dealt | fiil | uğraştı, ilgilendi, ele aldı (deal fiilinin geçmiş hâli) | He {dealt} with the problem calmly. | Sorunla sakince ilgilendi. | She {dealt} the cards to all the players. | Kartları tüm oyunculara dağıttı. | The manager {dealt} with the complaint quickly. | Müdür şikayetle hızlıca ilgilendi. | They {dealt} fairly with their customers. | Müşterileriyle adil davrandılar. | The book {dealt} with a difficult subject. | Kitap zor bir konuyu ele aldı. | We {dealt} with the crisis as a team. | Krizle bir ekip olarak uğraştık. | He {dealt} a heavy blow to his opponent. | Rakibine ağır bir darbe indirdi. | The court {dealt} with the case last week. | Mahkeme davayı geçen hafta ele aldı. | She {dealt} with the angry customer politely. | Kızgın müşteriyle nazikçe ilgilendi. | The report {dealt} with several issues at once. | Rapor aynı anda birkaç sorunu ele aldı.
broom | isim | süpürge | She swept the floor with a {broom}. | Yeri bir süpürgeyle süpürdü. | The {broom} was leaning against the wall. | Süpürge duvara yaslanmış duruyordu. | He grabbed a {broom} to clean the porch. | Verandayı temizlemek için bir süpürge aldı. | The witch flew on a {broom} in the story. | Hikâyede cadı bir süpürgeyle uçuyordu. | We need a new {broom} for the kitchen. | Mutfak için yeni bir süpürgeye ihtiyacımız var. | The old {broom} had lost most of its bristles. | Eski süpürge tellerinin çoğunu kaybetmişti. | Hand me the {broom}, please. | Lütfen bana süpürgeyi uzat. | She kept the {broom} in the closet. | Süpürgeyi dolapta saklardı. | The shop sells brushes and a {broom}. | Dükkân fırçalar ve süpürge satıyor. | He used a {broom} to sweep the leaves away. | Yaprakları süpürmek için bir süpürge kullandı.
at will | ifade | istediği gibi, keyfine göre, serbestçe | The employees could come and go {at will}. | Çalışanlar istedikleri gibi gelip gidebiliyordu. | She can change her plans {at will}. | Planlarını keyfine göre değiştirebiliyor. | The actor could cry {at will} during scenes. | Oyuncu sahnelerde istediği gibi ağlayabiliyordu. | Members may join or leave the club {at will}. | Üyeler kulübe istedikleri gibi katılıp ayrılabilir. | He moves money between accounts {at will}. | Hesaplar arasında parayı serbestçe aktarıyor. | The dog roamed the yard {at will}. | Köpek bahçede serbestçe dolaşıyordu. | You can edit the document {at will}. | Belgeyi istediğin gibi düzenleyebilirsin. | The artist mixes colors {at will}. | Sanatçı renkleri keyfine göre karıştırıyor. | Guests may use the pool {at will}. | Misafirler havuzu serbestçe kullanabilir. | He travels {at will} now that he is retired. | Emekli olduğu için artık istediği gibi seyahat ediyor.
teeming | sıfat | kaynayan, dolup taşan, cıvıl cıvıl | The market was {teeming} with people. | Pazar insanlarla dolup taşıyordu. | The river was {teeming} with fish. | Nehir balıklarla kaynıyordu. | The streets were {teeming} with tourists. | Sokaklar turistlerle cıvıl cıvıldı. | The forest is {teeming} with wildlife. | Orman yaban hayatıyla dolup taşıyor. | The stadium was {teeming} with excited fans. | Stadyum heyecanlı taraftarlarla doluydu. | His mind was {teeming} with new ideas. | Zihni yeni fikirlerle kaynıyordu. | The pond was {teeming} with tadpoles. | Gölet iribaşlarla dolup taşıyordu. | The city center was {teeming} with shoppers. | Şehir merkezi alışveriş yapanlarla cıvıl cıvıldı. | The garden was {teeming} with insects. | Bahçe böceklerle kaynıyordu. | The harbor was {teeming} with boats. | Liman teknelerle dolup taşıyordu.
subside | fiil | dinmek, yatışmak, azalmak | The pain began to {subside} after the medicine. | İlaçtan sonra ağrı dinmeye başladı. | The storm finally began to {subside}. | Fırtına sonunda dinmeye başladı. | Her anger started to {subside} slowly. | Öfkesi yavaşça yatışmaya başladı. | The floodwaters began to {subside} by morning. | Sel suları sabaha doğru çekilmeye başladı. | The noise will {subside} once they leave. | Onlar gidince gürültü dinecek. | The swelling should {subside} in a few days. | Şişlik birkaç gün içinde inmeli. | Public protests began to {subside}. | Halkın protestoları yatışmaya başladı. | The fever did not {subside} for two days. | Ateş iki gün boyunca düşmedi. | His excitement began to {subside}. | Heyecanı yatışmaya başladı. | The waves slowly began to {subside}. | Dalgalar yavaşça dinmeye başladı.
regrettably | zarf | maalesef, üzülerek, ne yazık ki | {regrettably}, we cannot offer you the job. | Maalesef size işi veremiyoruz. | {regrettably}, the event has been canceled. | Ne yazık ki etkinlik iptal edildi. | {regrettably}, he was unable to attend. | Maalesef katılamadı. | {regrettably}, the tickets are sold out. | Ne yazık ki biletler tükendi. | {regrettably}, the project failed to meet its goals. | Maalesef proje hedeflerine ulaşamadı. | {regrettably}, we must close the store early. | Ne yazık ki mağazayı erken kapatmak zorundayız. | {regrettably}, the package arrived damaged. | Maalesef paket hasarlı geldi. | {regrettably}, she missed her flight. | Ne yazık ki uçağını kaçırdı. | {regrettably}, the data was lost. | Maalesef veriler kayboldu. | {regrettably}, no refund can be given. | Ne yazık ki geri ödeme yapılamaz.
