# Set 2 — 15 kelime
recruitment | isim | işe alım, eleman toplama | The company started a new {recruitment} campaign this month. | Şirket bu ay yeni bir işe alım kampanyası başlattı. | Our {recruitment} process takes about three weeks. | İşe alım sürecimiz yaklaşık üç hafta sürüyor. | She works in {recruitment} for a tech firm. | Bir teknoloji firmasında işe alım alanında çalışıyor. | The army increased its {recruitment} efforts last year. | Ordu geçen yıl eleman toplama çabalarını artırdı. | Online platforms have changed {recruitment} forever. | Çevrimiçi platformlar işe alımı tamamen değiştirdi. | We need to improve our {recruitment} strategy. | İşe alım stratejimizi iyileştirmemiz gerekiyor. | The university held a {recruitment} fair for students. | Üniversite öğrenciler için bir işe alım fuarı düzenledi. | Poor {recruitment} can hurt a company badly. | Kötü işe alım bir şirkete ciddi zarar verebilir. | Their {recruitment} team interviewed hundreds of people. | İşe alım ekipleri yüzlerce kişiyle görüşme yaptı. | He is responsible for the {recruitment} of new staff. | Yeni personelin işe alımından o sorumludur.
stain | isim | leke | There is a coffee {stain} on my shirt. | Gömleğimde bir kahve lekesi var. | She tried to remove the {stain} with soap. | Lekeyi sabunla çıkarmaya çalıştı. | The red wine left a dark {stain} on the carpet. | Kırmızı şarap halıda koyu bir leke bıraktı. | This cleaner removes any {stain} easily. | Bu temizleyici her türlü lekeyi kolayca çıkarır. | He noticed a grease {stain} on his tie. | Kravatında bir yağ lekesi fark etti. | The old table had a water {stain} on top. | Eski masanın üstünde bir su lekesi vardı. | I can't get this ink {stain} off my hands. | Ellerimden bu mürekkep lekesini çıkaramıyorum. | A small {stain} ruined her favorite dress. | Küçük bir leke en sevdiği elbiseyi mahvetti. | The walls had a yellow {stain} from the smoke. | Duvarlarda dumandan sarı bir leke vardı. | Bleach can leave a {stain} on colored fabric. | Çamaşır suyu renkli kumaşta leke bırakabilir.
fishy | sıfat | şüpheli, kuşku uyandıran | Something about his story sounds {fishy} to me. | Onun hikayesiyle ilgili bir şey bana şüpheli geliyor. | The whole deal seemed a bit {fishy}. | Bütün anlaşma biraz şüpheli görünüyordu. | I smell something {fishy} about this plan. | Bu planda şüpheli bir şeyler seziyorum. | Her sudden wealth looked rather {fishy}. | Aniden zengin oluşu oldukça şüpheli görünüyordu. | The police thought the man's behavior was {fishy}. | Polis adamın davranışını şüpheli buldu. | There was something {fishy} going on at the office. | Ofiste şüpheli bir şeyler oluyordu. | Don't trust him, his offer is {fishy}. | Ona güvenme, teklifi şüpheli. | The accountant noticed some {fishy} numbers in the report. | Muhasebeci raporda bazı şüpheli rakamlar fark etti. | It all felt {fishy} when he refused to answer. | Cevap vermeyi reddedince her şey şüpheli hale geldi. | Why is the door open? That's {fishy}. | Kapı neden açık? Bu şüpheli.
abomination | isim | iğrençlik, nefret edilen şey | The critics called the new building an {abomination}. | Eleştirmenler yeni binayı bir iğrençlik olarak nitelendirdi. | Many saw the law as a total {abomination}. | Birçok kişi bu yasayı tam bir iğrençlik olarak gördü. | That painting is an {abomination} to true artists. | O tablo gerçek sanatçılar için bir iğrençliktir. | He described the crime as an {abomination}. | Suçu bir iğrençlik olarak tanımladı. | Wasting food like this is an {abomination}. | Yemeği böyle israf etmek bir iğrençliktir. | The old factory was an {abomination} on the landscape. | Eski fabrika manzaranın üzerinde bir iğrençlikti. | Critics called the movie an {abomination}. | Eleştirmenler filmi bir iğrençlik olarak nitelendirdi. | To her, cruelty to animals is an {abomination}. | Ona göre hayvanlara zulüm bir iğrençliktir. | The dictator's rule was an {abomination}. | Diktatörün yönetimi bir iğrençlikti. | This pollution is an {abomination} against nature. | Bu kirlilik doğaya karşı bir iğrençliktir.
misfit | isim | uyumsuz kişi, topluma uymayan | He always felt like a {misfit} at school. | Okulda kendini hep uyumsuz biri gibi hissetti. | The new employee was treated like a {misfit}. | Yeni çalışana uyumsuz biri gibi davranıldı. | She was a creative {misfit} in a boring office. | Sıkıcı bir ofiste yaratıcı bir uyumsuzdu. | Being a {misfit} taught him to think differently. | Uyumsuz olmak ona farklı düşünmeyi öğretti. | The movie is about a charming {misfit}. | Film, sevimli bir uyumsuz hakkında. | He embraced his role as the family {misfit}. | Ailenin uyumsuzu olma rolünü benimsedi. | Many great artists were once seen as a {misfit}. | Birçok büyük sanatçı bir zamanlar uyumsuz olarak görüldü. | As a teenager, she felt like a complete {misfit}. | Gençken kendini tam bir uyumsuz gibi hissediyordu. | The club welcomed every {misfit} in town. | Kulüp kasabadaki her uyumsuzu hoş karşıladı. | Don't worry about being a {misfit}; it's okay to be different. | Uyumsuz olmaktan endişelenme; farklı olmak sorun değil.
evacuate | fiil | tahliye etmek, boşaltmak | The police told everyone to {evacuate} the building immediately. | Polis herkese binayı derhal tahliye etmesini söyledi. | They had to {evacuate} the town before the storm. | Fırtına gelmeden kasabayı tahliye etmek zorunda kaldılar. | Firefighters helped {evacuate} the residents safely. | İtfaiyeciler sakinleri güvenle tahliye etmeye yardım etti. | We must {evacuate} the area at once. | Bölgeyi hemen boşaltmalıyız. | The crew began to {evacuate} the sinking ship. | Mürettebat batan gemiyi tahliye etmeye başladı. | Authorities decided to {evacuate} the coastal villages. | Yetkililer kıyı köylerini tahliye etmeye karar verdi. | Please {evacuate} calmly through the nearest exit. | Lütfen en yakın çıkıştan sakince tahliye olun. | They were ordered to {evacuate} their homes. | Evlerini boşaltmaları emredildi. | It took hours to {evacuate} the stadium. | Stadyumu tahliye etmek saatler aldı. | The army arrived to {evacuate} the wounded soldiers. | Ordu yaralı askerleri tahliye etmek için geldi.
marvelous | sıfat | harika, muhteşem | We had a {marvelous} time at the beach yesterday. | Dün plajda harika vakit geçirdik. | The view from the mountain was simply {marvelous}. | Dağdan görülen manzara gerçekten muhteşemdi. | She is a {marvelous} cook. | O harika bir aşçıdır. | What a {marvelous} idea! | Ne harika bir fikir! | The actor gave a {marvelous} performance. | Oyuncu muhteşem bir performans sergiledi. | They live in a {marvelous} old house. | Muhteşem eski bir evde yaşıyorlar. | The weather was {marvelous} all weekend. | Hava bütün hafta sonu harikaydı. | He told us a {marvelous} story about his travels. | Bize seyahatleri hakkında harika bir hikaye anlattı. | The cake tasted absolutely {marvelous}. | Pasta kesinlikle harika bir tat veriyordu. | It's {marvelous} to see you again. | Seni tekrar görmek harika.
magnitude | isim | büyüklük, önem derecesi | They did not understand the {magnitude} of the problem. | Sorunun büyüklüğünü anlamadılar. | The earthquake had a {magnitude} of seven. | Deprem yedi büyüklüğündeydi. | No one expected a disaster of this {magnitude}. | Kimse bu büyüklükte bir felaket beklemiyordu. | The {magnitude} of the task overwhelmed her. | İşin büyüklüğü onu bunalttı. | Scientists measured the {magnitude} of the star's brightness. | Bilim insanları yıldızın parlaklığının büyüklüğünü ölçtü. | We must consider the {magnitude} of these changes. | Bu değişikliklerin önemini göz önünde bulundurmalıyız. | The full {magnitude} of the loss became clear later. | Kaybın tam büyüklüğü sonradan anlaşıldı. | A crisis of this {magnitude} requires global action. | Bu büyüklükte bir kriz küresel eylem gerektirir. | He underestimated the {magnitude} of the challenge. | Zorluğun büyüklüğünü hafife aldı. | The {magnitude} of her success surprised everyone. | Başarısının büyüklüğü herkesi şaşırttı.
sludge | isim | çamur, balçık, atık çamuru | The bottom of the tank was full of thick {sludge}. | Tankın dibi koyu çamurla doluydu. | Factory waste turned the river into {sludge}. | Fabrika atıkları nehri çamura çevirdi. | They had to clean the {sludge} from the pipes. | Borulardaki çamuru temizlemek zorunda kaldılar. | The oil spill left black {sludge} on the shore. | Petrol sızıntısı kıyıda siyah bir çamur bıraktı. | The old coffee turned into a brown {sludge}. | Eski kahve kahverengi bir çamura dönüştü. | Workers removed tons of {sludge} from the lake. | İşçiler gölden tonlarca çamur çıkardı. | The drain was blocked with greasy {sludge}. | Gider yağlı çamurla tıkanmıştı. | Heavy rain washed {sludge} into the streets. | Şiddetli yağmur sokaklara çamur taşıdı. | The machine pumps {sludge} out of the basement. | Makine bodrumdaki çamuru dışarı pompalıyor. | Treating the {sludge} is an important part of the process. | Çamurun arıtılması sürecin önemli bir parçasıdır.
pour | fiil | dökmek, boşaltmak | Could you {pour} me a glass of water? | Bana bir bardak su döker misin? | She began to {pour} the milk into the bowl. | Sütü kaseye dökmeye başladı. | Let me {pour} you some tea. | Sana biraz çay dökeyim. | He carefully {pour} the hot soup into the cups. | Sıcak çorbayı dikkatlice fincanlara döktü. | Rain started to {pour} down suddenly. | Yağmur aniden boşanmaya başladı. | Please {pour} the batter into the pan slowly. | Lütfen hamuru tavaya yavaşça dök. | She watched him {pour} coffee for the guests. | Onun misafirler için kahve dökmesini izledi. | Don't {pour} too much sauce on the pasta. | Makarnaya çok fazla sos dökme. | They {pour} concrete to build the new road. | Yeni yolu yapmak için beton döküyorlar. | Wait for it to cool before you {pour} it out. | Dökmeden önce soğumasını bekle.
ruin | fiil | mahvetmek, harap etmek | Don't let one mistake {ruin} your whole day. | Tek bir hatanın bütün gününü mahvetmesine izin verme. | The heavy rain could {ruin} our picnic. | Şiddetli yağmur piknikimizi mahvedebilir. | He didn't want to {ruin} the surprise. | Sürprizi mahvetmek istemiyordu. | Too much sugar can {ruin} the recipe. | Çok fazla şeker tarifi mahvedebilir. | One bad review can {ruin} a restaurant. | Tek bir kötü yorum bir restoranı mahvedebilir. | She was afraid she would {ruin} her career. | Kariyerini mahvedeceğinden korkuyordu. | The scandal threatened to {ruin} his reputation. | Skandal onun itibarını mahvetmekle tehdit ediyordu. | Please don't {ruin} the movie by telling the ending. | Lütfen sonunu söyleyerek filmi mahvetme. | A single weed can {ruin} a perfect garden. | Tek bir yabani ot mükemmel bir bahçeyi mahvedebilir. | I won't let him {ruin} this moment for us. | Bu anımızı mahvetmesine izin vermeyeceğim.
