# Set 23 — 15 kelime
resemblance | isim | benzerlik, andırma | The {resemblance} between the twins is striking. | İkizler arasındaki benzerlik çarpıcıdır. | There is a clear {resemblance} between this painting and the original. | Bu tablo ile orijinali arasında açık bir benzerlik var. | Everyone notices the {resemblance} you have to your mother. | Annene olan benzerliğini herkes fark ediyor. | The new model bears no {resemblance} to the old one. | Yeni model eskisine hiç benzemiyor. | Their stories had a strange {resemblance} to each other. | Hikayeleri birbirine garip bir benzerlik taşıyordu. | I saw a faint {resemblance} between the two brothers. | İki kardeş arasında hafif bir benzerlik gördüm. | The detective noted a {resemblance} to a previous case. | Dedektif önceki bir davaya benzerlik olduğunu kaydetti. | Her smile bears a striking {resemblance} to her grandmother's. | Gülümsemesi büyükannesininkine çarpıcı bir benzerlik taşıyor. | The forgery had an uncanny {resemblance} to the real document. | Sahte belge gerçeğine tüyler ürpertici bir benzerlik gösteriyordu. | People often comment on the family {resemblance} at reunions. | İnsanlar buluşmalarda sık sık aile benzerliği üzerine yorum yapar.
bizarre | sıfat | tuhaf, acayip, garip | She told us a {bizarre} story about a talking cat. | Bize konuşan bir kedi hakkında tuhaf bir hikaye anlattı. | It was a {bizarre} coincidence that we met again. | Tekrar karşılaşmamız tuhaf bir tesadüftü. | He wore a {bizarre} outfit to the party last night. | Dün geceki partiye acayip bir kıyafet giymişti. | The painting featured a {bizarre} mix of colors and shapes. | Tablo renk ve şekillerin garip bir karışımını içeriyordu. | Their behavior at the meeting was absolutely {bizarre}. | Toplantıdaki davranışları kesinlikle tuhaftı. | A {bizarre} noise came from the basement at midnight. | Gece yarısı bodrumdan acayip bir ses geldi. | The film has a {bizarre} ending that confused everyone. | Filmin herkesi şaşırtan tuhaf bir sonu var. | She has a {bizarre} habit of talking to her plants. | Bitkileriyle konuşmak gibi garip bir alışkanlığı var. | The detective found a {bizarre} clue at the crime scene. | Dedektif olay yerinde tuhaf bir ipucu buldu. | It felt {bizarre} to be back in my old school. | Eski okuluma geri dönmek tuhaf hissettirdi.
vain | sıfat | boşuna, nafile, kibirli | All our efforts to save the company were in {vain}. | Şirketi kurtarmak için tüm çabalarımız boşunaydı. | He is far too {vain} about his appearance. | Görünüşü konusunda fazlasıyla kibirli. | She made a {vain} attempt to fix the broken machine. | Bozuk makineyi tamir etmek için boşuna bir girişimde bulundu. | They waited all night in {vain} for the train. | Tren için bütün gece boşuna beklediler. | The proud and {vain} king ignored all advice. | Gururlu ve kibirli kral tüm öğütleri görmezden geldi. | I tried in {vain} to reach him on the phone. | Ona telefonla ulaşmaya boşuna çalıştım. | Don't be so {vain}; looks are not everything. | Bu kadar kibirli olma; görünüş her şey değil. | His {vain} hopes of winning were soon crushed. | Kazanma konusundaki boş umutları kısa sürede yıkıldı. | We searched the woods in {vain} for the lost dog. | Kaybolan köpeği ormanda boşuna aradık. | She is too {vain} to admit she ever made a mistake. | Hata yaptığını kabul edemeyecek kadar kibirli.
go along | deyim | uymak, razı olmak, eşlik etmek | I decided to {go along} with their plan even though I had doubts. | Şüphelerim olmasına rağmen onların planına uymaya karar verdim. | She was happy to {go along} with whatever the group chose. | Grubun seçtiği her şeye razı olmaktan mutluydu. | Why don't you {go along} to the meeting with me? | Neden benimle toplantıya eşlik etmiyorsun? | He tends to {go along} with the crowd too easily. | Kalabalığa fazla kolay uyma eğilimindedir. | I'll {go along} with your decision this time. | Bu sefer kararına uyacağım. | They asked me to {go along} for the trip next week. | Gelecek hafta gezi için eşlik etmemi istediler. | We can figure out the details as we {go along}. | Detayları ilerledikçe çözebiliriz. | She refused to {go along} with the dishonest scheme. | Dürüst olmayan plana razı olmayı reddetti. | Just {go along} with it and don't ask questions. | Sadece uy ve soru sorma. | Most members chose to {go along} with the new rules. | Çoğu üye yeni kurallara uymayı seçti.
sike | ünlem | şaka şaka, kandırdım | I said I won the lottery, then yelled {sike}. | Piyangoyu kazandığımı söyledim, sonra şaka şaka diye bağırdım. | He told me school was canceled, then shouted {sike}. | Bana okulun iptal olduğunu söyledi, sonra kandırdım diye bağırdı. | She promised to share her cake, but then said {sike}. | Pastasını paylaşacağına söz verdi, ama sonra şaka şaka dedi. | You thought I forgot your birthday? {sike}! | Doğum gününü unuttuğumu mu sandın? Kandırdım! | He pretended to give me the keys and yelled {sike}. | Bana anahtarları verir gibi yapıp kandırdım diye bağırdı. | I almost believed him until he said {sike}. | Kandırdım diyene kadar ona neredeyse inanıyordum. | They said the test was easy, then laughed and said {sike}. | Sınavın kolay olduğunu söylediler, sonra gülüp şaka şaka dediler. | She acted serious for a second, then screamed {sike}. | Bir an ciddi davrandı, sonra kandırdım diye çığlık attı. | He said he was moving away, but it was just {sike}. | Taşınacağını söyledi, ama sadece şaka şakaydı. | Don't fall for it; he always yells {sike} afterward. | Kanma; o her zaman sonradan kandırdım diye bağırır.
breakthrough | isim | atılım, önemli gelişme, çığır | Scientists made a major {breakthrough} in cancer research. | Bilim insanları kanser araştırmasında büyük bir atılım yaptılar. | The new battery is a real {breakthrough} for electric cars. | Yeni pil elektrikli arabalar için gerçek bir atılım. | After months of failure, we finally had a {breakthrough}. | Aylarca süren başarısızlığın ardından sonunda bir atılım yaptık. | Her invention was hailed as a scientific {breakthrough}. | Buluşu bilimsel bir atılım olarak selamlandı. | The peace talks reached an unexpected {breakthrough}. | Barış görüşmeleri beklenmedik bir atılıma ulaştı. | This discovery marks a {breakthrough} in clean energy. | Bu keşif temiz enerjide bir çığır açıyor. | The team celebrated their technological {breakthrough}. | Ekip teknolojik atılımlarını kutladı. | A medical {breakthrough} could save millions of lives. | Tıbbi bir atılım milyonlarca hayat kurtarabilir. | The startup achieved a {breakthrough} that surprised investors. | Girişim, yatırımcıları şaşırtan bir atılım gerçekleştirdi. | Years of research finally led to a {breakthrough}. | Yıllarca süren araştırma sonunda bir atılıma yol açtı.
dignity | isim | onur, haysiyet, vakar | He faced his illness with great {dignity}. | Hastalığıyla büyük bir onurla yüzleşti. | Every person deserves to be treated with {dignity}. | Her insan haysiyetle muamele görmeyi hak eder. | She left the room with quiet {dignity}. | Odadan sessiz bir vakarla ayrıldı. | The old man carried himself with remarkable {dignity}. | Yaşlı adam dikkat çekici bir vakarla davranıyordu. | They fought to protect the {dignity} of the workers. | İşçilerin onurunu korumak için mücadele ettiler. | Losing his job hurt his sense of {dignity}. | İşini kaybetmek onur duygusunu incitti. | The queen accepted defeat with grace and {dignity}. | Kraliçe yenilgiyi zarafet ve vakarla kabul etti. | We must preserve the {dignity} of every patient. | Her hastanın haysiyetini korumalıyız. | He refused to beg, keeping his {dignity} intact. | Onurunu koruyarak yalvarmayı reddetti. | The ceremony was conducted with solemn {dignity}. | Tören ciddi bir vakarla yürütüldü.
implore | fiil | yalvarmak, yakarmak | She began to {implore} him not to leave. | Ona gitmemesi için yalvarmaya başladı. | I {implore} you to reconsider your decision. | Kararını yeniden gözden geçirmen için sana yalvarıyorum. | The mother started to {implore} the judge for mercy. | Anne yargıçtan merhamet için yalvarmaya başladı. | They came to {implore} the king for protection. | Kraldan koruma için yalvarmaya geldiler. | He fell to his knees to {implore} forgiveness. | Af dilemek için dizlerinin üstüne çöktü. | We {implore} the government to take immediate action. | Hükümete derhal harekete geçmesi için yakarıyoruz. | She wrote a letter to {implore} their help. | Yardımları için yalvarmak üzere bir mektup yazdı. | The villagers gathered to {implore} the gods for rain. | Köylüler yağmur için tanrılara yakarmak üzere toplandı. | I had to {implore} my boss to give me one more chance. | Patronuma bana bir şans daha vermesi için yalvarmak zorunda kaldım. | Do not make me {implore} you again. | Sana tekrar yalvarmak zorunda bırakma beni.
savage | sıfat | vahşi, acımasız, gaddar | The film shows a {savage} attack by wild animals. | Film vahşi hayvanların acımasız bir saldırısını gösteriyor. | The critic wrote a {savage} review of the new play. | Eleştirmen yeni oyun hakkında acımasız bir eleştiri yazdı. | They survived a {savage} storm at sea. | Denizde vahşi bir fırtınadan sağ kurtuldular. | His {savage} temper frightened everyone around him. | Gaddar öfkesi etrafındaki herkesi korkuttu. | The boxer delivered a {savage} blow to his opponent. | Boksör rakibine acımasız bir darbe indirdi. | The country endured years of {savage} civil war. | Ülke yıllarca süren vahşi bir iç savaşa katlandı. | She gave him a {savage} look full of anger. | Ona öfke dolu vahşi bir bakış attı. | The wolves launched a {savage} hunt at dawn. | Kurtlar şafak vakti vahşi bir av başlattı. | He made a {savage} comment that hurt her deeply. | Onu derinden inciten gaddar bir yorum yaptı. | The dictator ruled with {savage} cruelty. | Diktatör vahşi bir gaddarlıkla yönetti.
interrogate | fiil | sorgulamak, sorguya çekmek | The police will {interrogate} the suspect tomorrow. | Polis şüpheliyi yarın sorgulayacak. | They began to {interrogate} the witness for hours. | Tanığı saatlerce sorgulamaya başladılar. | The officer was trained to {interrogate} criminals calmly. | Memur suçluları sakince sorgulamak üzere eğitilmişti. | I felt like they were trying to {interrogate} me at dinner. | Akşam yemeğinde beni sorguya çekmeye çalışıyorlarmış gibi hissettim. | Detectives will {interrogate} everyone who was present. | Dedektifler orada bulunan herkesi sorgulayacak. | She refused to {interrogate} her son about the incident. | Olay hakkında oğlunu sorgulamayı reddetti. | The army planned to {interrogate} the captured spy. | Ordu yakalanan casusu sorgulamayı planladı. | Lawyers have the right to {interrogate} the defendant. | Avukatların sanığı sorgulama hakkı vardır. | They used bright lights to {interrogate} the prisoner. | Mahkumu sorgulamak için parlak ışıklar kullandılar. | Stop trying to {interrogate} me about my plans. | Planlarım hakkında beni sorguya çekmeyi bırak.
hospitability | isim | misafirperverlik, konukseverlik | Their warm {hospitability} made us feel at home. | Sıcak misafirperverlikleri bize kendimizi evimizde gibi hissettirdi. | The region is famous for its generous {hospitability}. | Bölge cömert misafirperverliğiyle ünlüdür. | We were touched by the family's genuine {hospitability}. | Ailenin içten misafirperverliğinden etkilendik. | Their {hospitability} toward strangers is truly admirable. | Yabancılara karşı konukseverlikleri gerçekten takdire değer. | The hotel is known for its excellent {hospitability}. | Otel mükemmel misafirperverliğiyle tanınır. | I will never forget the {hospitability} they showed us. | Bize gösterdikleri misafirperverliği asla unutmayacağım. | Village {hospitability} often surprises foreign visitors. | Köy misafirperverliği yabancı ziyaretçileri sık sık şaşırtır. | Her {hospitability} turned a simple visit into a feast. | Misafirperverliği basit bir ziyareti bir ziyafete dönüştürdü. | The culture places great value on {hospitability}. | Bu kültür misafirperverliğe büyük değer verir. | We thanked our hosts for their kind {hospitability}. | Ev sahiplerimize nazik konukseverlikleri için teşekkür ettik.
