# Set 25 — 15 kelime
intrusion | isim | izinsiz giriş, müdahale | The neighbors saw the late-night visit as an {intrusion} into their privacy. | Komşular gece geç saatteki ziyareti mahremiyetlerine bir müdahale olarak gördü. | The alarm system detected an {intrusion} at the warehouse last night. | Alarm sistemi dün gece depoda izinsiz bir girişi tespit etti. | She felt that his constant questions were an {intrusion} into her personal life. | Sürekli sorularının özel hayatına bir müdahale olduğunu hissetti. | Reporters camping outside the house was a serious {intrusion} on the family. | Evin önünde kamp kuran muhabirler aile için ciddi bir müdahaleydi. | The new law aims to prevent the {intrusion} of advertisers into our data. | Yeni yasa, reklamcıların verilerimize müdahalesini önlemeyi amaçlıyor. | Security cameras recorded the {intrusion} into the restricted area. | Güvenlik kameraları yasak bölgeye yapılan izinsiz girişi kaydetti. | He apologized for the {intrusion} and quietly left the meeting room. | Müdahalesi için özür diledi ve sessizce toplantı odasından çıktı. | Any {intrusion} of saltwater can damage the freshwater wells. | Tuzlu suyun herhangi bir girişi tatlı su kuyularına zarar verebilir. | The committee debated whether the policy was an {intrusion} on free speech. | Komite, bu politikanın ifade özgürlüğüne bir müdahale olup olmadığını tartıştı. | We installed a fence to stop the {intrusion} of wild animals into the garden. | Vahşi hayvanların bahçeye girişini durdurmak için bir çit kurduk.
aging | sıfat | yaşlanan, yaşlanma | Caring for an {aging} parent can be emotionally exhausting. | Yaşlanan bir ebeveyne bakmak duygusal olarak yorucu olabilir. | The company struggles to maintain its {aging} fleet of airplanes. | Şirket yaşlanan uçak filosunu bakımlı tutmakta zorlanıyor. | Many countries face economic problems due to an {aging} population. | Birçok ülke yaşlanan bir nüfus nedeniyle ekonomik sorunlarla karşı karşıya. | The {aging} bridge will be replaced within the next two years. | Yaşlanan köprü önümüzdeki iki yıl içinde yenilenecek. | She uses a special cream to slow the {aging} of her skin. | Cildinin yaşlanmasını yavaşlatmak için özel bir krem kullanıyor. | The factory's {aging} machines break down almost every week. | Fabrikanın yaşlanan makineleri neredeyse her hafta bozuluyor. | Scientists are studying how diet affects the {aging} process. | Bilim insanları beslenmenin yaşlanma sürecini nasıl etkilediğini inceliyor. | Our {aging} infrastructure needs urgent investment from the government. | Yaşlanan altyapımız hükümetten acil yatırım bekliyor. | The {aging} actor still performs on stage despite his health problems. | Yaşlanan aktör, sağlık sorunlarına rağmen hâlâ sahnede performans sergiliyor. | Wine connoisseurs appreciate the slow {aging} of a good red. | Şarap uzmanları iyi bir kırmızının yavaş yaşlanmasını takdir eder.
falter | fiil | sendelemek, duraksamak, tökezlemek | Her voice began to {falter} as she spoke about her late father. | Vefat eden babasından bahsederken sesi titremeye başladı. | The runner started to {falter} in the final hundred meters of the race. | Koşucu, yarışın son yüz metresinde tökezlemeye başladı. | His confidence never seemed to {falter} during the difficult interview. | Zorlu mülakat boyunca özgüveni hiç sarsılmadı gibi görünüyordu. | The economy began to {falter} after the sudden rise in oil prices. | Petrol fiyatlarındaki ani artıştan sonra ekonomi sendelemeye başladı. | Don't let your determination {falter} just before the finish line. | Tam bitiş çizgisinden önce kararlılığının zayıflamasına izin verme. | The old engine started to {falter} as we climbed the steep hill. | Dik tepeyi tırmanırken eski motor tekleyemeye başladı. | She refused to {falter} even when everyone doubted her plan. | Herkes planından şüphe ettiğinde bile o duraksamayı reddetti. | The negotiations began to {falter} over the issue of pricing. | Müzakereler fiyatlandırma konusunda sendelemeye başladı. | He did not {falter} for a moment when asked the toughest question. | En zorlu soru sorulduğunda bir an bile duraksamadı. | Support for the project began to {falter} as costs kept rising. | Maliyetler artmaya devam ettikçe projeye olan destek sarsılmaya başladı.
desperate | sıfat | çaresiz, umutsuz, gözü dönmüş | He was so {desperate} for money that he took two extra jobs. | Paraya o kadar muhtaçtı ki iki ek iş daha aldı. | The family was {desperate} to find their lost dog before nightfall. | Aile, gece olmadan kayıp köpeklerini bulmak için çaresizdi. | In a {desperate} attempt to escape, he jumped from the second floor. | Kaçmak için çaresiz bir girişimle ikinci kattan atladı. | She made a {desperate} phone call asking anyone for help. | Yardım için herkese yalvaran çaresiz bir telefon görüşmesi yaptı. | The team was {desperate} for a win after five straight losses. | Takım, üst üste beş yenilginin ardından bir galibiyet için can atıyordu. | Refugees were {desperate} to reach the border before the storm. | Mülteciler, fırtınadan önce sınıra ulaşmak için çaresizdi. | He gave a {desperate} look as the doors of the train closed. | Trenin kapıları kapanırken çaresiz bir bakış attı. | The doctors made a {desperate} effort to save the patient's life. | Doktorlar hastanın hayatını kurtarmak için umutsuz bir çaba gösterdi. | She was {desperate} to prove that she was innocent. | Masum olduğunu kanıtlamak için her şeyi yapmaya hazırdı. | They were so {desperate} that they sold their house to pay the debt. | Borcu ödemek için evlerini satacak kadar çaresizlerdi.
assertion | isim | iddia, sav, kesin ifade | There is no evidence to support his {assertion} that the system is safe. | Sistemin güvenli olduğuna dair iddiasını destekleyecek hiçbir kanıt yok. | The lawyer challenged the witness's {assertion} during the trial. | Avukat duruşma sırasında tanığın iddiasına itiraz etti. | Her bold {assertion} surprised everyone in the boardroom. | Cesur iddiası toplantı odasındaki herkesi şaşırttı. | Scientists disputed the {assertion} that the drug had no side effects. | Bilim insanları, ilacın yan etkisi olmadığı savına itiraz etti. | Without facts, your {assertion} is simply an opinion. | Gerçekler olmadan iddian sadece bir görüştür. | The report makes the {assertion} that costs will fall next year. | Rapor, maliyetlerin gelecek yıl düşeceği iddiasında bulunuyor. | He repeated his {assertion} that he had never seen the documents. | Belgeleri hiç görmediğine dair iddiasını tekrarladı. | The teacher asked the student to defend his {assertion} with examples. | Öğretmen, öğrenciden iddiasını örneklerle savunmasını istedi. | Their {assertion} of independence angered the central government. | Bağımsızlık iddiaları merkezi hükümeti öfkelendirdi. | I find her {assertion} hard to believe without further proof. | Daha fazla kanıt olmadan iddiasına inanmakta güçlük çekiyorum.
halt | fiil | durdurmak, durmak | The police ordered the driver to {halt} at the checkpoint. | Polis sürücüye kontrol noktasında durmasını emretti. | The company decided to {halt} production until the safety review was complete. | Şirket, güvenlik incelemesi tamamlanana kadar üretimi durdurmaya karar verdi. | Heavy snow forced the trains to {halt} for several hours. | Yoğun kar, trenlerin saatlerce durmasına neden oldu. | The government took steps to {halt} the spread of the disease. | Hükümet, hastalığın yayılmasını durdurmak için adımlar attı. | The march came to a {halt} when the leaders began to negotiate. | Liderler müzakereye başlayınca yürüyüş durdu. | The teacher raised her hand to {halt} the noisy class. | Öğretmen gürültülü sınıfı durdurmak için elini kaldırdı. | We had to {halt} the project because we ran out of funds. | Fonumuz tükendiği için projeyi durdurmak zorunda kaldık. | The soldiers were told to {halt} and identify themselves. | Askerlere durmaları ve kimliklerini bildirmeleri söylendi. | Officials hope the new measures will {halt} the rising inflation. | Yetkililer, yeni önlemlerin yükselen enflasyonu durduracağını umuyor. | The car came to a sudden {halt} just before the cliff. | Araba uçurumdan hemen önce aniden durdu.
resort | fiil | başvurmak, çare olarak kullanmak | We had to {resort} to legal action when negotiations failed. | Müzakereler başarısız olunca yasal yollara başvurmak zorunda kaldık. | If words don't work, some people {resort} to violence. | Kelimeler işe yaramazsa bazı insanlar şiddete başvurur. | She had to {resort} to borrowing money from her relatives. | Akrabalarından borç para almaya başvurmak zorunda kaldı. | Please do not {resort} to lying just to avoid trouble. | Lütfen sadece beladan kaçınmak için yalan söylemeye başvurma. | When the lights failed, we had to {resort} to candles. | Işıklar gidince mumlara başvurmak zorunda kaldık. | The team may {resort} to drastic measures to meet the deadline. | Takım, son tarihe yetişmek için sert önlemlere başvurabilir. | He would never {resort} to cheating, even to win. | Kazanmak için bile asla hile yapmaya başvurmaz. | As a last option, they decided to {resort} to selling the company. | Son seçenek olarak şirketi satmaya başvurmaya karar verdiler. | Don't {resort} to insults when you lose an argument. | Bir tartışmayı kaybettiğinde hakaretlere başvurma. | The patient may {resort} to surgery if the medicine doesn't help. | İlaç işe yaramazsa hasta ameliyata başvurabilir.
epiphany | isim | ani kavrayış, aydınlanma anı | She had an {epiphany} and decided to change her entire career. | Aniden bir aydınlanma yaşadı ve tüm kariyerini değiştirmeye karar verdi. | The artist described painting as a moment of pure {epiphany}. | Sanatçı resim yapmayı saf bir aydınlanma anı olarak tanımladı. | During the long walk, he experienced an unexpected {epiphany}. | Uzun yürüyüş sırasında beklenmedik bir kavrayış yaşadı. | The novel ends with the hero's sudden {epiphany} about love. | Roman, kahramanın aşk hakkındaki ani kavrayışıyla sona eriyor. | Reading that book gave me a real {epiphany} about my own life. | O kitabı okumak bana kendi hayatım hakkında gerçek bir aydınlanma yaşattı. | Her {epiphany} came while she was washing the dishes. | Aydınlanma anı bulaşıkları yıkarken geldi. | Scientists sometimes describe a discovery as a sudden {epiphany}. | Bilim insanları bazen bir keşfi ani bir kavrayış olarak tanımlar. | It took years of struggle before he finally had his {epiphany}. | Sonunda aydınlanma anını yaşamadan önce yıllarca uğraştı. | The teacher's words sparked an {epiphany} in the young student. | Öğretmenin sözleri genç öğrencide bir kavrayış uyandırdı. | In a flash of {epiphany}, she understood what had gone wrong. | Bir aydınlanma anında neyin yanlış gittiğini anladı.
convenient | sıfat | uygun, elverişli, kolay | Let me know a {convenient} time for us to meet next week. | Gelecek hafta buluşmamız için sana uygun bir zaman söyle. | The hotel is in a {convenient} location near the train station. | Otel, tren istasyonuna yakın elverişli bir konumda. | Online shopping is {convenient} for people with busy schedules. | Online alışveriş, yoğun programı olan insanlar için kullanışlıdır. | It is not always {convenient} to answer the phone at work. | İş yerinde telefona cevap vermek her zaman uygun değildir. | We chose a {convenient} cafe halfway between our two homes. | İki evimizin tam ortasında uygun bir kafe seçtik. | A microwave is a {convenient} way to heat up leftovers quickly. | Mikrodalga, artıkları hızlıca ısıtmanın kullanışlı bir yoludur. | His excuse was a little too {convenient} to be believable. | Mazereti, inandırıcı olamayacak kadar işine geliyordu. | Please pick whichever date is most {convenient} for you. | Lütfen sizin için en uygun olan tarihi seçin. | The new app makes booking flights quick and {convenient}. | Yeni uygulama uçuş rezervasyonunu hızlı ve kolay hâle getiriyor. | Living close to the office is extremely {convenient} for me. | Ofise yakın yaşamak benim için son derece elverişli.
compassion | isim | şefkat, merhamet | The nurse treated every patient with great {compassion}. | Hemşire her hastaya büyük bir şefkatle davrandı. | He showed {compassion} toward the homeless man and gave him food. | Evsiz adama merhamet gösterdi ve ona yemek verdi. | A good leader should govern with both wisdom and {compassion}. | İyi bir lider hem bilgelik hem de merhametle yönetmelidir. | Her eyes filled with {compassion} as she listened to the sad story. | Üzücü hikâyeyi dinlerken gözleri şefkatle doldu. | The charity was founded on a deep sense of {compassion} for others. | Hayır kurumu, başkalarına duyulan derin bir merhamet duygusuyla kuruldu. | Showing {compassion} to your enemies takes real strength. | Düşmanlarına merhamet göstermek gerçek güç gerektirir. | The doctor's {compassion} comforted the frightened child. | Doktorun şefkati korkmuş çocuğu rahatlattı. | We must teach our children kindness and {compassion}. | Çocuklarımıza nezaket ve merhameti öğretmeliyiz. | She felt deep {compassion} for the victims of the earthquake. | Depremin kurbanlarına karşı derin bir merhamet hissetti. | True {compassion} means acting to help, not just feeling sorry. | Gerçek merhamet, sadece üzülmek değil, yardım etmek için harekete geçmektir.
either | zarf | de, dahi, hiçbiri | If you don't go, I won't go {either}. | Sen gitmezsen, ben de gitmem. | I don't like coffee, and I don't like tea {either}. | Ne kahveyi severim, ne de çayı. | She didn't call, and she didn't text {either}. | Ne aradı, ne de mesaj attı. | He hasn't finished the report, and I haven't {either}. | O raporu bitirmedi, ben de bitirmedim. | They didn't apologize, and they didn't explain {either}. | Ne özür dilediler, ne de açıklama yaptılar. | We can't afford the car, and we can't afford the rent {either}. | Ne arabayı, ne de kirayı karşılayabiliyoruz. | I've never been to Japan, and my brother hasn't {either}. | Ne ben Japonya'ya gittim, ne de kardeşim gitti. | The first plan didn't work, and the second one didn't {either}. | İlk plan işe yaramadı, ikincisi de yaramadı. | She isn't coming to the party, and he isn't {either}. | O partiye gelmiyor, o da gelmiyor. | I don't understand the question, and they don't {either}. | Ben soruyu anlamıyorum, onlar da anlamıyor.
right out | deyim | açıkça, dolaysızca, dobra dobra | Just say it {right out} instead of hinting at it. | İma etmek yerine açıkça söyle gitsin. | She told him {right out} that she didn't trust him. | Ona dobra dobra güvenmediğini söyledi. | If you disagree, tell me {right out} so we can discuss it. | Katılmıyorsan açıkça söyle ki tartışabilelim. | He asked her {right out} whether she wanted to marry him. | Ona dolaysızca onunla evlenmek isteyip istemediğini sordu. | Don't beat around the bush; just say it {right out}. | Lafı dolandırma, açıkça söyle gitsin. | The boss told us {right out} that there would be no bonuses. | Patron bize dobra dobra hiç ikramiye olmayacağını söyledi. | I'll ask you {right out}: did you take the money? | Sana açıkça soracağım: parayı sen mi aldın? | She admitted {right out} that the mistake was hers. | Hatanın kendisine ait olduğunu açıkça itiraf etti. | He stated {right out} that he would never agree to the deal. | Anlaşmayı asla kabul etmeyeceğini dolaysızca belirtti. | Tell me {right out} if I'm doing something wrong. | Yanlış bir şey yapıyorsam bana açıkça söyle.
