# Set 3 — 15 kelime
sue | fiil | dava açmak | She threatened to {sue} the company for negligence. | Şirketi ihmalden dava etmekle tehdit etti. | They decided to {sue} the landlord over the unsafe building. | Güvensiz bina yüzünden ev sahibine dava açmaya karar verdiler. | If they don't pay, we will {sue} them in court. | Eğer ödemezlerse onları mahkemede dava edeceğiz. | The customer planned to {sue} for a refund. | Müşteri para iadesi için dava açmayı planladı. | You can't {sue} someone without solid evidence. | Sağlam kanıt olmadan birine dava açamazsın. | The author chose to {sue} the publisher for breach of contract. | Yazar, sözleşme ihlali nedeniyle yayıncıya dava açmayı tercih etti. | Several patients want to {sue} the hospital. | Birkaç hasta hastaneye dava açmak istiyor. | He warned that he would {sue} for damages. | Tazminat için dava açacağı konusunda uyardı. | It is expensive to {sue} a large corporation. | Büyük bir şirkete dava açmak pahalıdır. | She decided not to {sue} after they apologized. | Özür dilemelerinin ardından dava açmamaya karar verdi.
carcass | isim | leş, hayvan ölüsü | Vultures circled the {carcass} in the desert. | Akbabalar çöldeki leşin etrafında döndü. | The hunters left the {carcass} for the wolves. | Avcılar leşi kurtlara bıraktı. | A foul smell rose from the rotting {carcass}. | Çürüyen leşten pis bir koku yükseldi. | The lion dragged the {carcass} into the tall grass. | Aslan leşi uzun otların arasına sürükledi. | Flies swarmed around the {carcass} by the road. | Sinekler yol kenarındaki leşin etrafında uçuştu. | Scientists examined the whale {carcass} on the beach. | Bilim insanları sahildeki balina leşini inceledi. | The dog sniffed at the small {carcass} in the field. | Köpek tarladaki küçük leşi kokladı. | They buried the {carcass} to prevent disease. | Hastalığı önlemek için leşi gömdüler. | A bear had stripped the {carcass} to the bone. | Bir ayı leşi kemiklerine kadar sıyırmıştı. | The ranger reported a deer {carcass} near the trail. | Korucu, patika yakınında bir geyik leşi bildirdi.
shrine | isim | tapınak, türbe, kutsal yer | Pilgrims travel for miles to visit the ancient {shrine}. | Hacılar antik türbeyi ziyaret etmek için kilometrelerce yol kat eder. | They lit candles at the small roadside {shrine}. | Yol kenarındaki küçük türbede mum yaktılar. | The mountaintop {shrine} offers a breathtaking view. | Dağ zirvesindeki tapınak nefes kesici bir manzara sunar. | Visitors must remove their shoes before entering the {shrine}. | Ziyaretçiler tapınağa girmeden önce ayakkabılarını çıkarmalıdır. | She kept a tiny {shrine} for her ancestors at home. | Evinde ataları için küçük bir mabet tutuyordu. | The old {shrine} was decorated with fresh flowers. | Eski türbe taze çiçeklerle süslenmişti. | Tourists photographed the golden {shrine} at sunset. | Turistler gün batımında altın türbeyi fotoğrafladı. | A quiet stream flows beside the forest {shrine}. | Orman tapınağının yanında sakin bir dere akar. | The {shrine} was built over a thousand years ago. | Tapınak bin yıldan fazla bir süre önce inşa edildi. | Many people pray at the {shrine} for good fortune. | Birçok insan iyi şans için tapınakta dua eder.
relieve | fiil | rahatlatmak, hafifletmek | A glass of water can {relieve} a mild headache. | Bir bardak su hafif bir baş ağrısını rahatlatabilir. | Deep breathing helps {relieve} stress before a test. | Derin nefes almak sınav öncesi stresi hafifletmeye yardımcı olur. | The new medicine should {relieve} the pain quickly. | Yeni ilaç ağrıyı çabucak dindirmeli. | A warm bath can {relieve} sore muscles. | Sıcak bir banyo ağrıyan kasları rahatlatabilir. | Her kind words helped {relieve} my worries. | Nazik sözleri endişelerimi hafifletmeye yardımcı oldu. | They hired more staff to {relieve} the workload. | İş yükünü hafifletmek için daha fazla personel aldılar. | Nothing could {relieve} the tension in the room. | Hiçbir şey odadaki gerginliği gideremedi. | A short nap can {relieve} fatigue in the afternoon. | Kısa bir uyku öğleden sonra yorgunluğu giderebilir. | The charity works to {relieve} poverty in the region. | Hayır kurumu bölgedeki yoksulluğu hafifletmek için çalışır. | Good news finally came to {relieve} their anxiety. | Sonunda kaygılarını hafifletecek iyi bir haber geldi.
disgrace | isim | utanç, rezalet, gözden düşme | His behavior brought {disgrace} upon the whole family. | Davranışı tüm aileye utanç getirdi. | The scandal ended his career in {disgrace}. | Skandal kariyerini rezaletle sonlandırdı. | Cheating in the exam was a complete {disgrace}. | Sınavda kopya çekmek tam bir rezaletti. | He resigned in {disgrace} after the corruption was exposed. | Yolsuzluk ortaya çıkınca utanç içinde istifa etti. | It is a {disgrace} that the streets are so dirty. | Sokakların bu kadar kirli olması bir rezalet. | She felt the weight of {disgrace} after losing the trust. | Güveni kaybettikten sonra utancın ağırlığını hissetti. | The team's poor performance was a {disgrace}. | Takımın kötü performansı bir rezaletti. | They tried to hide the family {disgrace} for years. | Aile utancını yıllarca gizlemeye çalıştılar. | Such rudeness toward guests is a {disgrace}. | Misafirlere karşı böyle kabalık bir rezalettir. | He brought {disgrace} on himself with those lies. | O yalanlarla kendine utanç getirdi.
demure | sıfat | utangaç, ağırbaşlı, çekingen | She gave a {demure} smile and looked away. | Utangaç bir gülümseme verdi ve başka yöne baktı. | The bride wore a {demure} white dress. | Gelin ağırbaşlı beyaz bir elbise giymişti. | He was charmed by her {demure} manner. | Onun çekingen tavrından etkilendi. | The girl answered in a soft, {demure} voice. | Kız yumuşak, çekingen bir sesle cevap verdi. | Despite her {demure} appearance, she was quite bold. | Çekingen görünüşüne rağmen oldukça cesurdu. | She kept a {demure} silence during the meeting. | Toplantı boyunca ağırbaşlı bir sessizlik korudu. | His {demure} cousin rarely spoke at parties. | Çekingen kuzeni partilerde nadiren konuşurdu. | The actress played a {demure} young lady. | Oyuncu çekingen bir genç hanımı canlandırdı. | Her {demure} glance hid a sharp wit. | Çekingen bakışı keskin bir zekayı gizliyordu. | The new intern seemed shy and {demure} at first. | Yeni stajyer ilk başta utangaç ve çekingen görünüyordu.
adversity | isim | zorluk, sıkıntı, ters talih | He showed great courage in the face of {adversity}. | Zorluklar karşısında büyük cesaret gösterdi. | True character is revealed during {adversity}. | Gerçek karakter zorluklar sırasında ortaya çıkar. | They overcame every {adversity} together. | Her zorluğun üstesinden birlikte geldiler. | The athlete's success came after years of {adversity}. | Sporcunun başarısı yıllarca süren sıkıntıdan sonra geldi. | She learned resilience through constant {adversity}. | Sürekli zorluklar sayesinde dayanıklılık öğrendi. | Many great inventions were born from {adversity}. | Birçok büyük buluş zorluklardan doğdu. | Facing {adversity} can make us stronger. | Zorluklarla yüzleşmek bizi daha güçlü yapabilir. | The family endured financial {adversity} for years. | Aile yıllarca maddi sıkıntıya katlandı. | He never gave up despite the {adversity}. | Zorluklara rağmen asla pes etmedi. | Hope can guide us through times of {adversity}. | Umut, zorluk zamanlarında bize yol gösterebilir.
intervene | fiil | araya girmek, müdahale etmek | The teacher had to {intervene} to stop the fight. | Öğretmen kavgayı durdurmak için müdahale etmek zorunda kaldı. | Police were forced to {intervene} during the protest. | Polis protesto sırasında müdahale etmek zorunda kaldı. | She decided not to {intervene} in their argument. | Onların tartışmasına karışmamaya karar verdi. | The government may {intervene} to control prices. | Hükümet fiyatları kontrol etmek için müdahale edebilir. | A neighbor stepped in to {intervene} before things got worse. | Bir komşu işler kötüleşmeden müdahale etmek için araya girdi. | Doctors had to {intervene} immediately to save him. | Doktorlar onu kurtarmak için derhal müdahale etmek zorunda kaldı. | It is wise not to {intervene} in family matters. | Aile meselelerine karışmamak akıllıcadır. | The referee will {intervene} if the players break the rules. | Oyuncular kuralları çiğnerse hakem müdahale edecek. | She felt compelled to {intervene} when she saw the injustice. | Adaletsizliği görünce müdahale etmek zorunda hissetti. | International forces may {intervene} in the conflict. | Uluslararası güçler çatışmaya müdahale edebilir.
aid | isim | yardım, destek | The government sent {aid} to the flooded region. | Hükümet sel basan bölgeye yardım gönderdi. | Humanitarian {aid} arrived within days of the earthquake. | İnsani yardım depremden günler sonra ulaştı. | The volunteers provided first {aid} at the scene. | Gönüllüler olay yerinde ilk yardım sağladı. | Financial {aid} is available for low-income students. | Düşük gelirli öğrenciler için maddi yardım mevcuttur. | Foreign {aid} helped rebuild the damaged schools. | Yabancı yardım hasarlı okulların yeniden inşasına yardımcı oldu. | Without her {aid}, the project would have failed. | Onun yardımı olmasaydı proje başarısız olurdu. | They called for international {aid} during the crisis. | Kriz sırasında uluslararası yardım çağrısında bulundular. | The charity delivers {aid} to refugees every month. | Hayır kurumu her ay mültecilere yardım ulaştırır. | He came to my {aid} when I was in trouble. | Başım dertteyken yardımıma koştu. | Medical {aid} reached the village just in time. | Tıbbi yardım köye tam zamanında ulaştı.
deceive | fiil | aldatmak, kandırmak | He tried to {deceive} his friends with a false story. | Arkadaşlarını uydurma bir hikayeyle kandırmaya çalıştı. | Don't let appearances {deceive} you. | Görünüşün seni aldatmasına izin verme. | The con artist managed to {deceive} hundreds of people. | Dolandırıcı yüzlerce insanı kandırmayı başardı. | She would never {deceive} the people she loves. | Sevdiği insanları asla aldatmazdı. | They used a fake website to {deceive} customers. | Müşterileri kandırmak için sahte bir web sitesi kullandılar. | It is wrong to {deceive} someone for personal gain. | Kişisel çıkar için birini aldatmak yanlıştır. | The magician seemed to {deceive} the entire audience. | Sihirbaz sanki tüm seyirciyi kandırdı. | He felt guilty for trying to {deceive} his parents. | Ebeveynlerini kandırmaya çalıştığı için suçlu hissetti. | Advertisers sometimes {deceive} people with clever tricks. | Reklamcılar bazen insanları kurnaz hilelerle aldatır. | You can't {deceive} an experienced detective easily. | Deneyimli bir dedektifi kolayca kandıramazsın.
omens | isim | alametler, işaretler, kehanetler | The villagers believed the storm clouds were bad {omens}. | Köylüler fırtına bulutlarının kötü alametler olduğuna inanıyordu. | Ancient people read {omens} in the flight of birds. | Eski insanlar kuşların uçuşunda alametler okurdu. | She saw the broken mirror as one of many ill {omens}. | Kırık aynayı birçok kötü alametten biri olarak gördü. | The priest interpreted the strange {omens} for the king. | Rahip, kral için tuhaf alametleri yorumladı. | Some cultures regard comets as powerful {omens}. | Bazı kültürler kuyruklu yıldızları güçlü alametler olarak görür. | The early frost felt like one of nature's {omens}. | Erken don, doğanın alametlerinden biri gibi hissettirdi. | They dismissed the warnings as mere {omens} of fear. | Uyarıları sadece korku alametleri olarak görmezden geldiler. | Sailors once feared the {omens} of a red sky. | Denizciler bir zamanlar kızıl gökyüzünün alametlerinden korkardı. | The dream was full of dark {omens}. | Rüya karanlık alametlerle doluydu. | Good {omens} appeared on the morning of the wedding. | Düğün sabahında iyi alametler belirdi.
