# Set 5 — 15 kelime
forlorn | sıfat | kederli, terk edilmiş, umutsuz | The {forlorn} puppy waited alone in the rain. | Kederli yavru köpek yağmurda yalnız başına bekledi. | She gave him a {forlorn} look as the train left the station. | Tren istasyondan ayrılırken ona kederli bir bakış attı. | The old house stood {forlorn} at the end of the empty street. | Eski ev boş sokağın sonunda terk edilmiş bir hâlde duruyordu. | After the bad news, he felt completely {forlorn}. | Kötü haberden sonra kendini tamamen umutsuz hissetti. | A {forlorn} hope kept her going through the difficult days. | Umutsuz bir umut, zor günlerde onu ayakta tuttu. | The lost child sat {forlorn} on the bench, waiting for his mother. | Kaybolan çocuk, annesini bekleyerek bankta kederli bir hâlde oturdu. | His {forlorn} expression told us the interview had gone badly. | Kederli ifadesi bize görüşmenin kötü geçtiğini anlattı. | The garden looked {forlorn} after months of neglect. | Bahçe, aylarca ihmal edildikten sonra terk edilmiş görünüyordu. | She wrote a {forlorn} letter that no one ever answered. | Hiç kimsenin cevap vermediği umutsuz bir mektup yazdı. | The soldiers made one last {forlorn} attempt to defend the bridge. | Askerler köprüyü savunmak için son bir umutsuz girişimde bulundular.
eavesdrop | fiil | gizlice dinlemek, kulak misafiri olmak | She tried to {eavesdrop} on their private conversation. | Onların özel konuşmasına kulak misafiri olmaya çalıştı. | It is rude to {eavesdrop} on people in a restaurant. | Bir restoranda insanları gizlice dinlemek kabalıktır. | He hid behind the door to {eavesdrop} on the meeting. | Toplantıyı gizlice dinlemek için kapının arkasına saklandı. | The children would {eavesdrop} whenever their parents argued. | Anne babaları tartıştığında çocuklar kulak misafiri olurlardı. | I did not mean to {eavesdrop}, but I heard everything. | Gizlice dinlemek istememiştim ama her şeyi duydum. | The spy was trained to {eavesdrop} on enemy communications. | Casus, düşman iletişimini gizlice dinlemek üzere eğitilmişti. | She caught her neighbor trying to {eavesdrop} through the wall. | Komşusunu duvardan gizlice dinlemeye çalışırken yakaladı. | Please do not {eavesdrop} when I am on the phone. | Lütfen ben telefondayken kulak misafiri olma. | He learned the secret only because he chose to {eavesdrop}. | Sırrı yalnızca gizlice dinlemeyi seçtiği için öğrendi. | The journalist would {eavesdrop} on conversations to find good stories. | Gazeteci, iyi haberler bulmak için konuşmalara kulak misafiri olurdu.
fundamental | sıfat | temel, esas | Trust is a {fundamental} part of any friendship. | Güven, her dostluğun temel bir parçasıdır. | Reading is a {fundamental} skill that every child must learn. | Okuma, her çocuğun öğrenmesi gereken temel bir beceridir. | There is a {fundamental} difference between the two theories. | İki teori arasında temel bir fark vardır. | Honesty is {fundamental} to building a strong relationship. | Dürüstlük, güçlü bir ilişki kurmak için esastır. | The teacher explained the {fundamental} rules of grammar. | Öğretmen dilbilgisinin temel kurallarını açıkladı. | Clean water is a {fundamental} human need. | Temiz su, temel bir insani ihtiyaçtır. | These principles are {fundamental} to our company's values. | Bu ilkeler, şirketimizin değerleri açısından esastır. | The discovery brought a {fundamental} change to modern science. | Keşif, modern bilime temel bir değişiklik getirdi. | Respect for others is a {fundamental} aspect of good manners. | Başkalarına saygı, iyi davranışların temel bir yönüdür. | We need to address the {fundamental} causes of the problem. | Sorunun temel nedenlerini ele almamız gerekiyor.
eventually | zarf | sonunda, eninde sonunda | He worked hard and {eventually} achieved his dream. | Çok çalıştı ve sonunda hayalini gerçekleştirdi. | After many tries, she {eventually} passed the exam. | Birçok denemeden sonra sınavı eninde sonunda geçti. | The lost dog {eventually} found its way home. | Kaybolan köpek sonunda evinin yolunu buldu. | If you keep practicing, you will {eventually} improve. | Pratik yapmaya devam edersen eninde sonunda gelişeceksin. | The two friends {eventually} made up after their fight. | İki arkadaş kavgalarından sonra eninde sonunda barıştı. | We waited for hours, but the bus {eventually} arrived. | Saatlerce bekledik ama otobüs sonunda geldi. | The company {eventually} expanded into new markets. | Şirket sonunda yeni pazarlara açıldı. | He was nervous at first, but {eventually} relaxed. | Önce gergindi ama eninde sonunda rahatladı. | The truth will {eventually} come out. | Gerçek eninde sonunda ortaya çıkacaktır. | She saved money for years and {eventually} bought a house. | Yıllarca para biriktirdi ve sonunda bir ev satın aldı.
concur | fiil | hemfikir olmak, mutabık kalmak | The experts all {concur} with the new findings. | Uzmanların hepsi yeni bulgularla hemfikir. | I {concur} with your assessment of the situation. | Durumla ilgili değerlendirmenize katılıyorum. | The two doctors {concur} on the best course of treatment. | İki doktor en iyi tedavi yöntemi konusunda mutabık. | Most members of the board {concur} with the proposal. | Yönetim kurulu üyelerinin çoğu teklifle hemfikir. | Do you {concur} that we should delay the launch? | Lansmanı ertelememiz gerektiği konusunda hemfikir misin? | After much debate, the committee finally began to {concur}. | Uzun tartışmalardan sonra komite nihayet mutabık kalmaya başladı. | The judge and the jury did not {concur} on the verdict. | Hâkim ve jüri karar konusunda hemfikir değildi. | Several scientists {concur} that the climate is changing rapidly. | Birçok bilim insanı iklimin hızla değiştiği konusunda hemfikir. | I am happy to {concur} with the majority decision. | Çoğunluğun kararına katılmaktan memnunum. | Both teachers {concur} that the student deserves an award. | Her iki öğretmen de öğrencinin bir ödülü hak ettiği konusunda mutabık.
amusing | sıfat | eğlenceli, komik | The comedian told an {amusing} story about his childhood. | Komedyen çocukluğuyla ilgili eğlenceli bir hikaye anlattı. | We watched an {amusing} film that made everyone laugh. | Herkesi güldüren komik bir film izledik. | She has an {amusing} way of describing everyday events. | Günlük olayları anlatmanın eğlenceli bir yolu var. | His {amusing} jokes lightened the mood at the dinner. | Komik şakaları yemekteki havayı yumuşattı. | The cat did something {amusing} and we all smiled. | Kedi eğlenceli bir şey yaptı ve hepimiz gülümsedik. | I found the whole situation rather {amusing}. | Tüm durumu oldukça eğlenceli buldum. | The teacher shared an {amusing} anecdote to keep us interested. | Öğretmen ilgimizi korumak için komik bir anekdot paylaştı. | It was {amusing} to watch the puppies play in the yard. | Yavru köpeklerin bahçede oynamasını izlemek eğlenceliydi. | He wrote an {amusing} note and left it on my desk. | Komik bir not yazıp masama bıraktı. | The play was both clever and {amusing}. | Oyun hem zekiceydi hem de eğlenceliydi.
eldest | sıfat | en yaşlı, en büyük | Her {eldest} son is studying medicine abroad. | En büyük oğlu yurt dışında tıp okuyor. | The {eldest} child often helps care for the younger ones. | En büyük çocuk genellikle küçüklere bakmaya yardım eder. | As the {eldest}, he felt responsible for the whole family. | En büyük olarak tüm aileden kendini sorumlu hissediyordu. | My {eldest} sister moved to another city last year. | En büyük ablam geçen yıl başka bir şehre taşındı. | The {eldest} member of the club gave a short speech. | Kulübün en yaşlı üyesi kısa bir konuşma yaptı. | Their {eldest} daughter just graduated from university. | En büyük kızları üniversiteden yeni mezun oldu. | The {eldest} grandchild was named after his grandfather. | En büyük torun, dedesinin adıyla anıldı. | She is the {eldest} of five siblings. | Beş kardeşin en büyüğüdür. | The {eldest} brother inherited the family business. | En büyük kardeş aile işini miras aldı. | Among the cousins, he is the {eldest} by two years. | Kuzenler arasında iki yaş farkla en büyük olan o.
abundance | isim | bolluk, bereket | The garden produced an {abundance} of fresh vegetables. | Bahçe bol miktarda taze sebze verdi. | There was an {abundance} of food at the wedding feast. | Düğün ziyafetinde bol miktarda yemek vardı. | The region is known for its {abundance} of natural resources. | Bölge, doğal kaynak bolluğuyla bilinir. | We were grateful for the {abundance} of help from neighbors. | Komşulardan gelen bolca yardım için minnettardık. | This year's harvest brought an {abundance} of grain. | Bu yılki hasat bolca tahıl getirdi. | The forest has an {abundance} of wildlife. | Orman, bol miktarda yaban hayatına sahip. | She lives in {abundance}, never wanting for anything. | Bolluk içinde yaşıyor, hiçbir şeye ihtiyaç duymuyor. | The library offers an {abundance} of books on every subject. | Kütüphane her konuda bol miktarda kitap sunuyor. | After the rain, there was an {abundance} of flowers in the field. | Yağmurdan sonra tarlada bol miktarda çiçek vardı. | The country enjoys an {abundance} of sunshine all year. | Ülke yıl boyunca bol güneş ışığının tadını çıkarıyor.
flawless | sıfat | kusursuz, mükemmel | Her performance on stage was absolutely {flawless}. | Sahnedeki performansı kesinlikle kusursuzdu. | The diamond was rare and completely {flawless}. | Elmas nadir ve tamamen kusursuzdu. | He delivered a {flawless} speech without a single mistake. | Tek bir hata bile yapmadan kusursuz bir konuşma yaptı. | The chef prepared a {flawless} dinner for the guests. | Şef, konuklar için kusursuz bir akşam yemeği hazırladı. | Her skin looked smooth and {flawless} in the photo. | Fotoğrafta cildi pürüzsüz ve kusursuz görünüyordu. | The gymnast completed a {flawless} routine. | Jimnastikçi kusursuz bir gösteri tamamladı. | The plan was nearly {flawless}, but luck still mattered. | Plan neredeyse kusursuzdu ama yine de şans önemliydi. | She spoke {flawless} French during the interview. | Görüşme boyunca kusursuz bir Fransızca konuştu. | The new car has a {flawless} design. | Yeni arabanın kusursuz bir tasarımı var. | His handwriting was neat and {flawless}. | El yazısı düzgün ve kusursuzdu.
sorrow | isim | keder, üzüntü, hüzün | She felt deep {sorrow} after losing her best friend. | En yakın arkadaşını kaybettikten sonra derin bir keder hissetti. | His eyes were full of {sorrow} as he said goodbye. | Veda ederken gözleri kederle doluydu. | The song expresses the {sorrow} of leaving home. | Şarkı, evden ayrılmanın hüznünü ifade ediyor. | Time slowly healed her {sorrow}. | Zaman yavaşça onun kederini iyileştirdi. | We shared his {sorrow} at the funeral. | Cenazede onun üzüntüsünü paylaştık. | There is great {sorrow} in the village after the flood. | Selden sonra köyde büyük bir keder var. | She wrote about love and {sorrow} in her poems. | Şiirlerinde aşk ve hüzünden bahsetti. | He hid his {sorrow} behind a brave smile. | Kederini cesur bir gülümsemenin arkasına sakladı. | The news brought {sorrow} to the entire community. | Haber, tüm topluluğa üzüntü getirdi. | In her time of {sorrow}, friends gathered to comfort her. | Keder anında, arkadaşları onu teselli etmek için toplandı.
behold | fiil | görmek, seyretmek, bakmak | They climbed the hill to {behold} the sunset. | Gün batımını seyretmek için tepeye tırmandılar. | Visitors come from far away to {behold} the ancient temple. | Ziyaretçiler antik tapınağı görmek için uzaklardan gelir. | It was a wonderful sight to {behold}. | Görülmeye değer harika bir manzaraydı. | We stood in silence to {behold} the majestic mountains. | Görkemli dağları seyretmek için sessizce durduk. | Few people ever get to {behold} such beauty. | Çok az insan böyle bir güzelliği görmeye nail olur. | The crowd gathered to {behold} the royal procession. | Kalabalık, kraliyet alayını seyretmek için toplandı. | She opened the door to {behold} a room full of flowers. | Çiçeklerle dolu bir odayı görmek için kapıyı açtı. | Travelers stop here to {behold} the famous waterfall. | Gezginler ünlü şelaleyi seyretmek için burada durur. | We were amazed to {behold} the northern lights. | Kuzey ışıklarını görmek bizi hayran bıraktı. | Come and {behold} the wonders of the natural world. | Gel ve doğanın harikalarını seyret.
