# Set 8 — 15 kelime
will | isim | irade, vasiyet | She showed great {will} to overcome her fears. | Korkularını yenmek için büyük bir irade gösterdi. | His grandfather left the house to him in his {will}. | Büyükbabası evi ona vasiyetinde bıraktı. | Where there is a {will}, there is a way. | İrade olan yerde bir yol da vardır. | The lawyer read the {will} aloud to the family. | Avukat vasiyeti aileye yüksek sesle okudu. | She has the {will} to succeed no matter what. | Ne olursa olsun başarmak için iradesi var. | They acted against the {will} of the people. | Halkın iradesine karşı hareket ettiler. | Nothing could break his iron {will}. | Hiçbir şey onun demir iradesini kıramadı. | He updated his {will} after the wedding. | Düğünden sonra vasiyetini güncelledi. | A strong {will} helped her finish the marathon. | Güçlü bir irade maratonu bitirmesine yardım etti. | The dying king made his {will} known to all. | Ölmekte olan kral iradesini herkese duyurdu.
yield | fiil | teslim olmak, boyun eğmek, vermek | The soldiers refused to {yield} to the enemy. | Askerler düşmana boyun eğmeyi reddetti. | These trees {yield} a lot of fruit every summer. | Bu ağaçlar her yaz bol meyve verir. | Drivers must {yield} to pedestrians at this crossing. | Sürücüler bu geçitte yayalara yol vermelidir. | He would not {yield} to their demands. | Onların taleplerine boyun eğmedi. | The new method should {yield} better results. | Yeni yöntem daha iyi sonuçlar vermelidir. | She refused to {yield} an inch in the argument. | Tartışmada bir santim bile geri adım atmayı reddetti. | The old door began to {yield} under the pressure. | Eski kapı baskı altında açılmaya başladı. | Investors hope the bonds will {yield} high returns. | Yatırımcılar tahvillerin yüksek getiri sağlamasını umuyor. | Eventually he had to {yield} to her logic. | Sonunda onun mantığına boyun eğmek zorunda kaldı. | The fields {yield} more grain after good rain. | Tarlalar iyi yağmurdan sonra daha çok tahıl verir.
harmony | isim | uyum, ahenk | The team worked together in perfect {harmony}. | Ekip mükemmel bir uyum içinde birlikte çalıştı. | The choir sang in beautiful {harmony}. | Koro güzel bir ahenk içinde şarkı söyledi. | Living in {harmony} with nature is their goal. | Doğayla uyum içinde yaşamak onların hedefi. | The two cultures coexist in {harmony} here. | İki kültür burada uyum içinde bir arada yaşıyor. | There was little {harmony} between the partners. | Ortaklar arasında pek uyum yoktu. | The colors blend together in perfect {harmony}. | Renkler mükemmel bir uyum içinde birbirine karışıyor. | Music can bring people into {harmony}. | Müzik insanları uyum içine sokabilir. | The garden was designed for visual {harmony}. | Bahçe görsel uyum için tasarlandı. | They finally found {harmony} after years of conflict. | Yıllarca süren çatışmadan sonra nihayet uyumu buldular. | The melody and rhythm were in complete {harmony}. | Melodi ve ritim tam bir uyum içindeydi.
wraith | isim | hayalet, tayf | A pale {wraith} drifted through the abandoned hall. | Solgun bir hayalet terk edilmiş salonda süzüldü. | The old sailor swore he saw a {wraith} on deck. | Yaşlı denizci güvertede bir hayalet gördüğüne yemin etti. | A {wraith} of mist rose from the cold lake. | Soğuk gölden bir tayf gibi sis yükseldi. | Children feared the {wraith} said to haunt the woods. | Çocuklar ormanda dolaştığı söylenen hayaletten korkuyordu. | She looked like a {wraith} after the long illness. | Uzun hastalıktan sonra bir hayalete benziyordu. | A {wraith} appeared at the foot of his bed. | Yatağının ayakucunda bir hayalet belirdi. | Legends speak of a {wraith} guarding the tomb. | Efsaneler mezarı koruyan bir hayaletten bahseder. | The {wraith} vanished as the sun rose. | Güneş doğarken hayalet kayboldu. | He chased the {wraith} but caught only shadows. | Hayaletin peşinden koştu ama sadece gölgeleri yakaladı. | A {wraith} of smoke curled from the dying fire. | Sönen ateşten bir tayf gibi duman kıvrıldı.
dread | fiil | -den çok korkmak, dehşetle beklemek | I {dread} going to the dentist every year. | Her yıl dişçiye gitmekten çok korkarım. | She began to {dread} the long winter nights. | Uzun kış gecelerinden dehşetle korkmaya başladı. | He came to {dread} every phone call from the bank. | Bankadan gelen her telefondan korkar oldu. | They {dread} the day the factory closes. | Fabrikanın kapanacağı günü dehşetle bekliyorlar. | Students often {dread} the final exams. | Öğrenciler çoğu zaman bitirme sınavlarından korkar. | I {dread} to think what might have happened. | Ne olabileceğini düşünmekten bile korkuyorum. | She used to {dread} speaking in public. | Eskiden topluluk önünde konuşmaktan çok korkardı. | We all {dread} the moment of saying goodbye. | Hepimiz vedalaşma anından dehşetle korkuyoruz. | He learned to {dread} his boss's morning mood. | Patronunun sabahki ruh halinden korkmayı öğrendi. | Many people {dread} the sound of the alarm clock. | Birçok kişi çalar saatin sesinden korkar.
violate | fiil | ihlal etmek, çiğnemek | Drivers who {violate} the law will be fined. | Yasayı ihlal eden sürücüler cezalandırılacak. | The company was accused of trying to {violate} the contract. | Şirket sözleşmeyi ihlal etmeye çalışmakla suçlandı. | You must not {violate} the privacy of others. | Başkalarının mahremiyetini ihlal etmemelisin. | Anyone who {violate} the rules will be removed. | Kuralları çiğneyen herkes uzaklaştırılacak. | The factory continued to {violate} safety standards. | Fabrika güvenlik standartlarını ihlal etmeye devam etti. | They did not want to {violate} the peace treaty. | Barış antlaşmasını ihlal etmek istemiyorlardı. | To {violate} this trust would be a serious mistake. | Bu güveni çiğnemek ciddi bir hata olurdu. | He was warned not to {violate} the curfew again. | Sokağa çıkma yasağını tekrar ihlal etmemesi için uyarıldı. | Such actions {violate} basic human rights. | Bu tür eylemler temel insan haklarını ihlal eder. | Building here would {violate} the zoning laws. | Buraya inşaat yapmak imar yasalarını ihlal eder.
clumsy | sıfat | sakar, beceriksiz | He was too {clumsy} to carry the glasses safely. | Bardakları güvenle taşıyamayacak kadar sakardı. | She felt {clumsy} dancing in front of everyone. | Herkesin önünde dans ederken kendini beceriksiz hissetti. | The puppy made a {clumsy} jump onto the sofa. | Köpek yavrusu kanepeye sakar bir sıçrayış yaptı. | His {clumsy} apology only made things worse. | Beceriksiz özrü işleri sadece daha kötü yaptı. | I am so {clumsy} that I keep dropping things. | O kadar sakarım ki sürekli bir şeyler düşürüyorum. | The robot's movements were slow and {clumsy}. | Robotun hareketleri yavaş ve beceriksizdi. | He gave a {clumsy} excuse for being late. | Geç kaldığı için beceriksiz bir bahane uydurdu. | Her {clumsy} fingers struggled with the tiny buttons. | Sakar parmakları küçücük düğmelerle boğuştu. | The waiter was {clumsy} and spilled the soup. | Garson sakardı ve çorbayı döktü. | It was a {clumsy} attempt to hide the truth. | Gerçeği saklamak için beceriksiz bir girişimdi.
burden | isim | yük, sıkıntı | Caring for the whole family was a heavy {burden}. | Tüm aileye bakmak ağır bir yüktü. | He carried the {burden} of debt for many years. | Yıllarca borç yükünü taşıdı. | She did not want to be a {burden} to anyone. | Kimseye yük olmak istemiyordu. | The new tax placed a heavy {burden} on small shops. | Yeni vergi küçük dükkanlara ağır bir yük getirdi. | Sharing the {burden} made the work easier. | Yükü paylaşmak işi kolaylaştırdı. | Guilt can be a terrible {burden} to bear. | Suçluluk taşınması korkunç bir yük olabilir. | The {burden} of proof lies with the prosecution. | İspat yükü savcılığa aittir. | They lifted the financial {burden} from his shoulders. | Mali yükü onun omuzlarından kaldırdılar. | Old age brought its own {burden} of worries. | Yaşlılık kendi endişe yükünü getirdi. | Leadership is both an honor and a {burden}. | Liderlik hem bir onur hem de bir yüktür.
leverage | isim | etki gücü, kaldıraç, koz | The company used its size as {leverage} in talks. | Şirket görüşmelerde büyüklüğünü bir koz olarak kullandı. | Having extra cash gives you {leverage} when buying. | Fazladan nakit, alışveriş yaparken sana koz verir. | The union sought {leverage} to win better wages. | Sendika daha iyi maaş kazanmak için koz arıyordu. | His connections gave him real {leverage} in the deal. | Bağlantıları ona anlaşmada gerçek bir etki gücü verdi. | They had no {leverage} to force a lower price. | Daha düşük bir fiyatı zorlamak için hiçbir kozları yoktu. | Information can be powerful {leverage} in business. | Bilgi, işte güçlü bir koz olabilir. | She used the new evidence as {leverage}. | Yeni delili bir koz olarak kullandı. | A long bar gives you more {leverage} to lift it. | Uzun bir çubuk, kaldırmak için sana daha çok kaldıraç verir. | The lawyer found {leverage} in the old contract. | Avukat eski sözleşmede bir koz buldu. | Without {leverage}, it is hard to negotiate. | Koz olmadan pazarlık etmek zordur.
finders keepers | deyim | bulan saklar, bulan sahiplenir | He found the coin and shouted {finders keepers}. | Parayı buldu ve bulan saklar diye bağırdı. | She grabbed the toy and laughed, {finders keepers}. | Oyuncağı kaptı ve bulan saklar diye güldü. | The boy yelled {finders keepers} when he saw the ball. | Çocuk topu görünce bulan saklar diye bağırdı. | I picked it up first, so {finders keepers}. | Önce ben aldım, yani bulan saklar. | They argued, but the rule was {finders keepers}. | Tartıştılar ama kural bulan saklardı. | He winked and said {finders keepers} with a grin. | Göz kırptı ve sırıtarak bulan saklar dedi. | According to the kids, it was {finders keepers}. | Çocuklara göre kural bulan saklardı. | Don't claim it now; it's {finders keepers}. | Şimdi hak iddia etme; bulan saklar. | She believed in {finders keepers} since childhood. | Çocukluğundan beri bulan saklar kuralına inanırdı. | Too late, my friend, {finders keepers}. | Çok geç, dostum, bulan saklar.
ransom | isim | fidye | The kidnappers demanded a huge {ransom}. | Kaçıranlar büyük bir fidye talep etti. | The family struggled to pay the {ransom} on time. | Aile fidyeyi zamanında ödemek için uğraştı. | Police advised them not to send the {ransom}. | Polis onlara fidyeyi göndermemelerini tavsiye etti. | A {ransom} note was left on the doorstep. | Kapı eşiğine bir fidye notu bırakıldı. | They raised the {ransom} money within a day. | Fidye parasını bir gün içinde topladılar. | The pirates held the ship for {ransom}. | Korsanlar gemiyi fidye için rehin tuttu. | He paid the {ransom} to free his daughter. | Kızını kurtarmak için fidyeyi ödedi. | The hackers demanded a {ransom} in cryptocurrency. | Bilgisayar korsanları kripto parayla fidye istedi. | Negotiators tried to lower the {ransom}. | Arabulucular fidyeyi düşürmeye çalıştı. | The king paid a king's {ransom} for his son. | Kral oğlu için kralvari bir fidye ödedi.
