# Set 13 — 15 kelime
reliable | sıfat | güvenilir, sağlam | She is a {reliable} friend who never lets me down. | O, beni asla yarı yolda bırakmayan güvenilir bir arkadaştır. | We need a {reliable} car for the long trip. | Uzun yolculuk için güvenilir bir arabaya ihtiyacımız var. | This source is not very {reliable}, so check the facts. | Bu kaynak pek güvenilir değil, bu yüzden bilgileri kontrol et. | Our internet connection is finally {reliable} again. | İnternet bağlantımız sonunda yine güvenilir hâle geldi. | He is the most {reliable} worker on the team. | Ekipteki en güvenilir çalışan odur. | The old machine is still surprisingly {reliable}. | Eski makine hâlâ şaşırtıcı derecede güvenilir. | I need {reliable} data before making a decision. | Karar vermeden önce güvenilir verilere ihtiyacım var. | Public transport here is cheap but not {reliable}. | Buradaki toplu taşıma ucuz ama güvenilir değil. | A good doctor must give {reliable} advice. | İyi bir doktor güvenilir tavsiyeler vermelidir. | The brand built its reputation on being {reliable}. | Marka, itibarını güvenilir olmak üzerine kurdu.
disputing | fiil | itiraz etme, tartışma | The two lawyers were {disputing} the terms of the contract. | İki avukat sözleşmenin şartlarını tartışıyordu. | The neighbors are {disputing} the location of the fence. | Komşular çitin yerini tartışıyorlar. | She kept {disputing} every point he made. | Onun her söylediğine itiraz edip durdu. | They are {disputing} who owns the land. | Arazinin kime ait olduğunu tartışıyorlar. | I am not {disputing} your effort, only the result. | Çabanı tartışmıyorum, sadece sonucu sorguluyorum. | The teams spent hours {disputing} the referee's call. | Takımlar hakemin kararını saatlerce tartışmakla geçirdi. | Historians are still {disputing} the date of the event. | Tarihçiler hâlâ olayın tarihini tartışıyorlar. | He was {disputing} the bill with the waiter. | Garsonla hesap konusunda tartışıyordu. | Customers are {disputing} the extra charges. | Müşteriler ek ücretlere itiraz ediyorlar. | Nobody is {disputing} that she worked hard. | Onun çok çalıştığını kimse tartışmıyor.
grief | isim | keder, büyük üzüntü | She was overwhelmed with {grief} after losing her father. | Babasını kaybettikten sonra kedere boğuldu. | His {grief} was too deep for words. | Kederi kelimelere sığmayacak kadar derindi. | Time slowly eased her {grief}. | Zaman yavaşça kederini hafifletti. | The community shared in the family's {grief}. | Toplum, ailenin kederini paylaştı. | He hid his {grief} behind a calm smile. | Kederini sakin bir gülümsemenin ardına gizledi. | Writing helped her process her {grief}. | Yazmak, kederini atlatmasına yardımcı oldu. | The song captures the {grief} of losing a loved one. | Şarkı, bir sevdiğini kaybetmenin kederini yansıtıyor. | Their {grief} turned into anger over time. | Kederleri zamanla öfkeye dönüştü. | She finally allowed herself to feel the {grief}. | Sonunda kederi hissetmesine izin verdi kendine. | Nothing could console his terrible {grief}. | Hiçbir şey onun korkunç kederini avutamadı.
trial | isim | deneme, duruşma, yargılama | The new drug is still in the {trial} phase. | Yeni ilaç hâlâ deneme aşamasında. | The {trial} lasted three weeks in court. | Mahkemedeki duruşma üç hafta sürdü. | You can use the software free during the {trial} period. | Yazılımı deneme süresi boyunca ücretsiz kullanabilirsin. | After a long {trial}, the jury found him guilty. | Uzun bir yargılamanın ardından jüri onu suçlu buldu. | We offered the customer a free {trial} of the product. | Müşteriye ürünün ücretsiz bir denemesini sunduk. | Learning to ride a bike was a real {trial} for him. | Bisiklet sürmeyi öğrenmek onun için gerçek bir çile oldu. | The athletes competed in the Olympic {trial}. | Sporcular olimpiyat elemelerinde yarıştı. | Her patience was put to the {trial} that day. | O gün sabrı sınandı. | The {trial} of the new system revealed several bugs. | Yeni sistemin denemesi birkaç hata ortaya çıkardı. | He was held in jail awaiting {trial}. | Yargılanmayı beklerken hapiste tutuldu.
mourn | fiil | yas tutmak, matem tutmak | The whole nation gathered to {mourn} the late leader. | Bütün ulus rahmetli lider için yas tutmak üzere bir araya geldi. | They will {mourn} their grandmother for many days. | Büyükanneleri için günlerce yas tutacaklar. | It is natural to {mourn} the end of a friendship. | Bir dostluğun bitişine yas tutmak doğaldır. | The village came together to {mourn} the fishermen. | Köy, balıkçılar için yas tutmak üzere bir araya geldi. | She needed time alone to {mourn} her loss. | Kaybına yas tutmak için yalnız kalmaya ihtiyacı vardı. | People around the world {mourn} the famous artist. | Dünyanın dört bir yanından insanlar ünlü sanatçıya yas tutuyor. | We {mourn} those who died in the disaster. | Felakette ölenler için yas tutuyoruz. | They {mourn} the dog they lost last year. | Geçen yıl kaybettikleri köpeğin yasını tutuyorlar. | The family wore black to {mourn} their father. | Aile, babaları için yas tutmak amacıyla siyah giydi. | It is important to {mourn} before you can heal. | İyileşebilmek için önce yas tutmak önemlidir.
anxious | sıfat | endişeli, kaygılı | He felt {anxious} before the important interview. | Önemli mülakat öncesinde kendini endişeli hissetti. | She gets {anxious} whenever she has to speak in public. | Toplum önünde konuşması gerektiğinde kaygılanır. | I am {anxious} about the test results. | Test sonuçları konusunda endişeliyim. | The {anxious} mother waited by the phone all night. | Endişeli anne bütün gece telefonun başında bekledi. | He grew {anxious} as the deadline approached. | Son tarih yaklaştıkça endişelendi. | Don't be so {anxious}; everything will be fine. | Bu kadar endişeli olma, her şey yoluna girecek. | They were {anxious} to hear the doctor's news. | Doktorun haberini duymak için sabırsız ve endişeliydiler. | A storm always makes the dog {anxious}. | Fırtına köpeği her zaman tedirgin eder. | She felt {anxious} about leaving home for college. | Üniversite için evden ayrılmak konusunda kaygılıydı. | His {anxious} expression told me something was wrong. | Endişeli ifadesi bana bir şeylerin ters gittiğini anlattı.
thorn | isim | diken | I pricked my finger on a {thorn} while picking roses. | Gül toplarken parmağıma bir diken battı. | A sharp {thorn} tore his sleeve as he passed. | Geçerken keskin bir diken kolunu yırttı. | The rose has a beautiful flower but a sharp {thorn}. | Gülün güzel bir çiçeği ama keskin bir dikeni var. | She carefully removed the {thorn} from the dog's paw. | Köpeğin pençesinden dikeni dikkatlice çıkardı. | Every {thorn} on the bush seemed to catch my clothes. | Çalıdaki her diken sanki kıyafetlerime takılıyordu. | He has been a {thorn} in my side for years. | Yıllardır başımın belası olmuştur. | The fence was covered with a tangle of {thorn} branches. | Çit, dikenli dalların karmaşasıyla kaplıydı. | Be careful, that plant has a poisonous {thorn}. | Dikkatli ol, o bitkinin zehirli bir dikeni var. | A single {thorn} can ruin a barefoot walk. | Tek bir diken, yalın ayak yürüyüşünü mahvedebilir. | The hedgehog rolled into a ball like a living {thorn}. | Kirpi, canlı bir diken gibi top hâline geldi.
chariot | isim | savaş arabası, atlı araba | The Roman soldiers rode into battle on a {chariot}. | Romalı askerler savaşa bir savaş arabasıyla girdiler. | The museum displays an ancient golden {chariot}. | Müze, eski bir altın savaş arabasını sergiliyor. | He drove the {chariot} swiftly around the arena. | Savaş arabasını arenanın etrafında hızlıca sürdü. | Two strong horses pulled the royal {chariot}. | İki güçlü at, kraliyet arabasını çekiyordu. | The hero leaped onto his {chariot} and sped away. | Kahraman savaş arabasına atladı ve hızla uzaklaştı. | The {chariot} race was the highlight of the games. | Savaş arabası yarışı oyunların en heyecanlı anıydı. | Carvings on the wall showed a king in his {chariot}. | Duvardaki kabartmalar arabasındaki bir kralı gösteriyordu. | The wheels of the {chariot} thundered across the plain. | Savaş arabasının tekerlekleri ovada gümbürdedi. | She imagined herself riding a {chariot} of fire. | Kendini ateşten bir savaş arabasında sürerken hayal etti. | The general led the charge from his {chariot}. | General, hücumu savaş arabasından yönetti.
pawn | isim | piyon, rehin, maşa | He was just a {pawn} in their bigger political game. | O, onların büyük politik oyununda sadece bir piyondu. | In chess, you usually move a {pawn} first. | Satrançta genellikle önce bir piyon oynarsın. | She refused to be a {pawn} in his schemes. | Onun planlarında bir maşa olmayı reddetti. | The poor man pawned his watch as a {pawn} for cash. | Zavallı adam, nakit karşılığında saatini rehin verdi. | Each player started with eight a {pawn} on the board. | Her oyuncu tahtada sekiz piyonla başladı. | They treated the workers like a {pawn} to be sacrificed. | İşçilere feda edilecek birer piyon gibi davrandılar. | A clever player protects every {pawn} carefully. | Akıllı bir oyuncu her piyonu dikkatlice korur. | The small nation became a {pawn} between two empires. | Küçük ulus, iki imparatorluk arasında bir maşa hâline geldi. | He sacrificed his {pawn} to capture the queen. | Veziri almak için piyonunu feda etti. | Don't let yourself be used as a {pawn}. | Kendini bir maşa olarak kullandırma.
intimate | sıfat | samimi, yakın, mahrem | They shared an {intimate} conversation by the fire. | Ateşin yanında samimi bir sohbet ettiler. | The restaurant has a small, {intimate} atmosphere. | Restoranın küçük, samimi bir atmosferi var. | She told only her most {intimate} friends the secret. | Sırrı yalnızca en yakın arkadaşlarına anlattı. | The diary revealed his most {intimate} thoughts. | Günlük, onun en mahrem düşüncelerini açığa çıkardı. | They held an {intimate} wedding with close family. | Yakın aileyle samimi bir düğün yaptılar. | He has an {intimate} knowledge of the city's streets. | Şehrin sokakları hakkında derin bir bilgisi var. | The couple enjoyed an {intimate} dinner for two. | Çift, ikisine özel samimi bir yemeğin tadını çıkardı. | We are not {intimate} enough to share such secrets. | Böyle sırları paylaşacak kadar yakın değiliz. | The letter had a warm, {intimate} tone. | Mektubun sıcak, samimi bir tonu vardı. | She gave an {intimate} portrait of her childhood. | Çocukluğuna dair samimi bir tablo çizdi.
awfully | zarf | son derece, fena hâlde | It was {awfully} kind of you to help me move. | Taşınmama yardım etmen son derece nazikçeydi. | I am {awfully} sorry for the misunderstanding. | Yanlış anlaşılma için son derece üzgünüm. | The film was {awfully} long and rather boring. | Film son derece uzun ve oldukça sıkıcıydı. | She sings {awfully} well for a beginner. | Bir yeni başlayan için son derece iyi şarkı söylüyor. | It is {awfully} cold outside this morning. | Bu sabah dışarısı fena hâlde soğuk. | He was {awfully} quiet during the meeting. | Toplantı boyunca son derece sessizdi. | Thanks, that's {awfully} nice of you to say. | Teşekkürler, bunu söylemen son derece naziktir. | The room looked {awfully} messy after the party. | Oda, partiden sonra fena hâlde dağınık görünüyordu. | I'm {awfully} busy this week, can we meet later? | Bu hafta son derece meşgulüm, sonra buluşabilir miyiz? | They were {awfully} excited about the trip. | Gezi konusunda son derece heyecanlıydılar.
