# Set 9 — 15 kelime
pity | isim | acıma, yazık | It's a {pity} that you can't come to the party. | Partiye gelememen çok yazık. | What a {pity} that the museum was closed today. | Müzenin bugün kapalı olması ne yazık. | She felt a deep {pity} for the homeless man. | Evsiz adama karşı derin bir acıma hissetti. | It would be a {pity} to waste such a good opportunity. | Böyle güzel bir fırsatı boşa harcamak yazık olur. | He looked at the injured bird with {pity}. | Yaralı kuşa acıyarak baktı. | More's the {pity} that they sold their old house. | Eski evlerini satmaları daha da üzücü. | I did it out of {pity}, not love. | Bunu sevgiden değil, acımadan yaptım. | It's a {pity} you didn't tell me earlier. | Bana daha erken söylememen yazık. | Her eyes filled with {pity} as she heard the story. | Hikâyeyi duyunca gözleri acımayla doldu. | Don't waste your {pity} on someone who lied to you. | Sana yalan söyleyen birine acıyıp durma.
look forward | deyim | dört gözle beklemek, sabırsızlanmak | I really {look forward} to seeing you again. | Seni tekrar görmeyi gerçekten dört gözle bekliyorum. | We {look forward} to our summer holiday every year. | Her yıl yaz tatilimizi dört gözle bekleriz. | The children {look forward} to opening their presents. | Çocuklar hediyelerini açmayı sabırsızlıkla bekliyor. | I {look forward} to hearing from you soon. | Sizden yakında haber almayı dört gözle bekliyorum. | She doesn't {look forward} to Monday mornings. | Pazartesi sabahlarını hiç sabırsızlıkla beklemez. | They {look forward} to working with the new team. | Yeni ekiple çalışmayı dört gözle bekliyorlar. | I {look forward} to a relaxing weekend after this week. | Bu haftadan sonra rahat bir hafta sonunu sabırsızlıkla bekliyorum. | We all {look forward} to your visit next month. | Önümüzdeki ay ziyaretinizi hepimiz dört gözle bekliyoruz. | He said he would {look forward} to the meeting. | Toplantıyı sabırsızlıkla bekleyeceğini söyledi. | I {look forward} to the day when this project is finished. | Bu projenin biteceği günü dört gözle bekliyorum.
daring | sıfat | cesur, gözüpek, atılgan | Her {daring} rescue saved three lives. | Onun cesur kurtarışı üç kişinin hayatını kurtardı. | The acrobat performed a {daring} jump without a net. | Akrobat ağ olmadan gözüpek bir atlayış yaptı. | It was a {daring} plan, but it worked perfectly. | Cesur bir plandı ama mükemmel işledi. | The journalist asked a {daring} question to the president. | Gazeteci başkana cüretkâr bir soru sordu. | She wore a {daring} red dress to the party. | Partiye cüretkâr kırmızı bir elbise giydi. | Their {daring} escape from prison shocked everyone. | Hapisten cesur kaçışları herkesi şoke etti. | He made a {daring} investment that paid off. | Karşılığını veren atılgan bir yatırım yaptı. | The climbers attempted a {daring} route up the cliff. | Tırmanıcılar kayalıkta gözüpek bir rota denedi. | It takes a {daring} person to start their own business. | Kendi işini kurmak cesur bir insan gerektirir. | The pilot made a {daring} landing in the storm. | Pilot fırtınada cesur bir iniş yaptı.
pity on | deyim | acımak, merhamet etmek | Please take {pity on} the poor stray dog. | Lütfen şu zavallı sokak köpeğine acı. | The judge took {pity on} the young offender. | Yargıç genç suçluya merhamet etti. | Have {pity on} me, I haven't eaten all day. | Bana acı, bütün gün hiçbir şey yemedim. | She took {pity on} the lost child and helped him home. | Kaybolmuş çocuğa acıyıp onu eve götürdü. | Take {pity on} the beggar and give him some food. | Dilenciye acı da ona biraz yiyecek ver. | The old man took {pity on} the hungry travelers. | Yaşlı adam aç yolculara merhamet etti. | I took {pity on} him and lent him some money. | Ona acıyıp biraz borç verdim. | Won't you take {pity on} these tired workers? | Bu yorgun işçilere merhamet etmez misin? | The teacher took {pity on} the struggling student. | Öğretmen zorlanan öğrenciye acıdı. | She couldn't help but take {pity on} the crying baby. | Ağlayan bebeğe acımadan edemedi.
as such | ifade | bu nedenle, dolayısıyla, bu sebeple | He is the manager and {as such} is responsible for the team. | O müdürdür ve dolayısıyla ekipten sorumludur. | She is a doctor and {as such} must follow strict ethics. | O bir doktordur ve bu nedenle katı bir etiğe uymak zorundadır. | This is a historic building and {as such} cannot be demolished. | Bu tarihi bir binadır ve dolayısıyla yıkılamaz. | He is a minor and {as such} cannot sign the contract. | O reşit değildir ve bu sebeple sözleşmeyi imzalayamaz. | The report is confidential and {as such} must be kept secret. | Rapor gizlidir ve bu nedenle saklı tutulmalıdır. | She is the eldest and {as such} inherits the estate. | O en büyük çocuktur ve dolayısıyla mülkü miras alır. | It is a public park and {as such} is open to everyone. | Burası halka açık bir parktır ve bu sebeple herkese açıktır. | He was the only witness and {as such} his testimony was crucial. | Tek tanık oydu ve bu nedenle ifadesi çok önemliydi. | This is a new policy and {as such} may cause confusion. | Bu yeni bir politikadır ve dolayısıyla kafa karışıklığına yol açabilir. | She is a guest and {as such} should be treated with respect. | O bir misafirdir ve bu nedenle saygıyla karşılanmalıdır.
retrieve | fiil | geri almak, geri getirmek, bulup çıkarmak | The dog ran to {retrieve} the ball. | Köpek topu geri getirmek için koştu. | I need to {retrieve} my files from the old computer. | Eski bilgisayardan dosyalarımı geri almam gerekiyor. | Divers tried to {retrieve} the sunken treasure. | Dalgıçlar batık hazineyi bulup çıkarmaya çalıştı. | She managed to {retrieve} her lost passport at the airport. | Havaalanında kayıp pasaportunu geri almayı başardı. | Click here to {retrieve} your forgotten password. | Unutulan şifrenizi geri almak için buraya tıklayın. | The software can {retrieve} deleted documents. | Yazılım silinen belgeleri geri getirebilir. | He bent down to {retrieve} the coins from the floor. | Yerdeki bozuk paraları almak için eğildi. | Firefighters worked to {retrieve} the trapped victims. | İtfaiyeciler mahsur kalan kazazedeleri kurtarmak için çalıştı. | Please {retrieve} the documents from the archive. | Lütfen belgeleri arşivden bulup çıkar. | It was hard to {retrieve} the kite stuck in the tree. | Ağaca takılan uçurtmayı geri almak zordu.
fellas | isim | arkadaşlar, dostlar, herifler | Hey {fellas}, are you ready to leave? | Selam arkadaşlar, gitmeye hazır mısınız? | The {fellas} gathered at the bar after work. | Arkadaşlar işten sonra barda toplandı. | Come on {fellas}, we don't have all day. | Hadi arkadaşlar, bütün gün vaktimiz yok. | These {fellas} have been friends since childhood. | Bu dostlar çocukluktan beri arkadaş. | I'm going fishing with the {fellas} this weekend. | Bu hafta sonu arkadaşlarla balığa gidiyorum. | Listen up, {fellas}, here's the plan. | Dinleyin arkadaşlar, plan şöyle. | A few {fellas} from the office joined us for lunch. | Ofisten birkaç arkadaş öğle yemeğinde bize katıldı. | The {fellas} cheered loudly when the team scored. | Takım gol atınca herifler yüksek sesle tezahürat yaptı. | Thanks for the help, {fellas}, I owe you one. | Yardım için sağ olun arkadaşlar, size borçluyum. | Some of the {fellas} stayed late to finish the job. | Arkadaşlardan bazıları işi bitirmek için geç saate kadar kaldı.
fugitive | isim | kaçak, firari | The police are searching for the escaped {fugitive}. | Polis kaçan firariyi arıyor. | The {fugitive} hid in the mountains for weeks. | Kaçak haftalarca dağlarda saklandı. | A wanted {fugitive} was captured at the border. | Aranan bir firari sınırda yakalandı. | He lived as a {fugitive} for years under a false name. | Yıllarca sahte bir isimle kaçak olarak yaşadı. | The {fugitive} finally surrendered to the authorities. | Firari sonunda yetkililere teslim oldu. | Reporters described the dangerous {fugitive} on the news. | Muhabirler haberlerde tehlikeli kaçağı anlattı. | The film is about a {fugitive} running from the law. | Film, kanundan kaçan bir firariyi anlatıyor. | Detectives tracked the {fugitive} across three states. | Dedektifler firariyi üç eyalet boyunca izledi. | The {fugitive} was spotted boarding a train. | Kaçak bir trene binerken görüldü. | A reward was offered for information about the {fugitive}. | Firariyle ilgili bilgi için ödül kondu.
nocturnal | sıfat | gece yaşayan, geceye ait | Owls are {nocturnal} animals that hunt at night. | Baykuşlar geceleri avlanan gececi hayvanlardır. | Bats are {nocturnal} and sleep during the day. | Yarasalar gece yaşar ve gündüz uyur. | The zoo has a special exhibit for {nocturnal} creatures. | Hayvanat bahçesinde gece yaşayan canlılar için özel bir sergi var. | Cats can have {nocturnal} habits and roam at night. | Kedilerin gececi alışkanlıkları olabilir ve geceleri dolaşır. | Many desert animals are {nocturnal} to avoid the heat. | Birçok çöl hayvanı sıcaktan kaçınmak için gece yaşar. | He developed a {nocturnal} lifestyle while writing his novel. | Romanını yazarken geceye dönük bir yaşam tarzı edindi. | The {nocturnal} sounds of the forest kept her awake. | Ormanın geceye ait sesleri onu uyanık tuttu. | Hedgehogs are mostly {nocturnal} and forage after dark. | Kirpiler çoğunlukla gece yaşar ve hava karardıktan sonra yiyecek arar. | Some flowers are {nocturnal}, opening only at night. | Bazı çiçekler gececidir ve yalnızca gece açar. | The hunter studied the {nocturnal} behavior of foxes. | Avcı tilkilerin gece davranışını inceledi.
brazen | sıfat | utanmaz, arsız, küstah | She told a {brazen} lie without any shame. | Hiç utanmadan arsızca bir yalan söyledi. | His {brazen} attitude annoyed the whole office. | Küstah tavrı bütün ofisi rahatsız etti. | The thief made a {brazen} robbery in broad daylight. | Hırsız güpegündüz utanmazca bir soygun yaptı. | She was {brazen} enough to cheat right in front of the teacher. | Öğretmenin tam önünde kopya çekecek kadar arsızdı. | His {brazen} disregard for the rules shocked everyone. | Kurallara karşı küstah aldırmazlığı herkesi şoke etti. | They made a {brazen} attempt to steal the documents. | Belgeleri çalmak için utanmaz bir girişimde bulundular. | He gave a {brazen} grin after breaking the vase. | Vazoyu kırdıktan sonra arsız bir sırıtış sergiledi. | The company told {brazen} lies in its advertisements. | Şirket reklamlarında utanmazca yalanlar söyledi. | Her {brazen} confidence got her the job. | Küstah özgüveni ona işi kazandırdı. | It was a {brazen} act of defiance against the king. | Bu, krala karşı küstah bir başkaldırı eylemiydi.
hilarious | sıfat | çok komik, gülünç | The comedian's show was absolutely {hilarious}. | Komedyenin gösterisi son derece komikti. | We watched a {hilarious} movie and laughed all night. | Çok komik bir film izledik ve bütün gece güldük. | His {hilarious} jokes had everyone in tears. | Çok komik şakaları herkesi gözyaşlarına boğdu. | The kids found the clown absolutely {hilarious}. | Çocuklar palyaçoyu son derece komik buldu. | She told a {hilarious} story about her trip. | Gezisiyle ilgili çok komik bir hikâye anlattı. | The blooper reel was completely {hilarious}. | Çekim hataları derlemesi tamamen gülünçtü. | It was {hilarious} watching the cat chase its tail. | Kedinin kuyruğunu kovalamasını izlemek çok komikti. | His impression of the boss was {hilarious}. | Patron taklidi son derece komikti. | The whole audience found the sketch {hilarious}. | Bütün izleyiciler skeci çok komik buldu. | That meme is so {hilarious} I can't stop laughing. | O mizah görseli o kadar komik ki gülmekten kendimi alamıyorum.
