# Set 20 — 15 kelime
inhabit | fiil | yaşamak, ikamet etmek, oturmak | Polar bears {inhabit} the cold regions of the Arctic. | Kutup ayıları Kuzey Kutbu'nun soğuk bölgelerinde yaşar. | Strange creatures are said to {inhabit} the deep ocean. | Garip yaratıkların derin okyanusta yaşadığı söylenir. | Only a few families still {inhabit} the remote village. | Uzak köyde hâlâ sadece birkaç aile yaşıyor. | Many species {inhabit} the dense rainforest of the Amazon. | Birçok tür Amazon'un yoğun yağmur ormanında yaşar. | The tribe has {inhabit}ed these lands for centuries. | Kabile bu topraklarda yüzyıllardır yaşamaktadır. | Tiny insects {inhabit} the bark of the old oak tree. | Küçük böcekler yaşlı meşe ağacının kabuğunda yaşar. | Nomads {inhabit} the harsh deserts of central Asia. | Göçebeler Orta Asya'nın çetin çöllerinde yaşar. | Wild goats {inhabit} the steep cliffs above the valley. | Yaban keçileri vadinin üstündeki dik kayalıklarda yaşar. | Few people choose to {inhabit} such an isolated island. | Çok az insan böyle ıssız bir adada yaşamayı seçer. | Bats {inhabit} the dark caves beneath the mountain. | Yarasalar dağın altındaki karanlık mağaralarda yaşar.
vague | sıfat | belirsiz, müphem, bulanık | His answer was so {vague} that nobody understood his real plan. | Cevabı o kadar belirsizdi ki kimse gerçek planını anlamadı. | I have only a {vague} memory of that summer holiday. | O yaz tatiline dair sadece belirsiz bir anım var. | She gave a {vague} reply and quickly changed the subject. | Müphem bir cevap verdi ve hemen konuyu değiştirdi. | The instructions were too {vague} to follow correctly. | Talimatlar doğru takip edilemeyecek kadar belirsizdi. | There was a {vague} smell of smoke in the kitchen. | Mutfakta belli belirsiz bir duman kokusu vardı. | His plans for the future are still rather {vague}. | Gelecek planları hâlâ epeyce belirsiz. | I could see a {vague} shape moving in the fog. | Siste hareket eden bulanık bir şekil görebiliyordum. | The contract uses {vague} language about payment dates. | Sözleşme ödeme tarihleri konusunda müphem bir dil kullanıyor. | She felt a {vague} sense of unease all morning. | Bütün sabah belirsiz bir tedirginlik hissetti. | The witness gave only a {vague} description of the man. | Tanık adam hakkında yalnızca belirsiz bir tarif verdi.
concede | fiil | kabul etmek, teslim olmak, kabullenmek | She finally had to {concede} that her opponent was right. | Sonunda rakibinin haklı olduğunu kabul etmek zorunda kaldı. | The candidate refused to {concede} the election. | Aday seçimi kaybettiğini kabul etmeyi reddetti. | I must {concede} that your idea is better than mine. | Senin fikrinin benimkinden daha iyi olduğunu kabul etmeliyim. | After hours of arguing, he began to {concede} a few points. | Saatlerce tartıştıktan sonra birkaç noktada geri adım atmaya başladı. | The company was forced to {concede} to the workers' demands. | Şirket işçilerin taleplerini kabul etmek zorunda kaldı. | She would never {concede} defeat without a real fight. | Gerçek bir mücadele olmadan asla yenilgiyi kabul etmezdi. | He grudgingly {concede}d that the plan had some flaws. | İsteksizce planın bazı kusurları olduğunu kabul etti. | The team had to {concede} a goal in the last minute. | Takım son dakikada bir gol yemek zorunda kaldı. | Even critics {concede} that the film is beautifully made. | Eleştirmenler bile filmin güzel yapıldığını kabul ediyor. | I'll {concede} this round, but I'll win the next one. | Bu raundu sana bırakırım ama bir sonrakini kazanacağım.
revolting | sıfat | iğrenç, mide bulandırıcı | The smell coming from the old fridge was absolutely {revolting}. | Eski buzdolabından gelen koku kesinlikle iğrençti. | The kids found the cold soup completely {revolting}. | Çocuklar soğuk çorbayı tamamen iğrenç buldu. | His table manners were truly {revolting} to everyone. | Sofra adabı herkes için gerçekten mide bulandırıcıydı. | There was a {revolting} mess of rubbish in the alley. | Ara sokakta iğrenç bir çöp yığını vardı. | She made a {revolting} face when she tasted the medicine. | İlacı tadınca iğrenç bir ifade takındı. | The horror film had some genuinely {revolting} scenes. | Korku filminde gerçekten mide bulandırıcı sahneler vardı. | The conditions in the prison were simply {revolting}. | Hapishanedeki koşullar düpedüz iğrençti. | A {revolting} odor filled the entire stairwell. | İğrenç bir koku tüm merdiven boşluğunu kapladı. | He told a {revolting} joke that made everyone uncomfortable. | Herkesi rahatsız eden iğrenç bir şaka yaptı. | The moldy bread looked absolutely {revolting}. | Küflü ekmek kesinlikle iğrenç görünüyordu.
sufficient | sıfat | yeterli, kâfi | We don't have {sufficient} time to finish the whole report today. | Bugün tüm raporu bitirmek için yeterli zamanımız yok. | Make sure you have {sufficient} water for the long hike. | Uzun yürüyüş için yeterli suyunuz olduğundan emin olun. | The evidence was not {sufficient} to prove his guilt. | Kanıtlar suçunu kanıtlamak için yeterli değildi. | A small budget is {sufficient} for this simple project. | Bu basit proje için küçük bir bütçe yeterlidir. | Is one cup of flour {sufficient} for the cake recipe? | Pasta tarifi için bir su bardağı un yeterli mi? | They lacked {sufficient} funds to expand the business. | İşi büyütmek için yeterli paraları yoktu. | Eight hours of sleep is usually {sufficient} for me. | Sekiz saatlik uyku benim için genellikle yeterlidir. | The room had {sufficient} light for reading. | Oda okumak için yeterli ışığa sahipti. | We need {sufficient} staff to handle the busy season. | Yoğun sezonu yönetmek için yeterli personele ihtiyacımız var. | His salary was barely {sufficient} to cover the rent. | Maaşı kirayı karşılamaya ancak yetiyordu.
beneath | edat | altında, altına | The keys were hidden {beneath} a pile of old newspapers. | Anahtarlar bir yığın eski gazetenin altında saklanmıştı. | The treasure was buried {beneath} the giant oak tree. | Hazine dev meşe ağacının altına gömülmüştü. | A small stream flows {beneath} the stone bridge. | Taş köprünün altından küçük bir dere akar. | She felt the warm sand {beneath} her bare feet. | Çıplak ayaklarının altında sıcak kumu hissetti. | The cat was sleeping {beneath} the kitchen table. | Kedi mutfak masasının altında uyuyordu. | He kept his fears hidden {beneath} a calm smile. | Korkularını sakin bir gülümsemenin altında sakladı. | The miners worked deep {beneath} the surface of the earth. | Madenciler yerin yüzeyinin çok altında çalıştı. | They sheltered {beneath} the trees during the storm. | Fırtına sırasında ağaçların altına sığındılar. | The submarine traveled silently {beneath} the waves. | Denizaltı dalgaların altında sessizce ilerledi. | She tucked the letter {beneath} her pillow. | Mektubu yastığının altına sıkıştırdı.
respite | isim | mola, soluklanma, rahatlama | The cool evening breeze gave us a brief {respite} from the heat. | Serin akşam esintisi bize sıcaktan kısa bir soluklanma fırsatı verdi. | The holiday offered a welcome {respite} from work stress. | Tatil, iş stresinden hoş bir mola sundu. | There was no {respite} from the endless rain that week. | O hafta bitmek bilmeyen yağmurdan hiç soluklanma olmadı. | A short nap gave her some {respite} during the busy day. | Kısa bir şekerleme yoğun gün boyunca ona biraz rahatlama sağladı. | The medicine brought a few hours of {respite} from the pain. | İlaç, ağrıdan birkaç saatlik rahatlama getirdi. | Soldiers were granted a brief {respite} before the next battle. | Askerlere bir sonraki savaştan önce kısa bir mola verildi. | The quiet library was a {respite} from the noisy city. | Sessiz kütüphane, gürültülü şehirden bir kaçıştı. | We found {respite} under a shady tree at noon. | Öğlen gölgeli bir ağacın altında soluklanma bulduk. | The weekend is my only {respite} from a hectic schedule. | Hafta sonu, yoğun programımdan tek molam. | There was little {respite} for the nurses during the crisis. | Kriz sırasında hemşirelere pek soluklanma fırsatı yoktu.
monument | isim | anıt, abide | Thousands of tourists visit the ancient {monument} every year. | Her yıl binlerce turist o antik anıtı ziyaret eder. | A grand {monument} stands in the center of the city square. | Şehir meydanının merkezinde görkemli bir anıt durur. | The {monument} was built to honor fallen soldiers. | Anıt, şehit askerleri onurlandırmak için inşa edildi. | They unveiled a new {monument} to celebrate independence. | Bağımsızlığı kutlamak için yeni bir anıtın örtüsünü açtılar. | The old {monument} is slowly crumbling from the weather. | Eski anıt, hava koşulları yüzünden yavaş yavaş yıkılıyor. | Visitors took photos in front of the marble {monument}. | Ziyaretçiler mermer anıtın önünde fotoğraf çekti. | This pyramid is the most famous {monument} in the country. | Bu piramit, ülkedeki en ünlü anıttır. | The {monument} commemorates the heroes of the revolution. | Anıt, devrimin kahramanlarını anar. | Workers carefully restored the historic {monument}. | İşçiler tarihi anıtı özenle restore etti. | A towering {monument} marks the entrance to the park. | Yüksek bir anıt, parkın girişini işaretler.
integrity | isim | dürüstlük, bütünlük, doğruluk | People trusted him because of his honesty and {integrity}. | İnsanlar dürüstlüğü ve doğruluğu sayesinde ona güvendi. | A good judge must act with complete {integrity}. | İyi bir yargıç tam bir dürüstlükle hareket etmelidir. | The scandal damaged the company's {integrity}. | Skandal şirketin doğruluğuna zarar verdi. | She is known for her professional {integrity}. | Mesleki dürüstlüğüyle tanınır. | The engineer checked the structural {integrity} of the bridge. | Mühendis köprünün yapısal bütünlüğünü kontrol etti. | He refused the bribe to protect his {integrity}. | Dürüstlüğünü korumak için rüşveti reddetti. | Maintaining data {integrity} is crucial for the system. | Veri bütünlüğünü korumak sistem için çok önemlidir. | Her {integrity} made her a respected community leader. | Dürüstlüğü, onu saygın bir toplum lideri yaptı. | The report questioned the {integrity} of the election. | Rapor, seçimin doğruluğunu sorguladı. | True {integrity} means doing right even when no one watches. | Gerçek dürüstlük, kimse izlemese bile doğruyu yapmaktır.
stride | isim | uzun adım, ilerleme | He crossed the room in a single confident {stride}. | Odayı tek bir kendinden emin uzun adımda geçti. | The runner lengthened her {stride} in the final lap. | Koşucu son turda adımını uzattı. | The company made a great {stride} in renewable energy. | Şirket yenilenebilir enerjide büyük bir ilerleme kaydetti. | With one long {stride}, he reached the other side. | Tek bir uzun adımla diğer tarafa ulaştı. | Medicine has taken a huge {stride} in recent years. | Tıp son yıllarda büyük bir ilerleme kaydetti. | She walked with a quick, energetic {stride}. | Hızlı ve enerjik bir adımla yürüdü. | The athlete's powerful {stride} impressed the coach. | Sporcunun güçlü adımı antrenörü etkiledi. | Each {stride} brought him closer to the finish line. | Her adım onu bitiş çizgisine yaklaştırdı. | We made a major {stride} toward solving the problem. | Sorunu çözmeye doğru büyük bir adım attık. | He matched her {stride} as they walked along the beach. | Sahil boyunca yürürken onun adımına ayak uydurdu.
conjecture | isim | tahmin, varsayım, kurgu | Without real evidence, his theory was just pure {conjecture}. | Gerçek kanıt olmadan teorisi sadece tahminden ibaretti. | The detective dismissed the rumor as mere {conjecture}. | Dedektif söylentiyi salt bir varsayım olarak reddetti. | Much of the report is based on {conjecture}, not facts. | Raporun çoğu gerçeklere değil tahminlere dayanıyor. | Her guilt remains a matter of {conjecture}. | Suçluluğu hâlâ bir tahmin meselesi olarak kalıyor. | Scientists offered a {conjecture} about the planet's origin. | Bilim insanları gezegenin kökeni hakkında bir varsayım sundu. | It is pure {conjecture} to say he will resign soon. | Yakında istifa edeceğini söylemek tamamen tahmindir. | The newspaper printed wild {conjecture} about the merger. | Gazete, birleşme hakkında asılsız tahminler bastı. | His conclusion was based on careful research, not {conjecture}. | Sonucu tahmine değil dikkatli araştırmaya dayanıyordu. | We can only make a {conjecture} about what really happened. | Gerçekte ne olduğu hakkında sadece bir tahmin yürütebiliriz. | The mathematician proposed a famous {conjecture}. | Matematikçi ünlü bir varsayım ortaya attı.
