# Set 10 — 15 kelime
get into it | deyim | konuya dalmak, ilgilenmeye başlamak | Once I start a good book, I really {get into it}. | İyi bir kitaba başladığımda gerçekten ona kaptırırım kendimi. | At first I hated jogging, but now I really {get into it}. | İlk başta koşmaktan nefret ediyordum ama artık gerçekten kendimi ona kaptırıyorum. | She put on her favorite song and started to {get into it}. | En sevdiği şarkıyı koydu ve kendini müziğe kaptırmaya başladı. | Give the new game a chance and you'll {get into it} soon. | Yeni oyuna bir şans ver, kısa sürede ona kapılırsın. | Once the team began to {get into it}, the project moved fast. | Ekip işe iyice dalınca proje hızla ilerledi. | I wasn't sure about painting, but I really {get into it} now. | Resim konusunda emin değildim ama artık gerçekten ona dalıyorum. | The kids couldn't {get into it} until the story got exciting. | Çocuklar hikâye heyecanlanana kadar ona ilgi duyamadı. | He learns slowly, but once he does, he can really {get into it}. | Yavaş öğrenir ama bir kez öğrenince gerçekten ona dalabilir. | Just start dancing and you'll {get into it} without thinking. | Sadece dans etmeye başla, düşünmeden kendini ona kaptırırsın. | The lecture was boring at first, but I began to {get into it}. | Ders önce sıkıcıydı ama sonra ona ilgi duymaya başladım.
off-duty | sıfat | görev dışı, izinli | The officer was {off-duty} when he witnessed the accident. | Memur kazaya tanık olduğunda görev dışındaydı. | Even when she's {off-duty}, the nurse helps her neighbors. | Hemşire görev dışındayken bile komşularına yardım eder. | The firefighter saved the family while completely {off-duty}. | İtfaiyeci tamamen görev dışındayken aileyi kurtardı. | Please don't call me about work when I'm {off-duty}. | Görev dışındayken lütfen beni iş için arama. | An {off-duty} pilot happened to be sitting in the cabin. | Görev dışı bir pilot tesadüfen kabinde oturuyordu. | The security guard was {off-duty} but still wearing his badge. | Güvenlik görevlisi görev dışıydı ama rozetini hâlâ takıyordu. | Soldiers are not allowed to drink while they are {off-duty}. | Askerlerin görev dışındayken bile içki içmesine izin verilmez. | He spends his {off-duty} hours fishing by the lake. | Görev dışı saatlerini gölün kenarında balık tutarak geçirir. | Two {off-duty} police officers stopped the thief on the street. | Görev dışı iki polis hırsızı sokakta durdurdu. | When I'm {off-duty}, I turn off my phone completely. | Görev dışındayken telefonumu tamamen kapatırım.
can of worms | deyim | çözülmesi zor karmaşık sorun, içinden çıkılmaz mesele | Asking about his divorce opened a real {can of worms}. | Boşanmasını sormak gerçekten içinden çıkılmaz bir konuyu açtı. | I don't want to open that {can of worms} during the meeting. | O içinden çıkılmaz konuyu toplantıda açmak istemiyorum. | Discussing politics at dinner is always a {can of worms}. | Akşam yemeğinde siyaset konuşmak her zaman içinden çıkılmaz bir meseledir. | Investigating the accounts turned into a huge {can of worms}. | Hesapları incelemek devasa bir karmaşaya dönüştü. | By questioning the contract, she opened a {can of worms}. | Sözleşmeyi sorgulayarak içinden çıkılmaz bir mesele açtı. | Renovating the old house was a complete {can of worms}. | Eski evi tadilat etmek tam bir içinden çıkılmaz işti. | His simple question turned out to be a real {can of worms}. | Onun basit sorusu gerçekten içinden çıkılmaz bir mesele çıktı. | Let's not open that {can of worms} so close to the deadline. | Teslim tarihine bu kadar yakınken o karmaşık konuyu açmayalım. | Tax law can be a serious {can of worms} for small businesses. | Vergi hukuku küçük işletmeler için ciddi bir karmaşa olabilir. | Mentioning her ex was definitely a {can of worms}. | Eski sevgilisinden bahsetmek kesinlikle içinden çıkılmaz bir konuydu.
mob | isim | çete, güruh, ayaktakımı | An angry {mob} gathered outside the courthouse. | Öfkeli bir güruh adliye binasının önünde toplandı. | The {mob} stormed the gates before the police arrived. | Güruh, polis gelmeden önce kapılara saldırdı. | A {mob} of fans surrounded the singer after the concert. | Konserden sonra bir hayran güruhu şarkıcının etrafını sardı. | Police struggled to control the violent {mob}. | Polis şiddet yanlısı güruhu kontrol etmekte zorlandı. | The angry {mob} demanded answers from the mayor. | Öfkeli güruh belediye başkanından cevap istedi. | A {mob} of reporters waited outside the courtroom. | Bir muhabir güruhu mahkeme salonunun dışında bekledi. | The leader tried to calm the restless {mob}. | Lider huzursuz güruhu sakinleştirmeye çalıştı. | Within minutes, a small protest became an uncontrollable {mob}. | Dakikalar içinde küçük bir protesto kontrolden çıkmış bir güruha dönüştü. | The {mob} chanted slogans late into the night. | Güruh gece geç saatlere kadar slogan attı. | Shoppers turned into a {mob} during the holiday sale. | Tatil indiriminde alışveriş yapanlar bir güruha dönüştü.
corrupt | sıfat | yozlaşmış, rüşvetçi, ahlaksız | The {corrupt} official accepted money to ignore the crime. | Yozlaşmış görevli suçu görmezden gelmek için para aldı. | The {corrupt} politician was finally exposed by the press. | Yozlaşmış politikacı sonunda basın tarafından ifşa edildi. | People protested against the {corrupt} government for weeks. | İnsanlar yozlaşmış hükümete karşı haftalarca protesto yaptı. | A {corrupt} judge was removed from the bench last year. | Geçen yıl rüşvetçi bir hakim görevinden alındı. | The company collapsed because of its {corrupt} leadership. | Şirket, yozlaşmış yönetimi yüzünden çöktü. | He refused to work for such a {corrupt} organization. | Böyle yozlaşmış bir kuruluş için çalışmayı reddetti. | The film exposes a deeply {corrupt} police department. | Film, derinden yozlaşmış bir polis teşkilatını ifşa ediyor. | Voters wanted to replace the {corrupt} city council. | Seçmenler yozlaşmış belediye meclisini değiştirmek istedi. | The {corrupt} manager stole funds from the charity. | Yozlaşmış müdür hayır kurumundan para çaldı. | Reporters revealed how {corrupt} the system had become. | Muhabirler sistemin ne kadar yozlaşmış hâle geldiğini ortaya çıkardı.
attire | isim | kıyafet, giysi | The invitation specified formal {attire} for the evening. | Davetiye gece için resmi kıyafet belirtmişti. | Business {attire} is required for all job interviews here. | Burada tüm iş görüşmeleri için resmi iş kıyafeti gereklidir. | She chose elegant {attire} for the awards ceremony. | Ödül töreni için şık bir kıyafet seçti. | Casual {attire} is acceptable on Fridays at our office. | Ofisimizde cuma günleri günlük kıyafet kabul edilir. | The guests arrived in beautiful traditional {attire}. | Konuklar güzel geleneksel kıyafetlerle geldi. | Proper {attire} is expected when visiting the temple. | Tapınağı ziyaret ederken uygun kıyafet beklenir. | His winter {attire} kept him warm during the long hike. | Kış kıyafeti uzun yürüyüş boyunca onu sıcak tuttu. | The dress code requires evening {attire} after six. | Kıyafet kuralı altıdan sonra gece kıyafeti gerektirir. | Athletes wore matching {attire} during the opening parade. | Sporcular açılış geçidinde aynı kıyafetleri giydi. | She packed light summer {attire} for the beach trip. | Plaj gezisi için hafif yazlık kıyafetler topladı.
reclusive | sıfat | münzevi, toplumdan kaçan, içine kapanık | The famous writer became increasingly {reclusive} in his old age. | Ünlü yazar yaşlandıkça giderek daha münzevi biri oldu. | After the scandal, the actor turned completely {reclusive}. | Skandaldan sonra oyuncu tamamen içine kapanık biri oldu. | The {reclusive} millionaire rarely left his mansion. | Münzevi milyoner malikânesinden nadiren ayrıldı. | Her grandfather lived a {reclusive} life in the mountains. | Büyükbabası dağlarda münzevi bir hayat yaşadı. | The artist was known for being shy and {reclusive}. | Sanatçı utangaç ve içine kapanık olmasıyla biliniyordu. | He grew more {reclusive} after losing his wife. | Eşini kaybettikten sonra daha da münzevi biri oldu. | The {reclusive} scientist refused all interview requests. | Münzevi bilim insanı tüm röportaj taleplerini reddetti. | Neighbors barely knew the {reclusive} man next door. | Komşular yan kapıdaki münzevi adamı pek tanımıyordu. | She became {reclusive} and stopped answering her phone. | İçine kapandı ve telefonuna cevap vermeyi bıraktı. | The {reclusive} composer wrote his best work in isolation. | Münzevi besteci en iyi eserini yalnızlık içinde yazdı.
recruited | fiil | işe aldı, kaydetti, devşirdi | The company {recruited} dozens of new graduates this year. | Şirket bu yıl onlarca yeni mezunu işe aldı. | The coach {recruited} the best players from local schools. | Antrenör yerel okullardan en iyi oyuncuları devşirdi. | The army {recruited} thousands of soldiers during the war. | Ordu savaş sırasında binlerce asker kaydetti. | She was {recruited} by a top firm right after college. | Üniversiteden hemen sonra önde gelen bir firma tarafından işe alındı. | The startup {recruited} talented engineers from abroad. | Girişim yurt dışından yetenekli mühendisleri işe aldı. | He {recruited} volunteers to help clean the beach. | Plajı temizlemeye yardım etmesi için gönüllüler topladı. | The university {recruited} students through online ads. | Üniversite öğrencileri çevrimiçi reklamlarla devşirdi. | They {recruited} her because of her rare language skills. | Nadir dil becerileri yüzünden onu işe aldılar. | The agency {recruited} new agents after the expansion. | Ajans, büyümeden sonra yeni temsilciler işe aldı. | Our manager {recruited} three interns for the summer. | Müdürümüz yaz için üç stajyer işe aldı.
protege | isim | çırak, himaye edilen kişi | The maestro trained his young {protege} for years. | Maestro genç çırağını yıllarca yetiştirdi. | The senior lawyer mentored his ambitious {protege}. | Kıdemli avukat hırslı çırağına rehberlik etti. | She became the famous chef's most talented {protege}. | Ünlü şefin en yetenekli çırağı oldu. | The professor's former {protege} now leads the lab. | Profesörün eski himaye ettiği kişi artık laboratuvarı yönetiyor. | He proudly introduced his {protege} to the board. | Çırağını gururla yönetim kuruluna tanıttı. | The artist passed his techniques on to a young {protege}. | Sanatçı tekniklerini genç bir çırağa aktardı. | Her {protege} eventually surpassed her in skill. | Çırağı sonunda beceride onu geçti. | The general groomed a loyal {protege} to succeed him. | General, yerine geçmesi için sadık bir çırak yetiştirdi. | As the master's {protege}, he learned the trade quickly. | Ustanın çırağı olarak mesleği çabuk öğrendi. | The director gave his {protege} a chance to direct. | Yönetmen, himaye ettiği kişiye yönetme şansı verdi.
filthy | sıfat | pis, iğrenç, çok kirli | The kitchen was absolutely {filthy} after the party. | Mutfak partiden sonra resmen iğrenç derecede kirliydi. | His boots were {filthy} after walking through the mud. | Çizmeleri çamurda yürüdükten sonra çok kirliydi. | The {filthy} streets hadn't been cleaned in weeks. | Pis sokaklar haftalardır temizlenmemişti. | She refused to sleep in such a {filthy} hotel room. | Bu kadar pis bir otel odasında uyumayı reddetti. | The children came home with {filthy} hands and faces. | Çocuklar elleri ve yüzleri kapkara şekilde eve geldi. | The abandoned house was dark, cold, and {filthy}. | Terk edilmiş ev karanlık, soğuk ve pisti. | Wash your {filthy} clothes before dinner, please. | Lütfen yemekten önce pis kıyafetlerini yıka. | The river had become {filthy} from years of pollution. | Nehir yıllarca süren kirlilikten dolayı iğrenç hâle gelmişti. | He gave me a {filthy} look when I disagreed. | Karşı çıktığımda bana pis pis baktı. | The mechanic's hands were {filthy} with grease. | Tamircinin elleri yağdan kapkaraydı.
ingrate | isim | nankör kişi | After all I did for him, he turned out to be an {ingrate}. | Onun için yaptığım onca şeyden sonra nankör çıktı. | Don't be an {ingrate}; at least say thank you. | Nankör olma; en azından teşekkür et. | She called her selfish nephew a hopeless {ingrate}. | Bencil yeğenine umutsuz bir nankör dedi. | The boss treated his loyal staff like {ingrate}s. | Patron sadık çalışanlarına nankörmüş gibi davrandı. | Only an {ingrate} would forget such kindness. | Sadece bir nankör böyle bir iyiliği unutabilir. | He felt like an {ingrate} for never thanking his teacher. | Öğretmenine hiç teşekkür etmediği için kendini nankör hissetti. | They helped him for years, yet he remained an {ingrate}. | Ona yıllarca yardım ettiler ama o nankör olarak kaldı. | I won't lend money to that {ingrate} again. | O nanköre bir daha borç vermeyeceğim. | Calling her an {ingrate} was harsh but somewhat true. | Ona nankör demek sertti ama biraz da doğruydu. | The old man cursed his children as worthless {ingrate}s. | Yaşlı adam çocuklarına değersiz nankörler diye lanet okudu.
