# Set 26 — 15 kelime
charming | sıfat | çekici, sevimli, büyüleyici | She has a {charming} smile that wins everyone over. | Herkesi kendine çeken çekici bir gülümsemesi var. | The waiter was so {charming} that we left him a big tip. | Garson o kadar sevimliydi ki ona büyük bir bahşiş bıraktık. | They bought a {charming} little cottage by the sea. | Deniz kenarında çekici küçük bir kulübe satın aldılar. | He can be quite {charming} when he wants something. | Bir şey istediğinde oldukça çekici olabiliyor. | What a {charming} old town this is! | Bu ne kadar büyüleyici eski bir kasaba! | Her {charming} manners impressed all the guests. | Sevimli tavırları bütün misafirleri etkiledi. | The hotel had a {charming} view of the lake. | Otelin gölü gören büyüleyici bir manzarası vardı. | I found his accent absolutely {charming}. | Aksanını son derece çekici buldum. | She gave the interviewer a {charming} answer. | Mülakatı yapana sevimli bir cevap verdi. | The new neighbor seems like a {charming} person. | Yeni komşu çekici bir insana benziyor.
indulge | fiil | kendini bırakmak, şımartmak, düşkünlük göstermek | On weekends I like to {indulge} in a slice of chocolate cake. | Hafta sonları kendimi bir dilim çikolatalı pastaya bırakmayı severim. | Once a year we {indulge} in a luxury vacation. | Yılda bir kez kendimizi lüks bir tatile bırakırız. | Don't {indulge} the children too much or they will misbehave. | Çocukları çok fazla şımartma yoksa yaramazlık yaparlar. | She decided to {indulge} herself with a new dress. | Kendini yeni bir elbiseyle şımartmaya karar verdi. | He tends to {indulge} in long stories about his youth. | Gençliğine dair uzun hikâyelere dalmaya meyillidir. | We can {indulge} in a little dessert after dinner. | Akşam yemeğinden sonra biraz tatlıya kendimizi bırakabiliriz. | Grandparents often {indulge} their grandchildren. | Büyükanne ve büyükbabalar genellikle torunlarını şımartır. | I try not to {indulge} my cravings late at night. | Gece geç saatte canımın çektiği şeylere kapılmamaya çalışırım. | They {indulge} in expensive hobbies every summer. | Her yaz pahalı hobilere düşkünlük gösterirler. | Feel free to {indulge} in the spa during your stay. | Konaklamanız boyunca spada kendinizi şımartmaktan çekinmeyin.
beyond | edat | öte, ötesinde, dışında | The mountains stretch far {beyond} the horizon. | Dağlar ufkun çok ötesine kadar uzanıyor. | This problem is {beyond} my understanding. | Bu sorun benim anlayışımın ötesinde. | The success of the project was {beyond} all expectations. | Projenin başarısı tüm beklentilerin ötesindeydi. | He stayed at work {beyond} midnight. | Gece yarısının ötesine kadar işte kaldı. | The damage was {beyond} repair. | Hasar tamir edilemeyecek kadar ileri seviyedeydi. | Her kindness goes {beyond} mere words. | Onun nezaketi salt sözlerin ötesine geçer. | The village lies just {beyond} those hills. | Köy tam şu tepelerin ötesinde yer alıyor. | This task is {beyond} the abilities of a beginner. | Bu görev bir acemiye göre fazla zorlayıcıdır. | Nothing exists {beyond} the edge of the map. | Haritanın kenarının ötesinde hiçbir şey yoktur. | The meeting went on {beyond} the scheduled time. | Toplantı planlanan zamanın ötesinde sürdü.
perceives | fiil | algılar, fark eder, sezer | A child often {perceives} more than adults realize. | Bir çocuk çoğu zaman yetişkinlerin sandığından daha fazlasını algılar. | The brain {perceives} colors through the eyes. | Beyin renkleri gözler aracılığıyla algılar. | She {perceives} danger long before others do. | Tehlikeyi başkalarından çok önce sezer. | He {perceives} the world in a unique way. | Dünyayı kendine özgü bir biçimde algılar. | The dog {perceives} sounds we cannot hear. | Köpek bizim duyamadığımız sesleri algılar. | Each person {perceives} beauty differently. | Her insan güzelliği farklı algılar. | The sensor {perceives} even the slightest movement. | Sensör en ufak hareketi bile fark eder. | She quickly {perceives} when something is wrong. | Bir şeylerin yanlış olduğunu çabucak sezer. | The customer {perceives} the brand as reliable. | Müşteri markayı güvenilir olarak algılar. | A wise leader {perceives} problems before they grow. | Bilge bir lider sorunları büyümeden önce fark eder.
grasp | fiil | kavramak, anlamak, tutmak | It took me a while to {grasp} the basic idea of the theory. | Teorinin temel fikrini kavramam biraz zamanımı aldı. | He reached out to {grasp} the railing. | Korkuluğu tutmak için elini uzattı. | Students sometimes struggle to {grasp} abstract concepts. | Öğrenciler bazen soyut kavramları kavramakta zorlanır. | She finally began to {grasp} what he meant. | Sonunda onun ne demek istediğini anlamaya başladı. | The baby tried to {grasp} the colorful toy. | Bebek renkli oyuncağı tutmaya çalıştı. | It is hard to {grasp} how big the universe is. | Evrenin ne kadar büyük olduğunu kavramak zordur. | He couldn't quite {grasp} the meaning of the poem. | Şiirin anlamını tam olarak kavrayamadı. | Try to {grasp} the main point before the details. | Ayrıntılardan önce ana fikri kavramaya çalış. | She managed to {grasp} the rope just in time. | İpi tam zamanında tutmayı başardı. | Young learners {grasp} languages more easily. | Genç öğrenciler dilleri daha kolay kavrar.
faint | sıfat | hafif, belli belirsiz, soluk | We could hear a {faint} sound coming from the next room. | Yan odadan gelen hafif bir ses duyabiliyorduk. | There was a {faint} smell of smoke in the air. | Havada hafif bir duman kokusu vardı. | She gave a {faint} smile before leaving. | Gitmeden önce belli belirsiz bir gülümseme verdi. | A {faint} light glowed at the end of the tunnel. | Tünelin sonunda soluk bir ışık parlıyordu. | He had only a {faint} memory of that day. | O güne dair sadece belli belirsiz bir anısı vardı. | The stars were {faint} behind the city lights. | Yıldızlar şehir ışıklarının ardında soluktu. | I heard a {faint} knock on the door. | Kapıya hafif bir vuruş duydum. | There is a {faint} hope that he will recover. | İyileşeceğine dair belli belirsiz bir umut var. | The old photo had a {faint} blue tint. | Eski fotoğrafın soluk mavi bir tonu vardı. | A {faint} breeze moved the curtains. | Hafif bir esinti perdeleri kımıldattı.
witty | sıfat | nüktedan, esprili, zeki | His {witty} remarks made everyone at the table laugh. | Nüktedan sözleri masadaki herkesi güldürdü. | She is famous for her {witty} sense of humor. | Esprili mizah anlayışıyla ünlüdür. | The host gave a {witty} reply to the question. | Sunucu soruya nüktedan bir cevap verdi. | I enjoy his {witty} writing style. | Onun esprili yazım tarzından hoşlanıyorum. | The play was full of {witty} dialogue. | Oyun nüktedan diyaloglarla doluydu. | A {witty} comeback ended the argument with a laugh. | Zekice bir karşılık tartışmayı kahkahayla bitirdi. | She made a {witty} comment about the weather. | Hava hakkında esprili bir yorum yaptı. | His speeches are always sharp and {witty}. | Konuşmaları her zaman keskin ve nüktedandır. | The comedian's {witty} jokes kept us entertained. | Komedyenin esprili şakaları bizi eğlendirdi. | I admire how {witty} she is under pressure. | Baskı altında ne kadar esprili olduğuna hayranım.
corruption | isim | yolsuzluk, ahlaki bozulma, rüşvet | The new law aims to fight {corruption} in the government. | Yeni yasa hükümetteki yolsuzlukla mücadele etmeyi amaçlıyor. | The scandal exposed widespread {corruption}. | Skandal yaygın yolsuzluğu ortaya çıkardı. | Many citizens are tired of political {corruption}. | Birçok vatandaş siyasi yolsuzluktan bıkmış durumda. | The journalist investigated {corruption} in the city council. | Gazeteci belediye meclisindeki yolsuzluğu araştırdı. | {Corruption} can destroy public trust in institutions. | Yolsuzluk kurumlara olan kamu güvenini yok edebilir. | The company collapsed because of internal {corruption}. | Şirket iç yolsuzluk yüzünden çöktü. | They promised to root out {corruption} at every level. | Her seviyedeki yolsuzluğu kökünden söküp atacaklarına söz verdiler. | The film tells a story about power and {corruption}. | Film güç ve ahlaki bozulma hakkında bir hikâye anlatıyor. | Bribery is one common form of {corruption}. | Rüşvet, yolsuzluğun yaygın bir biçimidir. | The new mayor vowed zero tolerance for {corruption}. | Yeni belediye başkanı yolsuzluğa sıfır tolerans yemini etti.
spoiled | sıfat | şımarık, bozulmuş, çürümüş | The {spoiled} child refused to share any of his toys. | Şımarık çocuk oyuncaklarının hiçbirini paylaşmayı reddetti. | We had to throw away the {spoiled} milk. | Bozulmuş sütü atmak zorunda kaldık. | A {spoiled} brat threw a tantrum in the store. | Şımarık bir velet mağazada öfke nöbeti geçirdi. | The {spoiled} meat had a terrible smell. | Çürümüş etin korkunç bir kokusu vardı. | He grew up as a {spoiled} only child. | Şımartılmış tek çocuk olarak büyüdü. | The fruit was already {spoiled} when we bought it. | Meyve aldığımızda zaten bozulmuştu. | Her {spoiled} attitude annoyed her classmates. | Şımarık tutumu sınıf arkadaşlarını rahatsız etti. | Don't leave the food out or it will get {spoiled}. | Yiyeceği dışarıda bırakma yoksa bozulur. | The rich kid was hopelessly {spoiled}. | Zengin çocuk ümitsizce şımartılmıştı. | We found several {spoiled} eggs in the carton. | Karton kutuda birkaç bozulmuş yumurta bulduk.
malice | isim | kötü niyet, kin, garez | She said it without any {malice}, just as a joke. | Bunu hiçbir kötü niyet olmadan, sadece şaka olsun diye söyledi. | There was clear {malice} in his cold stare. | Soğuk bakışlarında belirgin bir kin vardı. | The act was committed out of pure {malice}. | Bu eylem saf kötü niyetle yapıldı. | I bear no {malice} toward my old rival. | Eski rakibime hiçbir garez beslemiyorum. | His words were full of {malice}. | Sözleri kinle doluydu. | The judge found no {malice} in the defendant's actions. | Hâkim, sanığın eylemlerinde kötü niyet bulamadı. | She spread the rumor with obvious {malice}. | Söylentiyi bariz bir kötü niyetle yaydı. | He spoke of his enemies with surprising lack of {malice}. | Düşmanlarından şaşırtıcı derecede kinsiz bir biçimde söz etti. | There is no {malice} behind her teasing. | Onun takılmalarının ardında hiçbir kötü niyet yok. | The letter was written in a spirit of {malice}. | Mektup kin dolu bir ruhla yazılmıştı.
assert | fiil | iddia etmek, savunmak, ileri sürmek | He continued to {assert} that he was innocent. | Masum olduğunu iddia etmeyi sürdürdü. | She learned to {assert} herself at work. | İş yerinde kendini savunmayı öğrendi. | The scientist {assert}s that the data supports the theory. | Bilim insanı verilerin teoriyi desteklediğini iddia eder. | You must {assert} your rights as a customer. | Müşteri olarak haklarını savunmalısın. | The lawyer will {assert} his client's case firmly. | Avukat müvekkilinin davasını kararlılıkla savunacak. | He tried to {assert} control over the meeting. | Toplantı üzerinde kontrol kurmaya çalıştı. | They {assert} that the policy is unfair. | Politikanın adaletsiz olduğunu ileri sürerler. | She did not hesitate to {assert} her opinion. | Görüşünü savunmakta tereddüt etmedi. | The report {assert}s the need for reform. | Rapor reform ihtiyacını öne sürüyor. | He stood up to {assert} his authority. | Otoritesini savunmak için ayağa kalktı.
